,Unnamed: 0,id,owner,secret,server,farm,title,ispublic,isfriend,isfamily,dateupload,ownername,iconserver,iconfarm,views,tags,originalsecret,originalformat,latitude,longitude,accuracy,context,place_id,woeid,geo_is_public,geo_is_contact,geo_is_friend,geo_is_family,machine_tags,in_park
42,42,49802385922,53502512@N04,71f3f500e3,65535,66,IMG_9083,1,0,0,1587483777,Marco Panebianco,7428,8,8,,36a018547c,jpg,59.780705000000005,-149.53485,16,0,,5867959.0,1,0,0,0,,True
43,43,49802385752,53502512@N04,8506ea21d4,65535,66,IMG_9084,1,0,0,1587483778,Marco Panebianco,7428,8,7,,0e3b72216b,jpg,59.780393999999994,-149.534317,16,0,,5867959.0,1,0,0,0,,True
45,45,49802385292,53502512@N04,e2743df3c6,65535,66,IMG_9099,1,0,0,1587483787,Marco Panebianco,7428,8,8,,2289e8072b,jpg,59.8772,-149.560045,16,0,,5867959.0,1,0,0,0,,True
80,80,49801457123,53502512@N04,67419dc5d7,65535,66,IMG_9092,1,0,0,1587483784,Marco Panebianco,7428,8,6,,37ac2ebc00,jpg,59.877522,-149.560259,16,0,,5867959.0,1,0,0,0,,True
81,81,49802005761,53502512@N04,227a46fca0,65535,66,IMG_9093,1,0,0,1587483784,Marco Panebianco,7428,8,6,,d49298c81f,jpg,59.877697,-149.56040900000002,16,0,,5867959.0,1,0,0,0,,True
82,82,49801455943,53502512@N04,6e60135e8c,65535,66,IMG_9094,1,0,0,1587483785,Marco Panebianco,7428,8,6,,79d3f4b6e4,jpg,59.877697,-149.56040900000002,16,0,,5867959.0,1,0,0,0,,True
83,83,49802313297,53502512@N04,1e12cb8872,65535,66,IMG_9095,1,0,0,1587483785,Marco Panebianco,7428,8,6,,3dc40be8d3,jpg,59.87775500000001,-149.560548,16,0,,5867959.0,1,0,0,0,,True
84,84,49802004466,53502512@N04,50bdd95e44,65535,66,IMG_9096,1,0,0,1587483786,Marco Panebianco,7428,8,6,,0f46804764,jpg,59.87775,-149.560548,16,0,,5867959.0,1,0,0,0,,True
85,85,49802004091,53502512@N04,388191a21a,65535,66,IMG_9097,1,0,0,1587483787,Marco Panebianco,7428,8,7,,f48709c7bc,jpg,59.877741,-149.560562,16,0,,5867959.0,1,0,0,0,,True
121,121,49620792957,109544413@N05,8ddc1f2a37,65535,66,Headed home with breakfast,1,0,0,1583382364,Photoski141,7807,8,88,northwesternglaciercruise kenaifjordstours fraterculacirrhata,,,59.850333,-150.096589,16,0,,5874402.0,1,0,0,0,,True
122,122,49620519731,109544413@N05,0ecb332424,65535,66,Food Fight 2,1,0,0,1583382366,Photoski141,7807,8,92,northwesternglaciercruise kenaifjordstours,,,59.850333,-150.096589,16,0,,5874402.0,1,0,0,0,,True
123,123,49620005163,109544413@N05,ee6f110490,65535,66,Headed to the fishing grounds,1,0,0,1583382368,Photoski141,7807,8,100,northwesternglaciercruise kenaifjordstours fraterculacirrhata,,,59.850333,-150.096589,16,0,,5874402.0,1,0,0,0,,True
124,124,49620788252,109544413@N05,6fb9014647,65535,66,Run and flap faster!!!,1,0,0,1583382368,Photoski141,7807,8,125,northwesternglaciercruise kenaifjordstours fraterculacirrhata,,,59.850333,-150.096589,16,0,,5874402.0,1,0,0,0,,True
125,125,49620002498,109544413@N05,643e18eabb,65535,66,Running Start,1,0,0,1583382370,Photoski141,7807,8,120,northwesternglaciercruise kenaifjordstours fraterculacirrhata,,,59.850333,-150.096589,16,0,,5874402.0,1,0,0,0,,True
126,126,49620513891,109544413@N05,c40abcf3ff,65535,66,Horned Puffin 3,1,0,0,1583382371,Photoski141,7807,8,136,northwesternglaciercruise kenaifjordstours fraterculacorniculata,,,59.850333,-150.096589,16,0,,5874402.0,1,0,0,0,,True
127,127,49619998683,109544413@N05,8856c34d3e,65535,66,Horned Puffin 1,1,0,0,1583382372,Photoski141,7807,8,138,northwesternglaciercruise kenaifjordstours fraterculacorniculata,,,59.850333,-150.096589,16,0,,5874402.0,1,0,0,0,,True
128,128,49620778912,109544413@N05,3c7d575b08,65535,66,Mouthful of Nesting Materials,1,0,0,1583382373,Photoski141,7807,8,165,northwesternglaciercruise kenaifjordstours,,,59.850333,-150.096589,16,0,,5874402.0,1,0,0,0,,True
129,129,49620776707,109544413@N05,1cd7a72c44,65535,66,Condo Living,1,0,0,1583382374,Photoski141,7807,8,128,northwesternglaciercruise kenaifjordstours,,,59.850333,-150.096589,16,0,,5874402.0,1,0,0,0,,True
130,130,49619990823,109544413@N05,263ee39037,65535,66,Got young ones to feed,1,0,0,1583382364,Photoski141,7807,8,89,northwesternglaciercruise kenaifjordstours fraterculacirrhata,,,59.850333,-150.096589,16,0,,5874402.0,1,0,0,0,,True
131,131,48981948946,60824641@N05,f5517fccd1,65535,66,"Kenai Fjords, Alaska",1,0,0,1572377767,Fishowl,8133,9,26,,05a91efaaf,jpg,59.878075,-149.556839,16,0,,5867959.0,1,0,0,0,,True
133,133,48922669552,15256764@N06,079562804d,65535,66,"Exit Glacier Nature Center, Seward, Alaska",1,0,0,1571468616,ro_mac,2480,3,41,,9f64f5f048,jpg,60.18826899999999,-149.631706,16,0,,9887102.0,1,0,0,0,,True
134,134,48922468706,15256764@N06,4c2ef13bf3,65535,66,"Exit Glacier, Seward, Alaska",1,0,0,1571468602,ro_mac,2480,3,40,,269205463d,jpg,60.181718999999994,-149.640345,16,0,,9887102.0,1,0,0,0,,True
135,135,48922468356,15256764@N06,27a69bd626,65535,66,"Exit Glacier, Seward, Alaska",1,0,0,1571468591,ro_mac,2480,3,40,,1f6921c2df,jpg,60.180427,-149.643628,16,0,,9887102.0,1,0,0,0,,True
136,136,48922467611,15256764@N06,f90d008a8c,65535,66,"Exit Glacier, Seward, Alaska",1,0,0,1571468569,ro_mac,2480,3,41,,760177ff9f,jpg,60.180236,-149.645406,16,0,,9887102.0,1,0,0,0,,True
137,137,48922466966,15256764@N06,a9a723613f,65535,66,"Exit Glacier, Seward, Alaska",1,0,0,1571468556,ro_mac,2480,3,41,,1cf6e3e1d8,jpg,60.180188,-149.645445,16,0,,9887102.0,1,0,0,0,,True
138,138,48922465751,15256764@N06,98a4ca42f8,65535,66,"Exit Glacier, Seward, Alaska",1,0,0,1571468525,ro_mac,2480,3,42,,920fc255b8,jpg,60.180186,-149.645442,16,0,,9887102.0,1,0,0,0,,True
139,139,48922464971,15256764@N06,695051b35d,65535,66,"Exit Glacier, Seward, Alaska",1,0,0,1571468507,ro_mac,2480,3,44,,c59beba4c9,jpg,60.180563,-149.64376399999998,16,0,,9887102.0,1,0,0,0,,True
140,140,48922664202,15256764@N06,d71f8495f4,65535,66,"Exit Glacier, Seward, Alaska",1,0,0,1571468483,ro_mac,2480,3,41,,560b887e02,jpg,60.181777000000004,-149.642481,16,0,,9887102.0,1,0,0,0,,True
