,Unnamed: 0,id,owner,secret,server,farm,title,ispublic,isfriend,isfamily,dateupload,ownername,iconserver,iconfarm,views,tags,latitude,longitude,accuracy,context,place_id,woeid,geo_is_public,geo_is_contact,geo_is_friend,geo_is_family,originalsecret,originalformat,machine_tags,in_park
2,2,49233694967,12820758@N04,e967454250,65535,66,... Fingertip control ...,1,0,0,1576597080,Grandpops Woodlice,2836,3,4169,eagle baldeagle juvenile alaska silversalmoncreek lakeclarknationalpark,59.984846999999995,-152.652698,16,0,,5864796,1,0,0,0,,,,True
3,3,49184683111,12820758@N04,e6b3b91122,65535,66,... Tippy Toe ...,1,0,0,1575993480,Grandpops Woodlice,2836,3,4010,fox redfox alaska silversalmoncreek lakeclarknationalpark,59.988755000000005,-152.647025,16,0,,5864796,1,0,0,0,,,,True
4,4,49131395431,12820758@N04,3c8ba17a7f,65535,66,... Vogue ...,1,0,0,1574869921,Grandpops Woodlice,2836,3,90701,alaska cookinlet brownbear silversalmoncreek beach,59.984911,-152.653923,16,0,,5864796,1,0,0,0,,,,True
7,7,48995781571,12820758@N04,a65bb48afa,65535,66,... Beach Bum ...,1,0,0,1572635220,Grandpops Woodlice,2836,3,6300,bear brownbear alaska cookinlet silversalmoncreek kenaipeninsula sunrise dawn,59.983313,-152.652498,16,0,,5864796,1,0,0,0,,,,True
10,10,48822069211,12820758@N04,89d5a4491f,65535,66,... SPLAT ...,1,0,0,1569863460,Grandpops Woodlice,2836,3,4742,alaska silversalmoncreek cookinlet,59.98344399999999,-152.650642,16,0,,5864796,1,0,0,0,,,,True
11,11,48764522652,12820758@N04,580063bdef,65535,66,... A Blonde Moment ...,1,0,0,1568991360,Grandpops Woodlice,2836,3,4419,brown bear brownbear alaska silversalmoncreek lakeclarknationalpark,59.980433,-152.667439,16,0,,5864796,1,0,0,0,,,,True
12,12,44038046530,37247262@N03,3f510e99a5,1973,2,"2018 Brown Bears of Lake Clark National Park, Alaska (1)",1,0,0,1542080913,maskirovka77,0,0,784,brownbear bear coastalbrownbear lakeclark nationalpark tyonek alaska unitedstates us,59.996432999999996,-152.639834,16,0,n1gD0_xQUL.I3Wh1Kg,12587564,1,0,0,0,,,,True
13,13,44312989541,37247262@N03,fc99d1c4f4,1869,2,2018 Lake Clark National Park- A Sow Named 'Blond Mom' (1),1,0,0,1535418491,maskirovka77,0,0,1004,tyonek alaska unitedstates us lakeclark nationalpark bear coastalbrownbear sow blondmom blondemom,59.9817,-152.66468400000002,16,0,n1gD0_xQUL.I3Wh1Kg,12587564,1,0,0,0,,,,True
14,14,30086393058,37247262@N03,2eaace60b5,1833,2,"2018 A Wolf at Lake Clark National Park, Alaska (1)",1,0,0,1533859583,maskirovka77,0,0,946,tyonek alaska unitedstates us wolf wolves graywolf lakeclark nationalpark,59.994788,-152.650389,16,0,n1gD0_xQUL.I3Wh1Kg,12587564,1,0,0,0,,,,True
15,15,43003398754,37247262@N03,90e8c8b05e,935,1,If You Ever Wondered What a Bear Hug Looks Like...,1,0,0,1532893904,maskirovka77,0,0,186,tyonek alaska unitedstates us cub playing play bearhug brownbear coastalbrownbear bears hug hugging,59.9822,-152.660517,16,0,n1gD0_xQUL.I3Wh1Kg,12587564,1,0,0,0,,,,True
16,16,27558356278,42964440@N08,61f8dd1de5,901,1,Coastal Brown Bear Down Embankment (Ursus arctos horribilis),1,0,0,1523627991,Susan Roehl,65535,66,4813,alaska2014 lakeclarknationalpark southernalaska usa coastalbrownbear ursusarctoshorribilis animal mammal omnivore female downenbankment grizzlysubspecies verylarge 800to1200lbs eatsalmon berries grass sueroehl photographictours naturalexposures panasonic lumixdmcgh4 100300mmlens tripod slightlycropped coth5,59.901487,-152.79456100000002,16,0,b_WIPQFTUb5YM9kc,2347560,1,0,0,0,,,,True
19,19,23524533468,93799642@N07,ab2f4093b2,4472,5,Sunrise,1,0,0,1506624890,LakeClarkNPS,5732,6,735,morning twin lakes uppertwin sunrise upper reflection twinlake lake twinlakes,60.647927,-153.81933700000002,16,0,b_WIPQFTUb5YM9kc,2347560,1,0,0,0,49d34e274c,jpg,,True
20,20,36667697494,93799642@N07,962948399c,4404,5,Sunset,1,0,0,1506624892,LakeClarkNPS,5732,6,681,twin lakes ripples sunset uppertwin waves twinlake lake twinlakes evening,60.647971999999996,-153.818973,16,0,b_WIPQFTUb5YM9kc,2347560,1,0,0,0,13d14122b8,jpg,,True
28,28,48558216772,127781325@N06,9a9ed3bdb2,65535,66,IMG_2397,1,0,0,1566046800,Roads Rivers and Trails,0,0,3,,60.782627000000005,-153.987612,16,0,,5870787,1,0,0,0,,,,True
29,29,48558076906,127781325@N06,4e1c2e7bde,65535,66,IMG_2405,1,0,0,1566046801,Roads Rivers and Trails,0,0,4,,60.783030000000004,-153.989028,16,0,,5870787,1,0,0,0,,,,True
30,30,48558216342,127781325@N06,26f0537d38,65535,66,IMG_2407,1,0,0,1566046801,Roads Rivers and Trails,0,0,3,,60.783016,-153.988998,16,0,,5870787,1,0,0,0,,,,True
31,31,48558216262,127781325@N06,98090d486a,65535,66,IMG_2424,1,0,0,1566046802,Roads Rivers and Trails,0,0,4,,60.782097,-153.986603,16,0,,5870787,1,0,0,0,,,,True
32,32,48558216062,127781325@N06,1f2e1a27c3,65535,66,IMG_2434,1,0,0,1566046803,Roads Rivers and Trails,0,0,4,,60.782157999999995,-153.986848,16,0,,5870787,1,0,0,0,,,,True
33,33,48558214522,127781325@N06,8667904627,65535,66,IMG_2441,1,0,0,1566046812,Roads Rivers and Trails,0,0,4,,60.777857999999995,-153.989059,16,0,,5870787,1,0,0,0,,,,True
34,34,48558074536,127781325@N06,f5284438b1,65535,66,IMG_2447,1,0,0,1566046813,Roads Rivers and Trails,0,0,4,,60.7657,-154.003862,16,0,,5870787,1,0,0,0,,,,True
35,35,48558074286,127781325@N06,4d43b458e6,65535,66,IMG_2454,1,0,0,1566046814,Roads Rivers and Trails,0,0,4,,60.761666000000005,-154.01058899999998,16,0,,5870787,1,0,0,0,,,,True
36,36,48558213842,127781325@N06,97ac7c4724,65535,66,IMG_2461,1,0,0,1566046814,Roads Rivers and Trails,0,0,4,,60.753655,-154.01632800000002,16,0,,5870787,1,0,0,0,,,,True
37,37,48558073806,127781325@N06,04828a2484,65535,66,IMG_2467,1,0,0,1566046815,Roads Rivers and Trails,0,0,3,,60.743275,-154.02475,16,0,,5870787,1,0,0,0,,,,True
38,38,48558213442,127781325@N06,ed5590fe01,65535,66,IMG_2471,1,0,0,1566046815,Roads Rivers and Trails,0,0,4,,60.742886,-154.025345,16,0,,5870787,1,0,0,0,,,,True
39,39,48558213397,127781325@N06,4296f20296,65535,66,IMG_2475,1,0,0,1566046816,Roads Rivers and Trails,0,0,4,,60.732066,-154.036912,16,0,,5870787,1,0,0,0,,,,True
40,40,48558073086,127781325@N06,8131782b05,65535,66,IMG_2477,1,0,0,1566046817,Roads Rivers and Trails,0,0,4,,60.731972,-154.037034,16,0,,5870787,1,0,0,0,,,,True
41,41,48558072921,127781325@N06,71d47e0fa3,65535,66,IMG_2480,1,0,0,1566046818,Roads Rivers and Trails,0,0,5,,60.715211,-154.030548,16,0,,5870787,1,0,0,0,,,,True
42,42,48558072786,127781325@N06,30ea5d2dbe,65535,66,IMG_2483,1,0,0,1566046819,Roads Rivers and Trails,0,0,3,,60.715213,-154.030564,16,0,,5870787,1,0,0,0,,,,True
43,43,48558072656,127781325@N06,550f41d28a,65535,66,IMG_2503,1,0,0,1566046820,Roads Rivers and Trails,0,0,3,,60.709013,-154.031526,16,0,,5870787,1,0,0,0,,,,True
44,44,48558072481,127781325@N06,510dc6747a,65535,66,IMG_2505,1,0,0,1566046821,Roads Rivers and Trails,0,0,3,,60.708563,-154.030045,16,0,,5870787,1,0,0,0,,,,True
45,45,48558072236,127781325@N06,03c7ceff4a,65535,66,IMG_2509,1,0,0,1566046822,Roads Rivers and Trails,0,0,3,,60.704108,-154.03096200000002,16,0,,5870787,1,0,0,0,,,,True
46,46,48558211512,127781325@N06,9af8c515e1,65535,66,IMG_2522,1,0,0,1566046823,Roads Rivers and Trails,0,0,3,,60.673272,-154.0336,16,0,,5870787,1,0,0,0,,,,True
47,47,48558070761,127781325@N06,52fecd19d4,65535,66,IMG_2530,1,0,0,1566046834,Roads Rivers and Trails,0,0,2,,60.667171999999994,-154.04023700000002,16,0,,5870787,1,0,0,0,,,,True
48,48,48558210167,127781325@N06,5fdcbd5371,65535,66,IMG_2540,1,0,0,1566046834,Roads Rivers and Trails,0,0,2,,60.667166,-154.040223,16,0,,5870787,1,0,0,0,,,,True
49,49,48558210062,127781325@N06,69916785a8,65535,66,IMG_2546,1,0,0,1566046835,Roads Rivers and Trails,0,0,2,,60.666380000000004,-154.038375,16,0,,5870787,1,0,0,0,,,,True
