,Unnamed: 0,id,owner,secret,server,farm,title,ispublic,isfriend,isfamily,dateupload,ownername,iconserver,iconfarm,views,tags,latitude,longitude,accuracy,context,place_id,woeid,geo_is_public,geo_is_contact,geo_is_friend,geo_is_family,originalsecret,originalformat,machine_tags,in_park
0,0,50039876958,10535124@N00,6b2fccf612,65535,66,First View,1,0,0,1593005409,W9JIM,5723,6,115,w9jim lassenpeak lassenvolcanicnationalpark 5d4 24105l canoneos5dmarkiv ef24105mmf4lisusm lassennationalpark volcano mountlassen lavadome,40.444628,-121.519625,16,0,,5568239.0,1,0,0,0,,,,True
1,1,50036431668,10535124@N00,c848399d39,65535,66,Lassen Mud Pot,1,0,0,1592916555,W9JIM,5723,6,299,w9jim lassennationalpark mudpot notyellowstone 5d4 24105l 24mm canoneos5dmarkiv ef24105mmf4lisusm sulphurworks lassenvolcanicnationalpark,40.449273,-121.53449499999999,16,0,,5567497.0,1,0,0,0,,,,True
2,2,50010501713,61897811@N00,ec567f50aa,65535,66,Paradise Meadows,1,0,0,1592271007,Anita363,3,1,104,paradisemeadows lassenvolcanicnationalpark lassen california ca meadow creek mist,40.490565000000004,-121.466678,16,0,,5562828.0,1,0,0,0,54bf545aef,jpg,,True
3,3,50010431663,61897811@N00,83994fc178,65535,66,The Sulphur Works,1,0,0,1592269014,Anita363,3,1,108,sulphurworks lassenvolcanicnationalpark lassen california ca sulfurworks hydrothermal geology,40.449388,-121.535546,16,0,,5567497.0,1,0,0,0,6654d8f094,jpg,,True
6,6,49974242631,133876835@N08,2e8337c90e,65535,66,California - Lassen Volcanic National Park,1,0,0,1591378834,Michael.Kemper,7748,8,359,canon eos 30d 30 d efs 1755 17 55 f28 f 28 is usm voyage travel travelling reise vacation urlaub usa us united states america vereinigte staaten von amerika northern california kalifornien nordkalifornien lassen volcanic national park np nationalpark cinder cone mount mountains berg volcano vulkan lava butte lake trail peak cascaden kaskaden kaskadengebirge walk walking hike hiking wanderung wandern randonnée randonnee,40.545618,-121.31856599999999,16,0,,5562828.0,1,0,0,0,c6685422ab,jpg,,True
7,7,49963725356,62634671@N08,4f70419ea0,65535,66,"Lassen Volcanic National Park, California, USA - 1994.",1,0,0,1591113399,John Mac 2011 UK,5071,6,16,1994 california johnmac johnmacstravelphotography johnmacsusa johnrobertmcnally lassenvolcanicnationalpark usa usa1994 usa1994tour usa–1994,40.496494,-121.415709,16,0,,5562828.0,1,0,0,0,d11d567657,jpg,,True
8,8,49950118171,24641249@N00,ea77e583a1,65535,66,LakeHelen_119754i,1,0,0,1590794050,gpferd,2920,3,17,clouds evergreen infrared lake mountains plant reflection rock tree water oldstation california unitedstatesofamerica,40.467469,-121.508525,16,0,,5567497.0,1,0,0,0,e90da36c52,jpg,,True
9,9,49950411052,24641249@N00,c072dc54dc,65535,66,LakeHelen_119754is,1,0,0,1590794050,gpferd,2920,3,22,clouds evergreen infrared lake mountains plant reflection rock swapredblue tree water oldstation california unitedstatesofamerica,40.467469,-121.508525,16,0,,5567497.0,1,0,0,0,80a430554a,jpg,,True
10,10,49780697176,42937777@N00,cff3d3f8a1,65535,66,20190706_144605,1,0,0,1587043617,"Tim Pearce, Los Gatos",132,1,21,,40.53683,-121.570125,16,0,,5567497.0,1,0,0,0,2af61a1fab,jpg,,True
11,11,49728697842,167430854@N07,8002d849a5,65535,66,Manzanita Lake,1,0,0,1585853665,Al Case,4894,5,1867,lassen volcanic national park manzanita lake morning al case sunrise california nikon landscape d750 nikkor 24120mm f4g dawn,40.531915000000005,-121.568366,16,0,,5567497.0,1,0,0,0,400913f9ba,jpg,,True
12,12,49708524743,36195531@N00,983167bf4e,65535,66,Manzanita Lake,1,0,0,1585421201,s__i,99,1,22,lassenvolcanicnationalpark,40.535605,-121.567898,16,0,,5567497.0,1,0,0,0,7cf9e9bb3d,jpg,,True
13,13,8158923492,10725258@N00,2ecdccdc5a,8067,9,steep!,1,0,0,1584974100,rovingmagpie,7349,8,854,california steep lassen cinders cindercone lassenvolcanicnationalpark atps2012,40.552254,-121.31843799999999,15,0,nWffZiZTUb4mWuFa,2347596.0,1,0,0,0,,,,True
14,14,6789146998,10725258@N00,be7627a72b,7209,8,Helps keep the smell down,1,0,0,1584038096,rovingmagpie,7349,8,377,california snow geotagged nieve lassen lassenvolcanicnationalpark cdtw2011 permapotties geo:lat=40474737036913346 geo:lon=12150613840885927,40.474737,-121.50613799999999,16,0,5BEndU9QUL.CP3wirg,12587714.0,1,0,0,0,,,,True
15,15,6777490740,10725258@N00,3be3c89958,7209,8,an upstanding citizen of the woods,1,0,0,1583941550,rovingmagpie,7349,8,541,california geotagged deer muledeer lassen lassenvolcanicnationalpark manzanitalake cdtw2011 walkingerect geo:lat=40533592 geo:lon=121564937,40.533592,-121.56493700000001,16,0,6IGvcy1TVr4_Xond,2445105.0,1,0,0,0,,,,True
16,16,49601100188,132770804@N07,8cf47bcaec,65535,66,"Lassen Peak from the Manzanita Lake Trail, Lassen Volcanic National Park  7/26/2015",1,0,0,1583013506,ccbutch,471,1,513,lassenvolcanicnationalpark lassenpeak manzanitalake manzanitalakelooptrail roadtripusa geotagged chriscrossingamerica california ca nps nationalpark lassen hike hiking trail landscape water lake volcano manzanita manzanitalaketrail,40.535458,-121.567848,16,0,,5567497.0,1,0,0,0,874edf2061,jpg,,True
17,17,49601096383,132770804@N07,50d6d8b19c,65535,66,"Ridge Lakes Trail, Lassen Volcanic National Park  7/26/2015",1,0,0,1583013506,ccbutch,471,1,468,lassenvolcanicnationalpark ridgelakestrail roadtripusa geotagged chriscrossingamerica california ca nps nationalpark lassen hike hiking trail landscape,40.455271999999994,-121.54771699999999,16,0,,5567497.0,1,0,0,0,c2e41c92eb,jpg,,True
18,18,49562314833,152335126@N08,660ed58a6e,65535,66,Juniper Lake & Mount Lassen,1,0,0,1582238921,Shutter Bug Brent,65535,66,268,juniperlake mountlassen lassenvolcanicnationalpark lake landscape lassennationalforest highlights shadows pinetrees wilderness,40.450115999999994,-121.297045,15,0,,5562828.0,1,0,0,0,,,,True
19,19,49506989047,167430854@N07,093e826e33,65535,66,Lassen Volcanic National Park Waterfall,1,0,0,1581185971,Al Case,4894,5,1817,kings creek falls lassen national park al case landscape california nikon handheld vr d750 nikkor 24120mm f4g,40.457212,-121.44221599999999,16,0,,5562828.0,1,0,0,0,25a7de6985,jpg,,True
20,20,27917049320,143797692@N05,2002a16332,8765,9,"Manzanita Lake and Mt. Lassen, Lassen Volcanic National Park",1,0,0,1580466060,Johnny O.,65535,66,4526,,40.536899,-121.57011499999999,16,0,5BEndU9QUL.CP3wirg,12587714.0,1,0,0,0,,,,True
21,21,49465621246,99491151@N00,15da04e443,65535,66,"Lassen Volcanic National Park Sign (Shasta County, California)",1,0,0,1580418391,courthouselover,7353,8,234,california ca shastacounty lassenvolcanicnationalpark nationalparks nationalparksystem sierranevadamountains nationalparksigns manzanitalake northamerica unitedstates us,40.544304,-121.577219,16,0,,5572304.0,1,0,0,0,,,,True
22,22,49465129663,99491151@N00,eb9a34c44a,65535,66,"Manzanita Lake Entry Station (Lassen Volcanic National Park, California)",1,0,0,1580418392,courthouselover,7353,8,156,california ca shastacounty lassenvolcanicnationalpark nationalparks nationalparksystem sierranevadamountains northamerica unitedstates us,40.538058,-121.571072,16,0,,5572304.0,1,0,0,0,,,,True
23,23,49465620986,99491151@N00,4a7e82c55e,65535,66,"Manzanita Lake (Lassen Volcanic National Park, California)",1,0,0,1580418392,courthouselover,7353,8,158,california ca shastacounty landscapes lassenvolcanicnationalpark nationalparks nationalparksystem sierranevadamountains manzanitalake northamerica unitedstates us,40.537512,-121.570954,16,0,,5572304.0,1,0,0,0,,,,True
24,24,49465843212,99491151@N00,53d75a39a2,65535,66,"Lassen Volcanic National Park (Shasta County, California)",1,0,0,1580418392,courthouselover,7353,8,156,california ca shastacounty landscapes lassenvolcanicnationalpark nationalparks nationalparksystem sierranevadamountains northamerica unitedstates us,40.537374,-121.57036299999999,16,0,,5572304.0,1,0,0,0,,,,True
25,25,49465129233,99491151@N00,ab463c9c3e,65535,66,"Manzanita Lake Area Trails Marker (Lassen Volcanic National Park, California)",1,0,0,1580418393,courthouselover,7353,8,151,california ca shastacounty lassenvolcanicnationalpark nationalparks nationalparksystem sierranevadamountains northamerica unitedstates us,40.536363,-121.562049,16,0,,5567497.0,1,0,0,0,,,,True
26,26,49465129043,99491151@N00,11c8f18fb6,65535,66,"Lassen Volcanic National Park Ranger Station (Shasta County, California)",1,0,0,1580418394,courthouselover,7353,8,264,california ca shastacounty lassenvolcanicnationalpark nationalparks nationalparksystem sierranevadamountains northamerica unitedstates us,40.536167,-121.562671,16,0,,5567497.0,1,0,0,0,,,,True
27,27,49465128933,99491151@N00,f28d93edc7,65535,66,"Lassen Volcanic National Park Ranger Station (Shasta County, California)",1,0,0,1580418395,courthouselover,7353,8,197,california ca shastacounty lassenvolcanicnationalpark nationalparks nationalparksystem sierranevadamountains northamerica unitedstates us,40.536167,-121.562671,16,0,,5567497.0,1,0,0,0,,,,True
28,28,49465128808,99491151@N00,f072542ed4,65535,66,"Seismograph Building (Lassen Volcanic National Park, California)",1,0,0,1580418396,courthouselover,7353,8,190,california ca shastacounty lassenvolcanicnationalpark nationalparks nationalparksystem sierranevadamountains northamerica unitedstates us benjaminfloomis,40.536265,-121.56312199999999,16,0,,5567497.0,1,0,0,0,,,,True
29,29,49465128633,99491151@N00,722080b441,65535,66,"Loomis Museum (Lassen Volcanic National Park, California)",1,0,0,1580418397,courthouselover,7353,8,207,california ca shastacounty lassenvolcanicnationalpark nationalparks nationalparksystem sierranevadamountains stephentyngmather stephenmather northamerica unitedstates us benjaminfloomis,40.536265,-121.56312199999999,16,0,,5567497.0,1,0,0,0,,,,True
30,30,49465619891,99491151@N00,48c5051be3,65535,66,"Loomis Museum (Lassen Volcanic National Park, California)",1,0,0,1580418397,courthouselover,7353,8,204,california ca shastacounty lassenvolcanicnationalpark nationalparks nationalparksystem sierranevadamountains stephentyngmather stephenmather northamerica unitedstates us benjaminfloomis,40.536265,-121.56312199999999,16,0,,5567497.0,1,0,0,0,,,,True
31,31,49465127638,99491151@N00,eb153816ba,65535,66,"Lassen Volcanic National Park (Shasta County, California)",1,0,0,1580418401,courthouselover,7353,8,171,california ca shastacounty landscapes lassenvolcanicnationalpark nationalparks nationalparksystem sierranevadamountains northamerica unitedstates us,40.53496,-121.56290700000001,16,0,,5567497.0,1,0,0,0,,,,True
32,32,49465618781,99491151@N00,3c08013b7e,65535,66,"Manzanita Lake with Loomis Peak (Lassen Volcanic National Park, California)",1,0,0,1580418403,courthouselover,7353,8,176,california ca shastacounty landscapes lassenvolcanicnationalpark nationalparks nationalparksystem sierranevadamountains manzanitalake loomispeak northamerica unitedstates us,40.536485,-121.569773,16,0,,5567497.0,1,0,0,0,,,,True
33,33,49465840117,99491151@N00,ef05209bf6,65535,66,"Manzanita Lake with Loomis Peak (Lassen Volcanic National Park, California)",1,0,0,1580418407,courthouselover,7353,8,192,california ca shastacounty landscapes lassenvolcanicnationalpark nationalparks nationalparksystem sierranevadamountains manzanitalake loomispeak northamerica unitedstates us,40.537496000000004,-121.57103899999998,16,0,,5572304.0,1,0,0,0,,,,True
34,34,49465616921,99491151@N00,b0fd0ec7b4,65535,66,"Manzanita Lake with Lassen and Loomis Peaks (Lassen Volcanic National Park, California)",1,0,0,1580418412,courthouselover,7353,8,226,california ca shastacounty landscapes lassenvolcanicnationalpark nationalparks nationalparksystem sierranevadamountains manzanitalake lassenpeak loomispeak northamerica unitedstates us,40.533646999999995,-121.57078200000001,16,0,,5567497.0,1,0,0,0,,,,True
35,35,49465125288,99491151@N00,36116c8abd,65535,66,"Manzanita Lake with Lassen and Loomis Peaks (Lassen Volcanic National Park, California)",1,0,0,1580418414,courthouselover,7353,8,309,california ca shastacounty landscapes lassenvolcanicnationalpark nationalparks nationalparksystem sierranevadamountains manzanitalake lassenpeak loomispeak northamerica unitedstates us,40.533646999999995,-121.57078200000001,16,0,,5567497.0,1,0,0,0,,,,True
36,36,49465616501,99491151@N00,441a75f2bd,65535,66,"Manzanita Lake with Lassen and Loomis Peaks (Lassen Volcanic National Park, California)",1,0,0,1580418413,courthouselover,7353,8,186,california ca shastacounty landscapes lassenvolcanicnationalpark nationalparks nationalparksystem sierranevadamountains manzanitalake lassenpeak loomispeak northamerica unitedstates us,40.533646999999995,-121.57078200000001,16,0,,5567497.0,1,0,0,0,,,,True
37,37,49465124773,99491151@N00,28b2db23c0,65535,66,"Manzanita Lake Entry Station (Lassen Volcanic National Park, California)",1,0,0,1580418392,courthouselover,7353,8,147,california ca shastacounty lassenvolcanicnationalpark nationalparks nationalparksystem sierranevadamountains northamerica unitedstates us,40.538058,-121.571072,16,0,,5572304.0,1,0,0,0,,,,True
38,38,49465615961,99491151@N00,d229c00063,65535,66,"Manzanita Lake with Lassen and Loomis Peaks (Lassen Volcanic National Park, California)",1,0,0,1580418409,courthouselover,7353,8,184,california ca shastacounty landscapes lassenvolcanicnationalpark nationalparks nationalparksystem sierranevadamountains manzanitalake lassenpeak loomispeak northamerica unitedstates us,40.534577,-121.56943000000001,16,0,,5567497.0,1,0,0,0,,,,True
39,39,2689980637,10725258@N00,752b744aef,3119,4,Painted Dunes detail,1,0,0,1577747664,rovingmagpie,7349,8,380,california volcano lassen cinders lassenvolcanic cindercone lassenvolcanicnationalpark snaglake 2008tour thebigtour bigtourday18,40.544754,-121.31380300000001,15,0,nWffZiZTUb4mWuFa,2347596.0,1,0,0,0,,,,True
40,40,2690715422,10725258@N00,49cd493131,3272,4,Yup. We're somewhere new.,1,0,0,1577746112,rovingmagpie,7349,8,256,california volcano lassen cinders lassenvolcanic cindercone lassenvolcanicnationalpark snaglake 2008tour thebigtour bigtourday18,40.547526,-121.31891,15,0,nWffZiZTUb4mWuFa,2347596.0,1,0,0,0,,,,True
41,41,49289778398,8250751@N06,452928c326,65535,66,Lassen Volcanic National Park,1,0,0,1577582995,aafromaa,4477,5,37,nationalpark,40.490716,-121.423898,16,0,,5562828.0,1,0,0,0,6a06742df6,jpg,,True
42,42,50037499606,62634671@N08,9c98791ffb,65535,66,"Lassen Volcanic National Park, California, USA - 1994.",1,0,0,1592927651,John Mac 2011 UK,5071,6,2,1994 california johnmacstravelphotography johnmacsusa lassenvolcanicnationalpark usa usa1994 usa1994tour usa–1994,40.496494,-121.415709,16,0,,5562828.0,1,0,0,0,267a1b4c58,jpg,,True
43,43,50036955418,62634671@N08,4d1493a561,65535,66,"Lassen Volcanic National Park, California, USA - 1994.",1,0,0,1592927652,John Mac 2011 UK,5071,6,2,1994 california johnmacstravelphotography johnmacsusa lassenvolcanicnationalpark usa usa1994 usa1994tour usa–1994,40.496494,-121.415709,16,0,,5562828.0,1,0,0,0,7ea854637d,jpg,,True
44,44,50037758792,62634671@N08,520d05dc11,65535,66,"Lassen Volcanic National Park, California, USA - 1994.",1,0,0,1592927652,John Mac 2011 UK,5071,6,2,1994 california johnmacstravelphotography johnmacsusa lassenvolcanicnationalpark usa usa1994 usa1994tour usa–1994,40.496494,-121.415709,16,0,,5562828.0,1,0,0,0,edf6121cdd,jpg,,True
45,45,50037758757,62634671@N08,5ed0611b19,65535,66,"Lassen Volcanic National Park, California, USA - 1994.",1,0,0,1592927653,John Mac 2011 UK,5071,6,2,1994 california johnmacstravelphotography johnmacsusa lassenvolcanicnationalpark usa usa1994 usa1994tour usa–1994,40.496494,-121.415709,16,0,,5562828.0,1,0,0,0,4e93152f3d,jpg,,True
48,48,49776679881,49189735@N07,7eaae465fe,65535,66,Lassen Volcanic NP,1,0,0,1586950548,JR-pharma,65535,66,54,lassen volcanic national park pacificcresttrail pct california usa hiking hike 2019 thruhike through sonyrx100 rx100 rx100m3 rx100iii pacificcresttrail2019 pct2019 lassenvolcanicnationalpark,40.436683,-121.39758400000001,16,0,,5562828.0,1,0,0,0,,,,True
49,49,49776144268,49189735@N07,740ba69202,65535,66,Lassen Volcanic NP,1,0,0,1586950549,JR-pharma,65535,66,60,lassen volcanic national park pacificcresttrail pct california usa hiking hike 2019 thruhike through sonyrx100 rx100 rx100m3 rx100iii pacificcresttrail2019 pct2019 lassenvolcanicnationalpark,40.421402,-121.37718899999999,16,0,,5562828.0,1,0,0,0,,,,True
50,50,49769659483,12609665@N03,cbdbdc8467,65535,66,Pacific Lupine,1,0,0,1586801033,deedeelim,3098,4,7,wildflowers californiawildflowers california nature flowers plants,40.457433,-121.504906,16,0,,5562828.0,1,0,0,0,,,,True
51,51,49770516267,12609665@N03,5ff28037c7,65535,66,Manzanita,1,0,0,1586801033,deedeelim,3098,4,7,wildflowers californiawildflowers california nature flowers plants,40.532340999999995,-121.56988899999999,16,0,,5567497.0,1,0,0,0,,,,True
52,52,49769659193,12609665@N03,f61e05c9eb,65535,66,Sierra Gooseberry,1,0,0,1586801034,deedeelim,3098,4,6,wildflowers californiawildflowers california nature flowers plants,40.504108,-121.46548700000001,16,0,,5562828.0,1,0,0,0,,,,True
53,53,49770515962,12609665@N03,c6bd3e254a,65535,66,Scarlet Trumpet,1,0,0,1586801034,deedeelim,3098,4,6,wildflowers californiawildflowers california nature flowers plants,40.504108,-121.46548700000001,16,0,,5562828.0,1,0,0,0,,,,True
54,54,49770515797,12609665@N03,2edfe03b87,65535,66,Pacific Aster,1,0,0,1586801035,deedeelim,3098,4,6,wildflowers californiawildflowers california nature flowers plants,40.504108,-121.46548700000001,16,0,,5562828.0,1,0,0,0,,,,True
55,55,49770192061,12609665@N03,d98dcdb2fb,65535,66,Pearly Everlasting,1,0,0,1586801036,deedeelim,3098,4,5,wildflowers californiawildflowers california nature flowers plants,40.504011,-121.465484,16,0,,5562828.0,1,0,0,0,,,,True
56,56,49769658663,12609665@N03,12f52f4be5,65535,66,Lomelosia,1,0,0,1586801037,deedeelim,3098,4,6,wildflowers californiawildflowers california nature flowers plants,40.503827,-121.46547,16,0,,5562828.0,1,0,0,0,,,,True
57,57,49770191746,12609665@N03,6df84d2910,65535,66,Lomelosia,1,0,0,1586801037,deedeelim,3098,4,6,wildflowers californiawildflowers california nature flowers plants,40.503727000000005,-121.46541200000001,16,0,,5562828.0,1,0,0,0,,,,True
58,58,49770191621,12609665@N03,f8458d53b4,65535,66,Maiden Blue Eyed Mary,1,0,0,1586801038,deedeelim,3098,4,7,wildflowers californiawildflowers california nature flowers plants,40.501613,-121.465225,16,0,,5562828.0,1,0,0,0,,,,True
59,59,49769658288,12609665@N03,c8fa5a2eb2,65535,66,Indian Paintbrush,1,0,0,1586801039,deedeelim,3098,4,5,wildflowers californiawildflowers california nature flowers plants,40.503677,-121.465359,16,0,,5562828.0,1,0,0,0,,,,True
60,60,49770515002,12609665@N03,9849c8f931,65535,66,Western Groundsel,1,0,0,1586801039,deedeelim,3098,4,5,wildflowers californiawildflowers california nature flowers plants,40.460086,-121.458403,16,0,,5562828.0,1,0,0,0,,,,True
61,61,49769658053,12609665@N03,0003e6a469,65535,66,Short-fruit Pimpinella,1,0,0,1586801040,deedeelim,3098,4,5,wildflowers californiawildflowers california nature flowers plants,40.460086,-121.458403,16,0,,5562828.0,1,0,0,0,,,,True
62,62,49770191126,12609665@N03,b78c1a7334,65535,66,Huckleberry Oak,1,0,0,1586801040,deedeelim,3098,4,5,wildflowers californiawildflowers california nature flowers plants,40.499477,-121.400434,16,0,,5562828.0,1,0,0,0,,,,True
63,63,49769657738,12609665@N03,bf9e3393aa,65535,66,00100lPORTRAIT_00100_BURST20190921115441972_COVER,1,0,0,1586801041,deedeelim,3098,4,5,wildflowers californiawildflowers california nature flowers plants,40.498366,-121.39383899999999,16,0,,5562828.0,1,0,0,0,,,,True
64,64,49769657623,12609665@N03,11de35e007,65535,66,00100lPORTRAIT_00100_BURST20190921115619155_COVER,1,0,0,1586801042,deedeelim,3098,4,5,wildflowers californiawildflowers california nature flowers plants,40.498305,-121.393864,16,0,,5562828.0,1,0,0,0,,,,True
65,65,49770188571,12609665@N03,4faa472727,65535,66,Wolf Lichen,1,0,0,1586801068,deedeelim,3098,4,8,wildflowers californiawildflowers california nature flowers plants,40.530952,-121.567528,16,0,,5567497.0,1,0,0,0,,,,True
66,66,49769655303,12609665@N03,0d6a033f3f,65535,66,Tree Moss,1,0,0,1586801069,deedeelim,3098,4,5,wildflowers californiawildflowers california nature flowers plants,40.530988,-121.56751399999999,16,0,,5567497.0,1,0,0,0,,,,True
67,67,49708517908,36195531@N00,0fe17e88d7,65535,66,Lassen Peak,1,0,0,1585421203,s__i,99,1,19,lassenvolcanicnationalpark,40.533919,-121.569223,16,0,,5567497.0,1,0,0,0,95852cabc9,jpg,,True
68,68,49709039586,36195531@N00,c0acc59828,65535,66,Volcanics,1,0,0,1585421205,s__i,99,1,30,lassenvolcanicnationalpark,40.449227,-121.534925,16,0,,5567497.0,1,0,0,0,d761372cde,jpg,,True
69,69,49709036571,36195531@N00,8828158a58,65535,66,Sulphur Works,1,0,0,1585421206,s__i,99,1,18,lassenvolcanicnationalpark,40.449197,-121.53343899999999,16,0,,5567497.0,1,0,0,0,3a115008fa,jpg,,True
70,70,49709030441,36195531@N00,4604818849,65535,66,Closing in,1,0,0,1585421207,s__i,99,1,18,lassenvolcanicnationalpark,40.445102,-121.526553,16,0,,5568239.0,1,0,0,0,44310c048c,jpg,,True
71,71,49709028956,36195531@N00,fc909bef1f,65535,66,Entrance,1,0,0,1585421208,s__i,99,1,17,lassenvolcanicnationalpark,40.435660999999996,-121.533709,16,0,,5568239.0,1,0,0,0,85d4390ffc,jpg,,True
85,85,6792323244,10725258@N00,1fac1467cc,7193,8,Guy Test,1,0,0,1584038097,rovingmagpie,7349,8,2858,california snow geotagged caterpillar lassen snowblower powertool lassenvolcanicnationalpark tirechains kodiaknorthwest cdtw2011 geo:lat=40467435794383235 geo:lon=12151260707213589 caterpillarsnowblower powertoollust powertoolporn guytest upyourssnow,40.467434999999995,-121.512607,16,0,5BEndU9QUL.CP3wirg,12587714.0,1,0,0,0,,,,True
86,86,49519897836,8193588@N07,524b7e0139,65535,66,Cinder cone,1,0,0,1581408361,pepperjackb,8435,9,8,,40.54868,-121.31921399999999,16,0,,5562828.0,1,0,0,0,2e1fb30544,jpg,,True
87,87,49518732477,8193588@N07,893011a1d9,65535,66,Cinder cone,1,0,0,1581379224,pepperjackb,8435,9,5,,40.548511,-121.320748,16,0,,5562828.0,1,0,0,0,a9ceb76195,jpg,,True
88,88,49518497456,8193588@N07,7fa6bbf02f,65535,66,Cinder cone,1,0,0,1581378863,pepperjackb,8435,9,5,,40.547163,-121.319809,16,0,,5562828.0,1,0,0,0,b8e1a189c6,jpg,,True
89,89,49516968792,8193588@N07,4a10fc23df,65535,66,Cinder cone,1,0,0,1581353334,pepperjackb,8435,9,1,,40.547263,-121.31966399999999,16,0,,5562828.0,1,0,0,0,48a72d7188,jpg,,True
90,90,49516748481,8193588@N07,96147fe6dc,65535,66,Cinder cone,1,0,0,1581353324,pepperjackb,8435,9,1,,40.547397,-121.31841399999999,16,0,,5562828.0,1,0,0,0,16d8ba1144,jpg,,True
91,91,49516225698,8193588@N07,96ec9ce010,65535,66,Cinder cone,1,0,0,1581353292,pepperjackb,8435,9,1,,40.547160999999996,-121.31903100000001,16,0,,5562828.0,1,0,0,0,f4b0daae05,jpg,,True
92,92,49516650711,8193588@N07,c04faceae0,65535,66,Cinder cone and lassen,1,0,0,1581352048,pepperjackb,8435,9,2,,40.547163,-121.319809,16,0,,5562828.0,1,0,0,0,2c0e9119d5,jpg,,True
93,93,49516129628,8193588@N07,26816a996c,65535,66,Cinder cone and lassen,1,0,0,1581352046,pepperjackb,8435,9,2,,40.547569,-121.319375,16,0,,5562828.0,1,0,0,0,09101f9215,jpg,,True
94,94,49516129383,8193588@N07,79e678bfe2,65535,66,Cinder cone and lassen,1,0,0,1581352043,pepperjackb,8435,9,1,,40.548302,-121.318748,16,0,,5562828.0,1,0,0,0,6e442af036,jpg,,True
95,95,49516129128,8193588@N07,e1681a5d04,65535,66,Cinder cone and lassen,1,0,0,1581352040,pepperjackb,8435,9,1,,40.543255,-121.325731,16,0,,5562828.0,1,0,0,0,44778ec10c,jpg,,True
96,96,49516128583,8193588@N07,4a381d5641,65535,66,Cinder cone and lassen,1,0,0,1581352035,pepperjackb,8435,9,1,,40.547263,-121.31966399999999,16,0,,5562828.0,1,0,0,0,726c202b6b,jpg,,True
97,97,49516128133,8193588@N07,2f8f92d5ca,65535,66,Cinder cone and lassen,1,0,0,1581352029,pepperjackb,8435,9,1,,40.546927000000004,-121.318598,16,0,,5562828.0,1,0,0,0,15e322eb88,jpg,,True
98,98,49516649141,8193588@N07,dc1c3a34a1,65535,66,Cinder cone and lassen,1,0,0,1581352029,pepperjackb,8435,9,1,,40.54793,-121.318603,16,0,,5562828.0,1,0,0,0,5d41198a6e,jpg,,True
99,99,49516128093,8193588@N07,fe8af02fa6,65535,66,Cinder cone and lassen,1,0,0,1581352028,pepperjackb,8435,9,1,,40.547397,-121.31841399999999,16,0,,5562828.0,1,0,0,0,1493396c0e,jpg,,True
