,Unnamed: 0,id,owner,secret,server,farm,title,ispublic,isfriend,isfamily,dateupload,ownername,iconserver,iconfarm,views,tags,latitude,longitude,accuracy,context,place_id,woeid,geo_is_public,geo_is_contact,geo_is_friend,geo_is_family,originalsecret,originalformat,machine_tags,in_park
1,1,50007756442,125106122@N07,8070c49b58,65535,66,IMG_20200614_165324566,1,0,0,1592190438,LifeIsForEnjoying,1886,2,6,,37.187477,-86.103484,16,0,,4299728,1,0,0,0,c8599c2ee3,jpg,,True
2,2,49946464951,140386565@N02,44d141bf45,65535,66,Moss and Snail,1,0,0,1590701744,Sabishī,65535,66,54,snailinmoss moss snail,37.164873,-86.15905500000001,16,0,,4291078,1,0,0,0,,,,True
3,3,49880877627,16943730@N00,9f1d53a274,65535,66,Spring serenade: Playing in the puddle,1,0,0,1589150838,sniggie,7333,8,368,mammothcavenationalpark deer nationalpark whitetaileddeer fawn,37.190577000000005,-86.10179000000001,16,0,,4299728,1,0,0,0,5792014202,jpg,,True
4,4,49873951788,140386565@N02,215fc22988,0,0,"Moss and Bird Songs at the Echo River Spring Trail,  4-30-20",1,0,0,1589037213,Sabishī,65535,66,228,birdsongs echoriverspringtrail mammothcavenationalpark mossontree birds,37.180671999999994,-86.111708,16,0,,4299728,1,0,0,0,,,,True
5,5,49844463697,140386565@N02,1a4a223cbe,65535,66,Moss-Covered Trees Near The Green River,1,0,0,1588391656,Sabishī,65535,66,145,mosscoveredtrees mammothcavenationalpark,37.180817,-86.110839,15,0,,4299728,1,0,0,0,,,,True
6,6,49813616676,16943730@N00,2454ae494e,65535,66,Dogwood tree blossoms in Mammoth Cave NP,1,0,0,1587737823,sniggie,7333,8,393,cornusflorida kentucky mammothcave mammothcavenp mammothcavenationalpark aboveground dogwood nationalpark spring springblossoms springtime,37.211290000000005,-86.137964,16,0,,4309770,1,0,0,0,45b3033177,jpg,,True
7,7,49813925152,16943730@N00,07b9e2a06d,65535,66,White-tailed deer of Mammoth Cave,1,0,0,1587737794,sniggie,7333,8,351,kentucky mammothcavenp mammothcavenationalpark deer spring whitetaileddeer,37.226784,-86.129328,16,0,,4309770,1,0,0,0,a1dbfe0ddb,jpg,,True
8,8,49793801348,16943730@N00,ac6c8dcd8d,65535,66,"Dusk over Green River Valley, Mammoth Cave NP",1,0,0,1587324125,sniggie,7333,8,526,greenriverblufftrail kentucky mammothcave mammothcavenp mammothcavenationalpark spring springtime,37.186710999999995,-86.107128,16,0,,4299728,1,0,0,0,ffd25bd24e,jpg,,True
9,9,49791006141,16943730@N00,812f16fddb,65535,66,Good Spring Baptist Church of 1842 in Mammoth Cave NP,1,0,0,1587260407,sniggie,7333,8,365,goodspringbaptistchurch mammothcavenationalpark church redbuds spring springtime mammothcavenp nationalparkservice,37.20876,-86.147396,16,0,,4309770,1,0,0,0,55c3675fee,jpg,,True
10,10,49772749366,16943730@N00,ebb489cb0c,65535,66,Spring serenade at Mammoth Cave,1,0,0,1586860849,sniggie,7333,8,382,mammothcavenationalpark dogwoodblossoms spring unesco mammothcavenp nationalpark kentucky dogwoods floweringdogwood cornusflorida usnationalpark,37.204337,-86.137355,16,0,,4299728,1,0,0,0,4a39a9826e,jpg,,True
11,11,49765305266,16943730@N00,a136703348,65535,66,Redbud spring serenade at Mammoth Cave,1,0,0,1586707240,sniggie,7333,8,644,mammothcavenp mammothcavenationalpark spring springblossoms springtime,37.204337,-86.137355,16,0,,4299728,1,0,0,0,3b90cb8795,jpg,,True
13,13,49695437618,14723335@N05,afdbea8b4f,65535,66,A Cave Ceiling Towering Above (Mammoth Cave National Park),1,0,0,1585101706,thor_mark ,5565,6,761,appalachianmountains appalachianplateaus audubonavenue azimuth131 capturenx2edited caveceiling cavewalls centralcumberlandplateau colorefexpro cumberlandplateau day5 giantcanyonpassage inside internationalbiospherereserve landscape lookingse mammothcavenationalpark mammothpassagetour nature nikond800e project365 travel triptogatewaymammothcuyahoganationalparks worldheritagesite kentucky unitedstates,37.187333,-86.103367,16,0,,4299728,1,0,0,0,,,,True
14,14,49688495258,16943730@N00,2c3d7ed056,65535,66,First notes of Mammoth Cave's spring serenade,1,0,0,1584930222,sniggie,7333,8,476,greenriverblufftrail linderabenzoin mammothcavenp firstsignsofspring life spicebush spring springtime nationalpark,37.190325,-86.105715,16,0,,4299728,1,0,0,0,b9bf6fd013,jpg,,True
15,15,49642227776,14723335@N05,a80c8fffbd,65535,66,Water Falling Across the Historic Cave Entrance with a View from Inside (Mammoth Cave National Park),1,0,0,1583807576,thor_mark ,5565,6,1160,appalachianmountains appalachianplateaus azimuth339 capturenx2edited caveentrance caveopening centralcumberlandplateau colorefexpro cumberlandplateau day5 historicentrance internationalbiospherereserve landscape lichenonrocks lookingnw mammothcavenationalpark mammothpassagetour nature nikond800e outside overcast project365 smallwaterfall travel trees triptogatewaymammothcuyahoganationalparks waterfallatentrance worldheritagesite kentucky unitedstates,37.187298999999996,-86.10346700000001,16,0,,4299728,1,0,0,0,,,,True
16,16,47272220932,140386565@N02,d078ea15e7,7921,8,"Hikers Taking a Break, Mammoth Cave National Park",1,0,0,1583384160,Sabishī,65535,66,245,greenrivervalley naturetrails womenhikers nature people hiking mammothcavenationalparkusa hikers greenriverbluffstrail walking enjoyingnature naturalwomen,37.193262,-86.103737,15,0,,4299728,1,0,0,0,3626402011,jpg,,True
17,17,49546664247,140386565@N02,1962c3f783,65535,66,"Sunset Point, Mammoth Cave National Park",1,0,0,1581918372,Sabishī,65535,66,193,sunset sunsetpoint mammothcavenationalpark,37.187843,-86.107535,15,0,,4299728,1,0,0,0,,,,True
18,18,49546345046,140386565@N02,ce1ac57c51,0,0,"~40 Turkey Vultures and the Pounding of a Pileated Woodpecker at Sunset Point, Mammoth Cave Park",1,0,0,1581916831,Sabishī,65535,66,379,pileatedwoodpecker birds sabishī pileatus dryocopus picidae 21620 aura cathartes turkeyvultures cathartidae,37.187843,-86.107535,15,0,,4299728,1,0,0,0,,,,True
19,19,49545748976,14723335@N05,038191aa6c,65535,66,The Trees Rise Above Me Like a Kindred Soul (Mammoth Cave National Park),1,0,0,1581906006,thor_mark ,5565,6,1093,appalachianmountains appalachianplateaus azimuth321 capturenx2edited centralcumberlandplateau colorefexpro cumberlandplateau day5 heritagetrail internationalbiospherereserve landscape lookingnw mainwalkway mammothcavenationalpark nature nikond800e outside overcast project365 railing travel trees triptogatewaymammothcuyahoganationalparks walkway woodenrailing worldheritagesite kentucky unitedstates,37.1872,-86.103567,16,0,,4299728,1,0,0,0,,,,True
20,20,49480915757,14723335@N05,322f9bb44e,65535,66,A Walkway and Overlook Point Across the Rotunda (Mammoth Cave National Park),1,0,0,1580694970,thor_mark ,5565,6,929,appalachianmountains appalachianplateaus azimuth165 capturenx2edited caveceiling cavewalls centralcumberlandplateau colorefexpro cumberlandplateau day5 formerminelocation inside internationalbiospherereserve landscape lookingse mammothcavenationalpark mammothpassagetour nature nikond800e project365 therotunda travel triptogatewaymammothcuyahoganationalparks worldheritagesite kentucky unitedstates,37.187333,-86.103367,16,0,,4299728,1,0,0,0,,,,True
21,21,49393167972,16943730@N00,57d8d8a1df,65535,66,"Dear deer, don't fear",1,0,0,1579154803,sniggie,7333,8,417,kentucky mammothcave mammothcavenp mammothcavenationalpark odocoileusvirginianus deer whitetaileddeer,37.185185,-86.099788,16,0,,4299728,1,0,0,0,6dd66a7c8f,jpg,,True
22,22,31912965067,140386565@N02,81910ea070,4911,5,Brown Puffball,1,0,0,1578920455,Sabishī,65535,66,372,puffball fungus mammothcavepark greenriverbluffstrail nationalparks organism forest decomposers brownpuffball,37.191894,-86.098952,15,0,,4299728,1,0,0,0,,,,True
23,23,49365257443,16943730@N00,dfc5f72e44,65535,66,What should appear but a whitetail deer,1,0,0,1578724315,sniggie,7333,8,807,kentucky mammothcavenp odocoileusvirginianus deer whitetaileddeer nationalpark,37.186115,-86.099977,16,0,,4299728,1,0,0,0,74f7ec5408,jpg,,True
