,Unnamed: 0,id,owner,secret,server,farm,title,ispublic,isfriend,isfamily,dateupload,ownername,iconserver,iconfarm,views,tags,latitude,longitude,accuracy,context,place_id,woeid,geo_is_public,geo_is_contact,geo_is_friend,geo_is_family,originalsecret,originalformat,machine_tags,in_park
0,0,49862123182,9456601@N03,73cb66c37b,65535,66,Mesa Verde National Park,1,0,0,1588740520,MacabreX,6134,7,8,2019 all colorado farviewhouse mesaverde mesaverdenationalpark nationalpark,37.237827,-108.503891,16,0,,5412481.0,1,0,0,0,,,,True
1,1,49861808241,9456601@N03,777e979205,65535,66,Mesa Verde National Park,1,0,0,1588740508,MacabreX,6134,7,9,2019 all colorado farviewhouse mesaverde mesaverdenationalpark nationalpark,37.237827,-108.503891,16,0,,5412481.0,1,0,0,0,,,,True
2,2,49861275503,9456601@N03,83cbf5c599,65535,66,Mesa Verde National Park,1,0,0,1588740492,MacabreX,6134,7,8,2019 all cliffdwelling colorado mesaverde mesaverdenationalpark nationalpark sprucetreehouse,37.18401,-108.488129,16,0,,5420814.0,1,0,0,0,,,,True
3,3,49861274568,9456601@N03,3ca6067ee1,65535,66,Mesa Verde National Park,1,0,0,1588740471,MacabreX,6134,7,4,2019 all cliffdwelling colorado mesaverde mesaverdenationalpark nationalpark sprucetreehouse,37.18401,-108.488129,16,0,,5420814.0,1,0,0,0,,,,True
4,4,49862120207,9456601@N03,1581347f26,65535,66,Mesa Verde National Park,1,0,0,1588740457,MacabreX,6134,7,6,2019 all cliffdwelling colorado mesaverde mesaverdenationalpark nationalpark sprucetreehouse,37.18401,-108.488129,16,0,,5420814.0,1,0,0,0,,,,True
5,5,49861805476,9456601@N03,43d97894f8,65535,66,Mesa Verde National Park,1,0,0,1588740442,MacabreX,6134,7,6,2019 all cliffdwelling colorado mesaverde mesaverdenationalpark nationalpark sprucetreehouse,37.18401,-108.488129,16,0,,5420814.0,1,0,0,0,,,,True
6,6,49862118842,9456601@N03,166afa3187,65535,66,Mesa Verde National Park,1,0,0,1588740428,MacabreX,6134,7,6,2019 all cliffdwelling colorado mesaverde mesaverdenationalpark nationalpark sprucetreehouse,37.18401,-108.488129,16,0,,5420814.0,1,0,0,0,,,,True
7,7,49862117762,9456601@N03,46f9fe9a8c,65535,66,Mesa Verde National Park,1,0,0,1588740406,MacabreX,6134,7,7,2019 all cactus colorado mesaverde mesaverdenationalpark nationalpark,37.168831,-108.46688799999998,16,0,,5440881.0,1,0,0,0,,,,True
8,8,49862116332,9456601@N03,7607ea5d11,65535,66,Mesa Verde National Park,1,0,0,1588740372,MacabreX,6134,7,6,2019 all colorado mesaverde mesaverdenationalpark nationalpark,37.166012,-108.46271499999999,16,0,,5440881.0,1,0,0,0,,,,True
9,9,49861269613,9456601@N03,8a5dc26552,65535,66,Mesa Verde National Park,1,0,0,1588740360,MacabreX,6134,7,7,2019 all colorado mesaverde mesaverdenationalpark nationalpark,37.166012,-108.46271499999999,16,0,,5440881.0,1,0,0,0,,,,True
