,Unnamed: 0,id,owner,secret,server,farm,title,ispublic,isfriend,isfamily,dateupload,ownername,iconserver,iconfarm,views,tags,latitude,longitude,accuracy,context,place_id,woeid,geo_is_public,geo_is_contact,geo_is_friend,geo_is_family,originalsecret,originalformat,machine_tags,in_park
0,0,49976848061,28928157@N02,5c4ea0b2d6,65535,66,Petrified Forest National Plark,1,0,0,1591448610,Dave Reasons,4469,5,11,petrifiedforestnationalpark arizona unitedstatesofamerica,34.912805,-109.806106,16,0,,5308280.0,1,0,0,0,,,,True
1,1,49925658856,142995416@N07,b474b9d20a,65535,66,Crystal Forest,1,0,0,1590226565,erichudson78,1873,2,1653,usa arizona petrifiedforestnationalpark landscape paysage stone pierre canoneos6d canonef70200mmf4lisusm,34.865515,-109.78878999999999,16,0,,5297683.0,1,0,0,0,,,,True
2,2,49924598957,22276110@N02,2aa672f449,65535,66,"Petroglyphs, Puerco Pueblo Sites, Arizona",1,0,0,1590185477,lotosleo,7878,8,27,petroglyphs puercopueblosites arizona мы2016 family az petrifiedforestnationalpark pfnp puercoridge crossamerica2016,34.974508,-109.791977,15,0,,5550856.0,1,0,0,0,,,,True
3,3,49924207886,22276110@N02,4f3376c705,65535,66,"Puerco Pueblo Ruins, PFNP AZ",1,0,0,1590185475,lotosleo,7878,8,42,puercopuebloruins pfnp az arizona petrifiedforestnationalpark puercoridge landscape crossamerica2016,34.974508,-109.791977,15,0,,5550856.0,1,0,0,0,,,,True
4,4,49923426908,22276110@N02,cb8d059dea,65535,66,"Petrified, Blue Mesa, Arizona",1,0,0,1590177397,lotosleo,7878,8,34,bluemesa petrifiedforestnationalpark arizona az pfnp nationalpark puercoridge petrified crossamerica2016 петрифайдфорест,34.938561,-109.759126,15,0,,5308280.0,1,0,0,0,,,,True
5,5,49921772388,22276110@N02,75e3b2d8e0,65535,66,"Petroglyphs, Puerco Ridge, Arizona",1,0,0,1590139765,lotosleo,7878,8,32,az arizona rock nationalpark holbrook petroglyphs archeological petrifiedforestnationalpark newspaperrock r180 pfnp crossamerica2016 puercoridge,34.962446,-109.79800700000001,15,0,,5308280.0,1,0,0,0,,,,True
6,6,49922490802,22276110@N02,b3833e5d23,65535,66,"Petroglyphs, Puerco Ridge, Arizona",1,0,0,1590136744,lotosleo,7878,8,34,arizona rock nationalpark az petroglyphs petrifiedforestnationalpark newspaperrock pfnp crossamerica2016 holbrook archeological r180 puercoridge,34.962446,-109.79800700000001,15,0,,5308280.0,1,0,0,0,,,,True
7,7,49873644951,127410939@N04,7243efef5e,65535,66,"Blue Mesa, Petrified Forest, Arizona",1,0,0,1589020668,amithchatterjee1,65535,66,386,arizona petrifiedforest painteddesert nationalpark mesa desert,35.065672,-109.781993,16,0,,5550856.0,1,0,0,0,52c371fe4a,jpg,,True
8,8,49869919271,127410939@N04,f533da55fd,65535,66,"A beautiful walk in the Petrified Forest, Arizona on a cloudy day",1,0,0,1588936662,amithchatterjee1,65535,66,262,arizona petrifiedforest nationalpark desert,35.065569,-109.78163400000001,16,0,,5550856.0,1,0,0,0,c15c5d9ef0,jpg,,True
9,9,49833150913,83833206@N00,3dfbe85384,65535,66,"Stairs, Painted Desert Inn",1,0,0,1588171695,jmlwinder,1862,2,71,painteddesertinn petrifiedforestnationalpark southweststyle stairs,35.08385,-109.78893000000001,16,0,,5550856.0,1,0,0,0,40cdafa5e4,jpg,,True
