,Unnamed: 0,id,owner,secret,server,farm,title,ispublic,isfriend,isfamily,dateupload,ownername,iconserver,iconfarm,views,tags,originalsecret,originalformat,latitude,longitude,accuracy,context,place_id,woeid,geo_is_public,geo_is_contact,geo_is_friend,geo_is_family,machine_tags,in_park
0,0,49916924933,89830972@N02,3bc8a12882,65535,66,Oak Titmouse,1,0,0,1590009338,julianthomas,3741,4,26,,7afe1a7417,jpg,36.481283000000005,-121.181223,16,0,,5383164.0,1,0,0,0,,True
1,1,49628335241,33818785@N00,d9f27d6c49,65535,66,Pseudognaphalium californicum (California Cudweed),1,0,0,1583534914,birdgal5,3774,4,69,california sanbenitocounty pinnaclesnp pinnaclesnationalpark condorgulchtrail nativeannualbiennial asteraceae cudweed californiacudweed pseudognaphalium pseudognaphaliumcalifornicum nikon d4 nikond4 80400mmf4556gafsedvr 80400mmf4556gvr inaturalistorg,,,36.487159999999996,-121.19129,16,0,,5383164.0,1,0,0,0,,True
2,2,49611773103,33818785@N00,9165fe8362,65535,66,Solanum umbelliferum (Blue Witch),1,0,0,1583210483,birdgal5,3774,4,71,california sanbenitocounty pinnaclesnp pinnaclesnationalpark oldpinnaclestrail nativeshrub solanaceae bluewitch solanum solanumumbelliferum nikon d4 nikond4 105mmf28gvrmicro,,,36.497828999999996,-121.17627,16,0,,5383164.0,1,0,0,0,,True
3,3,49602193353,24939776@N07,5f13555718,65535,66,Among Rocks by Jim,1,0,0,1583035521,alpenglowtravelers,1834,2,1032,,,,36.489444,-121.1975,16,0,,5383164.0,1,0,0,0,,True
4,4,49539833003,19756080@N00,63e78202a8,65535,66,,1,0,0,1581811116,Tom Clifton,8535,9,17,,0688cf780e,jpg,36.485161,-121.2004,16,0,,5383164.0,1,0,0,0,,True
5,5,49540319486,19756080@N00,1cd5067613,65535,66,Lichen on rock,1,0,0,1581810932,Tom Clifton,8535,9,17,,0b1dff1b1c,jpg,36.482054999999995,-121.1995,16,0,,5383164.0,1,0,0,0,,True
6,6,49540543077,19756080@N00,acacaa8c93,65535,66,Western ground squirrel,1,0,0,1581810923,Tom Clifton,8535,9,17,,ddb823db14,jpg,36.484196999999995,-121.19981999999999,16,0,,5383164.0,1,0,0,0,,True
7,7,49539823003,19756080@N00,b3e711cb29,65535,66,Raven and shadow,1,0,0,1581810916,Tom Clifton,8535,9,24,,a9498a1810,jpg,36.486061,-121.198231,16,0,,5383164.0,1,0,0,0,,True
8,8,49540314931,19756080@N00,8a6ec9ea9f,65535,66,Wildflowers,1,0,0,1581810840,Tom Clifton,8535,9,10,,28d66303cb,jpg,36.485633,-121.20171200000001,16,0,,5383164.0,1,0,0,0,,True
9,9,49539818843,19756080@N00,8acce216fc,65535,66,Coyote,1,0,0,1581810832,Tom Clifton,8535,9,14,,e9838701f9,jpg,36.478141,-121.226242,16,0,,5355447.0,1,0,0,0,,True
10,10,49540310111,19756080@N00,0162817614,65535,66,Wildflowers,1,0,0,1581810741,Tom Clifton,8535,9,18,,59a6f68efa,jpg,36.486305,-121.20464199999999,16,0,,5383164.0,1,0,0,0,,True
11,11,49540533637,19756080@N00,8efff669e0,65535,66,Common Raven,1,0,0,1581810729,Tom Clifton,8535,9,14,,04a8063caa,jpg,36.486002,-121.19825900000001,16,0,,5383164.0,1,0,0,0,,True
12,12,49527719798,33818785@N00,01f750a3ce,65535,66,Primula clevelandii var. patula (Padre's Shooting Star),1,0,0,1581563163,birdgal5,3774,4,57,california sanbenitocounty pinnaclesnp pinnaclesnationalpark oldpinnaclestrail nativeperennial primulaceae padresshootingstar primula pclevelandiivarpatula primulaclevelandii nikon d4 nikond4 105mmf28gvrmicro inaturalistorg,,,36.497493,-121.174843,16,0,,5383164.0,1,0,0,0,,True
13,13,49435429437,33818785@N00,3a6ee19059,65535,66,"Fritillaria affinis (Checker Lily, Mission Bells)",1,0,0,1579888614,birdgal5,3774,4,251,california sanbenitocounty pinnaclesnp pinnaclesnationalpark oldpinnaclestrail nativeperennial liliaceae missionbells checkerlily fritillaria fritillariaaffinis nikon d4 nikond4 105mmf28gvrmicro hbw,,,36.501891,-121.183555,15,0,,5383164.0,1,0,0,0,,True
14,14,49430704806,33818785@N00,51e415bfa6,65535,66,Primula clevelandii (Padre Shooting Star),1,0,0,1579805233,birdgal5,3774,4,109,california sanbenitocounty pinnaclesnp pinnaclesnationalpark condorgulchtrail nativeperennial primulaceae shootingstar padreshootingstar primula primulaclevelandii nikon d4 nikond4 80400mmf4556gafsedvr 80400mmf4556gvr inaturalistorg,,,36.488264,-121.190614,15,0,,5383164.0,1,0,0,0,,True
15,15,49417112308,33818785@N00,73b3790fb4,65535,66,Dichelostemma capitatum ssp. capitatum (Blue Dicks),1,0,0,1579577752,birdgal5,3774,4,104,california sanbenitocounty pinnaclesnp pinnaclesnationalpark condorgulchtrail nativeperennial themidaceae wildhyacinth bluedicks dichelostemma dcapitatumsspcapitatum dichelostemmacapitatum nikon d4 nikond4 80400mmf4556gafsedvr 80400mmf4556gvr inaturalistorg,,,36.488928,-121.19121499999999,16,0,,5383164.0,1,0,0,0,,True
16,16,49417112283,33818785@N00,7af9e71e2c,65535,66,Castilleja foliolosa (Woolly Indian Paintbrush),1,0,0,1579577753,birdgal5,3774,4,108,california sanbenitocounty pinnaclesnp pinnaclesnationalpark condorgulchtrail nativeperennial orobanchaceae woollyindianpaintbrush castilleja castillejafoliolosa nikon d4 nikond4 80400mmf4556gafsedvr 80400mmf4556gvr inaturalistorg,,,36.488928,-121.19121499999999,16,0,,5383164.0,1,0,0,0,,True
17,17,49415810993,33818785@N00,8e58d0aed7,65535,66,Micranthes californica (Greene's Saxifrage),1,0,0,1579556159,birdgal5,3774,4,57,california sanbenitocounty pinnaclesnp pinnaclesnationalpark peaksviewlot benchtrail nativeperennial saxifragaceae greenessaxifrage micranthes micranthescalifornica inaturalistorg,,,36.483287,-121.16250500000001,16,0,,5383164.0,1,0,0,0,,True
18,18,49415810953,33818785@N00,54083069ac,65535,66,Micranthes californica (Greene's Saxifrage),1,0,0,1579556160,birdgal5,3774,4,66,california sanbenitocounty pinnaclesnp pinnaclesnationalpark peaksviewlot benchtrail nativeperennial saxifragaceae greenessaxifrage micranthes micranthescalifornica inaturalistorg,,,36.483287,-121.16250500000001,16,0,,5383164.0,1,0,0,0,,True
19,19,48921920556,15217104@N02,309f7a26e2,65535,66,Pinnacles National Park,1,0,0,1571454978,Planet Q,5526,6,1847,pinnaclesnationalpark,,,36.470277,-121.186945,16,0,,5383164.0,1,0,0,0,,True
20,20,48900657393,8250751@N06,935b48d734,65535,66,Acmon Blue Butterfly in Pinnacles National Park,1,0,0,1571107107,aafromaa,4477,5,32,butterfly flower,9a2b638c1c,jpg,36.485711,-121.18533400000001,16,0,,5383164.0,1,0,0,0,,True
21,21,48901184716,8250751@N06,126c4cb659,65535,66,Acorn Woodpecker,1,0,0,1571107107,aafromaa,4477,5,40,bird,c1dac0e11f,jpg,36.485711,-121.18533400000001,16,0,,5383164.0,1,0,0,0,,True
22,22,48901184586,8250751@N06,7239afb749,65535,66,Steller's Jay,1,0,0,1571107108,aafromaa,4477,5,34,bird birds nationalpark,4962713b42,jpg,36.485711,-121.18533400000001,16,0,,5383164.0,1,0,0,0,,True
23,23,48876452831,132379675@N04,8c359bc3f8,65535,66,20191003-DSCF5979-C1,1,0,0,1570728434,Larry Moberly,65535,66,628,paicines california unitedstates,637d89f707,jpg,36.478352,-121.183848,16,0,,5383164.0,1,0,0,0,,True
24,24,48850531967,132379675@N04,ab8066a0b2,65535,66,20191003-DSCF6026-C1,1,0,0,1570329315,Larry Moberly,65535,66,216,paicines california unitedstates,7cc4b9d807,jpg,36.478352,-121.183848,16,0,,5383164.0,1,0,0,0,,True
