,Unnamed: 0,id,owner,secret,server,farm,title,ispublic,isfriend,isfamily,dateupload,ownername,iconserver,iconfarm,views,tags,latitude,longitude,accuracy,context,place_id,woeid,geo_is_public,geo_is_contact,geo_is_friend,geo_is_family,originalsecret,originalformat,machine_tags,in_park
0,0,50027282243,66926252@N07,d5603806fa,65535,66,Tall Trees,1,0,0,1592704695,Kirk Lougheed,3685,4,1227,california damnationcreektrail delnortecoastredwoods delnortecoastredwoodsstatepark delnortecounty sequoiasempervirens usa unitedstates coastredwood coastalredwood flower fog forest landscape redwood rhododendron sky spring tree,41.650897,-124.11593400000001,16,0,,5563494.0,1,0,0,0,,,,True
1,1,50017869101,66926252@N07,ce539ecbc5,65535,66,Splendor of Light,1,0,0,1592443999,Kirk Lougheed,3685,4,13344,california damnationcreektrail delnortecoastredwoods delnortecoastredwoodsstatepark delnortecounty sequoiasempervirens usa unitedstates coastredwood coastalredwood crepuscularrays fern fog forest landscape plant redwood sky sunbeam tree,41.651219,-124.11551200000001,16,0,,5563494.0,1,0,0,0,,,,True
3,3,49999507363,66926252@N07,14fa7874cb,65535,66,Redwood and Rhodie,1,0,0,1592012308,Kirk Lougheed,3685,4,1605,california damnationcreektrail delnortecoastredwoods delnortecoastredwoodsstatepark delnortecounty sequoiasempervirens usa unitedstates coastredwood coastalredwood flower fog forest landscape redwood rhododendron sky spring tree,41.655671999999996,-124.118356,16,0,,5563494.0,1,0,0,0,,,,True
4,4,49978975221,66926252@N07,a53aa607f6,65535,66,Redwoods and Ferns,1,0,0,1591493609,Kirk Lougheed,3685,4,1472,california damnationcreektrail delnortecoastredwoods delnortecoastredwoodsstatepark delnortecounty sequoiasempervirens usa unitedstates coastredwood coastalredwood fern fog forest landscape log plant redwood sky spring tree,41.652202,-124.11697,16,0,,5563494.0,1,0,0,0,,,,True
5,5,49953919691,66926252@N07,590ec8bc09,65535,66,Redwood Morning,1,0,0,1590888805,Kirk Lougheed,3685,4,2112,california damnationcreektrail delnortecoastredwoods delnortecoastredwoodsstatepark delnortecounty sequoiasempervirens usa unitedstates coastredwood coastalredwood fog forest landscape path redwood sky spring trail tree,41.651127,-124.116178,16,0,,5563494.0,1,0,0,0,,,,True
6,6,49944018981,8096730@N04,19ee4bd6df,65535,66,Jedidiah Smith Redwoods,1,0,0,1590641025,dan tsai,8124,9,816,hike landscape nature water fujifilmxt3 fujinonxf1655mmf28rlmwr statepark fujifilm trees xt3 tree river redwoods trail jedidiahsmith redwood hiking jedidiahsmithredwoodsstatepark,41.789383,-124.08463400000001,16,0,,5565127.0,1,0,0,0,,,,True
8,8,49896062208,91257499@N03,45b87a4244,65535,66,,1,0,0,1589517476,1ofthe5,5616,6,17,,41.265827,-124.100228,16,0,,5569043.0,1,0,0,0,c3ba6a3a05,jpg,,True
9,9,49896062023,91257499@N03,c4014ff345,65535,66,,1,0,0,1589517471,1ofthe5,5616,6,15,,41.266166,-124.09976999999999,16,0,,5569043.0,1,0,0,0,3b373b23a2,jpg,,True
10,10,49824065267,13879794@N04,fc4079bb9d,65535,66,Prairie Creek Redwoods park,1,0,0,1587950316,Tiigra,3784,4,73,2012 orick california unitedstatesofamerica unitedstates fern forest nature plant tree usa wood,41.374522,-124.012675,16,0,,5563261.0,1,0,0,0,4f9fc6ab55,jpg,,True
11,11,49824052402,13893079@N06,5ca846e308,65535,66,Prairie Creek Redwoods park,1,0,0,1587950321,Tigra K,3714,4,37,2012 orick california unitedstatesofamerica unitedstates fern forest nature plant tree usa wood,41.374522,-124.012675,16,0,,5563261.0,1,0,0,0,a51c0b5b7d,jpg,,True
