,Unnamed: 0,id,owner,secret,server,farm,title,ispublic,isfriend,isfamily,dateupload,ownername,iconserver,iconfarm,views,tags,originalsecret,originalformat,latitude,longitude,accuracy,context,place_id,woeid,geo_is_public,geo_is_contact,geo_is_friend,geo_is_family,machine_tags,in_park
42,42,49964453142,9209425@N05,ec17ac6b48,65535,66,Blue Bonnets,1,0,0,1592216671,fillzees,3700,4,24,flora botany taxonomy nature desert rock az wildflower flower stone,,,32.171562,-110.719549,16,0,,7250984.0,1,0,0,0,,True
62,62,49996188463,88812661@N00,abc5075b41,65535,66,IMG_0293,1,0,0,1591925012,sondy,7402,8,21,,23e075ea4a,jpg,32.140475,-110.65576999999999,16,0,,7250984.0,1,0,0,0,,True
63,63,49996188073,88812661@N00,a20814b36f,65535,66,IMG_0303,1,0,0,1591925013,sondy,7402,8,24,,1e7f5efed7,jpg,32.151877,-110.63845900000001,16,0,,7250984.0,1,0,0,0,,True
64,64,49996187968,88812661@N00,52b6ca3c70,65535,66,IMG_0307,1,0,0,1591925014,sondy,7402,8,26,sondy,d76aa62bcb,jpg,32.151877,-110.63845900000001,16,0,,7250984.0,1,0,0,0,,True
65,65,49996707906,88812661@N00,7b148761fd,65535,66,Cristate saguaro off the Quilter Trail in Saguaro National Park,1,0,0,1591925014,sondy,7402,8,37,,2a7509bbfa,jpg,32.151877,-110.638481,16,0,,7250984.0,1,0,0,0,,True
421,421,49948620948,28685278@N02,cfec2d11d2,65535,66,Saguaro NP,1,0,0,1590771821,Brian Collins Photography,609,1,26,arizona briancollins briancollinsphotography cactus cloud clouds desert ih8nyyanks landscape pearcactus saguaro saguaronationalpark seizethelight sky tuscon jet plane tucson unitedstates,,,32.277155,-111.19615300000001,16,0,,5552284.0,1,0,0,0,,True
815,815,24436327522,10725258@N00,76ff65d0c4,1599,2,cristate,1,0,0,1589206800,rovingmagpie,7349,8,1024,arizona tucson saguaro saguaronationalpark cristate fasciation garwoodtrail christmas2015,,,32.21949,-110.692802,16,0,dy0vmAZQUL_YrJmxyg,12587590.0,1,0,0,0,,True
988,988,49843896216,73546025@N06,54acdaf99a,65535,66,Hedgehog cactus,1,0,0,1588385235,Greg Shchepanek,7353,8,79,hedgehogcactus desertflower,53c33b6c5e,jpg,32.261261,-111.21206699999999,15,0,,5552284.0,1,0,0,0,,True
1006,1006,49843896216,73546025@N06,54acdaf99a,65535,66,Hedgehog cactus,1,0,0,1588385235,Greg Shchepanek,7353,8,79,hedgehogcactus desertflower,53c33b6c5e,jpg,32.261261,-111.21206699999999,15,0,,5552284.0,1,0,0,0,,True
1065,1065,16039873956,10725258@N00,6c9950e079,8571,9,goin' faster miles an hour,1,0,0,1588010400,rovingmagpie,7349,8,1816,arizona cactus tucson saguaronationalpark roadrunner geococcyxcalifornianus turtleslava2014,,,32.199438,-110.721802,16,0,t_HgGTdTV7qX7WW4,2508428.0,1,0,0,0,,True
1067,1067,49823456103,56142061@N08,f6afca7114,65535,66,Blooming saguaro cactus at Saguaro National Park,1,0,0,1587953195,Daniel Gillaspia,8384,9,60,,dd3e465d14,jpg,32.162822,-110.727617,16,0,,7250984.0,1,0,0,0,,True
1068,1068,49823442603,56142061@N08,2494cf9b27,65535,66,Blooming prickly pear flower,1,0,0,1587952901,Daniel Gillaspia,8384,9,65,bloomingpricklypear blooming prickly pear,19aff21c10,jpg,32.163115999999995,-110.728425,16,0,,7250984.0,1,0,0,0,,True
1096,1096,49803981638,8065544@N08,cebbcee9bc,65535,66,Desert landscape,1,0,0,1587537253,sparverius81,5776,6,119,saguaronationalpark desierto paisaje paisajem publiclands nature naturaleza cactus,edbfff9ac9,jpg,32.283436,-111.16751200000002,16,0,,5552284.0,1,0,0,0,,True
1097,1097,49804843787,8065544@N08,61e0e3825b,65535,66,Poppy (Eschscholzia sp.),1,0,0,1587537253,sparverius81,5776,6,72,saguaronationalpark desierto desertbotany wildflowers flores nature naturaleza,da66488fa5,jpg,32.268825,-111.171989,16,0,,5307365.0,1,0,0,0,,True
1099,1099,49804843687,8065544@N08,715a41da5b,65535,66,Saguaro National Park,1,0,0,1587537255,sparverius81,5776,6,61,saguaronationalpark desierto paisaje paisajem publiclands nature naturaleza,80953e4f1c,jpg,32.266013,-111.1718,16,0,,5307365.0,1,0,0,0,,True
1100,1100,49804843537,8065544@N08,977ec04e7f,65535,66,Ocotillo (Fouquieria splendens),1,0,0,1587537254,sparverius81,5776,6,71,saguaronationalpark desierto desertbotany wildflowers flores nature naturaleza,83988c21ae,jpg,32.265869,-111.17256200000001,16,0,,5307365.0,1,0,0,0,,True
