,Unnamed: 0,id,owner,secret,server,farm,title,ispublic,isfriend,isfamily,dateupload,ownername,iconserver,iconfarm,views,tags,originalsecret,originalformat,latitude,longitude,accuracy,context,place_id,woeid,geo_is_public,geo_is_contact,geo_is_friend,geo_is_family,machine_tags,in_park
0,0,50037294401,62634671@N08,a086937610,65535,66,"Theodore Roosevelt National Park, North Dakota, USA - 2004.",1,0,0,1592923359,John Mac 2011 UK,5071,6,2,2004 johnmacstravelphotography johnmacsusa northdakota theodorerooseveltnationalpark usa usa2004 usa2004tour usa–2004,07e28593f4,jpg,46.915847,-103.524514,16,0,,5690471.0,1,0,0,0,,True
1,1,50037294291,62634671@N08,44d4d9c8b1,65535,66,"Theodore Roosevelt National Park, North Dakota, USA - 2004.",1,0,0,1592923360,John Mac 2011 UK,5071,6,1,2004 johnmacstravelphotography johnmacsusa northdakota theodorerooseveltnationalpark usa usa2004 usa2004tour usa–2004,b481eba608,jpg,46.915847,-103.524514,16,0,,5690471.0,1,0,0,0,,True
2,2,50037294186,62634671@N08,56b7ec7ea2,65535,66,"Theodore Roosevelt National Park, North Dakota, USA - 2004.",1,0,0,1592923361,John Mac 2011 UK,5071,6,1,2004 johnmacstravelphotography johnmacsusa northdakota theodorerooseveltnationalpark usa usa2004 usa2004tour usa–2004,77d8b23d03,jpg,46.915847,-103.524514,16,0,,5690471.0,1,0,0,0,,True
3,3,50037294136,62634671@N08,5e3ab42328,65535,66,"Theodore Roosevelt National Park, North Dakota, USA - 2004.",1,0,0,1592923362,John Mac 2011 UK,5071,6,1,2004 johnmacstravelphotography johnmacsusa northdakota theodorerooseveltnationalpark usa usa2004 usa2004tour usa–2004,087e4d73c4,jpg,46.915847,-103.524514,16,0,,5690471.0,1,0,0,0,,True
4,4,50036749008,62634671@N08,def17351f8,65535,66,"Theodore Roosevelt National Park, North Dakota, USA - 2004.",1,0,0,1592923363,John Mac 2011 UK,5071,6,0,2004 johnmacstravelphotography johnmacsusa northdakota theodorerooseveltnationalpark usa usa2004 usa2004tour usa–2004,e4419ec4e6,jpg,46.915847,-103.524514,16,0,,5690471.0,1,0,0,0,,True
5,5,50037552537,62634671@N08,3d3db333af,65535,66,"Theodore Roosevelt National Park, North Dakota, USA - 2004.",1,0,0,1592923363,John Mac 2011 UK,5071,6,0,2004 johnmacstravelphotography johnmacsusa northdakota theodorerooseveltnationalpark usa usa2004 usa2004tour usa–2004,ddb22172a0,jpg,46.915847,-103.524514,16,0,,5690471.0,1,0,0,0,,True
6,6,50037293991,62634671@N08,e7b501d5f3,65535,66,"Theodore Roosevelt National Park, North Dakota, USA - 2004.",1,0,0,1592923364,John Mac 2011 UK,5071,6,0,2004 johnmacstravelphotography johnmacsusa northdakota theodorerooseveltnationalpark usa usa2004 usa2004tour usa–2004,c8c966bc69,jpg,46.915847,-103.524514,16,0,,5690471.0,1,0,0,0,,True
7,7,50037293836,62634671@N08,5de5b2cf1b,65535,66,"Theodore Roosevelt National Park, North Dakota, USA - 2004.",1,0,0,1592923365,John Mac 2011 UK,5071,6,0,2004 johnmacstravelphotography johnmacsusa northdakota theodorerooseveltnationalpark usa usa2004 usa2004tour usa–2004,1a129c8483,jpg,46.915847,-103.524514,16,0,,5690471.0,1,0,0,0,,True
8,8,50037293736,62634671@N08,52a3469f97,65535,66,"Theodore Roosevelt National Park, North Dakota, USA - 2004.",1,0,0,1592923366,John Mac 2011 UK,5071,6,0,2004 johnmacstravelphotography johnmacsusa northdakota theodorerooseveltnationalpark usa usa2004 usa2004tour usa–2004,c5d1fa1e55,jpg,46.915847,-103.524514,16,0,,5690471.0,1,0,0,0,,True
9,9,50036748608,62634671@N08,8d399d5483,65535,66,"Theodore Roosevelt National Park, North Dakota, USA - 2004.",1,0,0,1592923367,John Mac 2011 UK,5071,6,0,2004 johnmacstravelphotography johnmacsusa northdakota theodorerooseveltnationalpark usa usa2004 usa2004tour usa–2004,71cd286194,jpg,46.915847,-103.524514,16,0,,5690471.0,1,0,0,0,,True
10,10,50037293631,62634671@N08,d7dc3b333f,65535,66,"Theodore Roosevelt National Park, North Dakota, USA - 2004.",1,0,0,1592923367,John Mac 2011 UK,5071,6,0,2004 johnmacstravelphotography johnmacsusa northdakota theodorerooseveltnationalpark usa usa2004 usa2004tour usa–2004,7177f810a7,jpg,46.915847,-103.524514,16,0,,5690471.0,1,0,0,0,,True
11,11,50036748518,62634671@N08,a1329fe280,65535,66,"Theodore Roosevelt National Park, North Dakota, USA - 2004.",1,0,0,1592923368,John Mac 2011 UK,5071,6,0,2004 johnmacstravelphotography johnmacsusa northdakota theodorerooseveltnationalpark usa usa2004 usa2004tour usa–2004,ee845ab428,jpg,46.915847,-103.524514,16,0,,5690471.0,1,0,0,0,,True
12,12,50037293511,62634671@N08,2949f285ae,65535,66,"Theodore Roosevelt National Park, North Dakota, USA - 2004.",1,0,0,1592923368,John Mac 2011 UK,5071,6,0,2004 johnmacstravelphotography johnmacsusa northdakota theodorerooseveltnationalpark usa usa2004 usa2004tour usa–2004,2ec6b8d0c9,jpg,46.915847,-103.524514,16,0,,5690471.0,1,0,0,0,,True
13,13,50037551932,62634671@N08,c3c1a21006,65535,66,"Theodore Roosevelt National Park, North Dakota, USA - 2004.",1,0,0,1592923368,John Mac 2011 UK,5071,6,0,2004 johnmacstravelphotography johnmacsusa northdakota theodorerooseveltnationalpark usa usa2004 usa2004tour usa–2004,46bb401944,jpg,46.915847,-103.524514,16,0,,5690471.0,1,0,0,0,,True
14,14,50036738938,62634671@N08,c33924c0c0,65535,66,"Theodore Roosevelt National Park, North Dakota, USA - 2004.",1,0,0,1592923360,John Mac 2011 UK,5071,6,2,2004 johnmacstravelphotography johnmacsusa northdakota theodorerooseveltnationalpark usa usa2004 usa2004tour usa–2004,45c50b90e4,jpg,46.915847,-103.524514,16,0,,5690471.0,1,0,0,0,,True
15,15,50037543337,62634671@N08,681f34d9cd,65535,66,"Theodore Roosevelt National Park, North Dakota, USA - 2004.",1,0,0,1592923369,John Mac 2011 UK,5071,6,0,2004 johnmacstravelphotography johnmacsusa northdakota theodorerooseveltnationalpark usa usa2004 usa2004tour usa–2004,752479ba33,jpg,46.915847,-103.524514,16,0,,5690471.0,1,0,0,0,,True
16,16,50021364993,46611873@N04,1c3332e62d,65535,66,Wild horses,1,0,0,1592554088,jb10okie,5463,6,188,nps nationalparks vacation 2016 trip theodorerooseveltnationalpark northdakota southunit,513f976587,jpg,46.95943,-103.40196800000001,16,0,,5692005.0,1,0,0,0,,True
