,Unnamed: 0,id,owner,secret,server,farm,title,ispublic,isfriend,isfamily,dateupload,ownername,iconserver,iconfarm,views,tags,originalsecret,originalformat,latitude,longitude,accuracy,context,place_id,woeid,geo_is_public,geo_is_contact,geo_is_friend,geo_is_family,machine_tags,in_park
0,0,48864622206,142786542@N03,299f36c243,65535,66,2019-09-01_134015_6894_Voyageur_NP_Kabetogama_Overlook-Blind_Ash_Bay_Trail,1,0,0,1570535819,JasonBeam,7817,8,38,northwestsaintlouis minnesota unitedstatesofamerica,18bb66190f,jpg,48.432663,-92.871409,16,0,,5032826,1,0,0,0,,True
1,1,48864816972,142786542@N03,99b2eca496,65535,66,2019-09-01_134508_6923_Voyageur_NP_Kabetogama_Overlook-Blind_Ash_Bay_Trail,1,0,0,1570535819,JasonBeam,7817,8,37,northwestsaintlouis minnesota unitedstatesofamerica,82d4cea528,jpg,48.431946999999994,-92.869987,16,0,,5032826,1,0,0,0,,True
2,2,48732011477,44872167@N08,61391d9f4b,65535,66,2019-09-14_09-31-26,1,0,0,1568471495,Griz version 2.0,7765,8,43,,a52435363e,jpg,48.588044000000004,-93.17326700000001,16,0,,5031596,1,0,0,0,,True
3,3,48275265852,44872167@N08,5dd2ccac3a,65535,66,Paddling Kabetogama Lake,1,0,0,1563049839,Griz version 2.0,7765,8,290,canoe paddling canoeing voyageursnationalpark minnesota northernminnesota kabetogamalake island,9303ec988d,jpg,48.442777,-92.873334,16,0,,7165570,1,0,0,0,,True
5,5,38709116654,89248183@N00,96c877f788,4692,5,,1,0,0,1514766387,sunny00_04,7334,8,39,,c77f2180bd,jpg,48.580905,-93.170748,16,0,LUSU.EBQUL.NuRHl4g,12588832,1,0,0,0,,True
6,6,25315115538,66733752@N00,7e2ccb3b0f,4642,5,Voyageurs National Park,1,0,0,1513799214,Jasperdo,7333,8,86,voyageursnationalpark nationalpark nps minnesota rainylakevisitorcenter ojibwe exhibit sign,9de234dfed,jpg,48.584165999999996,-93.16099399999999,16,0,LUSU.EBQUL.NuRHl4g,12588832,1,0,0,0,,True
7,7,25315113758,66733752@N00,33c52b3a9f,4733,5,Voyageurs National Park,1,0,0,1513799214,Jasperdo,7333,8,98,voyageursnationalpark nationalpark nps minnesota rainylakevisitorcenter ojibwe exhibit sign,683da7f725,jpg,48.584165999999996,-93.16099399999999,16,0,LUSU.EBQUL.NuRHl4g,12588832,1,0,0,0,,True
8,8,25315112818,66733752@N00,446a2b6d16,4684,5,Voyageurs National Park,1,0,0,1513799212,Jasperdo,7333,8,101,voyageursnationalpark nationalpark nps minnesota rainylakevisitorcenter boardwalk pier,cf214127fd,jpg,48.584074,-93.160328,16,0,LUSU.EBQUL.NuRHl4g,12588832,1,0,0,0,,True
9,9,39153034432,66733752@N00,fe9be9b38a,4587,5,Voyageurs National Park,1,0,0,1513799212,Jasperdo,7333,8,169,voyageursnationalpark nationalpark nps minnesota rainylakevisitorcenter boardwalk pier,e484257e7c,jpg,48.584074,-93.160328,16,0,LUSU.EBQUL.NuRHl4g,12588832,1,0,0,0,,True
10,10,39153032522,66733752@N00,c29e6eb662,4692,5,Voyageurs National Park,1,0,0,1513799213,Jasperdo,7333,8,97,voyageursnationalpark nationalpark nps minnesota rainylakevisitorcenter boardwalk pier,5c96237a8a,jpg,48.584074,-93.160328,16,0,LUSU.EBQUL.NuRHl4g,12588832,1,0,0,0,,True
