,Unnamed: 0,id,owner,secret,server,farm,title,ispublic,isfriend,isfamily,dateupload,ownername,iconserver,iconfarm,views,tags,originalsecret,originalformat,latitude,longitude,accuracy,context,place_id,woeid,geo_is_public,geo_is_contact,geo_is_friend,geo_is_family,machine_tags,in_park
0,0,50026861686,40929712@N07,71622ae30e,65535,66,Alaska,1,0,0,1592682111,Sue Powell,904,1,13,alaska,31f79b901c,jpg,61.432747,-142.923112,16,0,,5868505.0,1,0,0,0,,True
1,1,50026323443,40929712@N07,ee8b43d3b9,65535,66,Alaska,1,0,0,1592682112,Sue Powell,904,1,10,alaska,e3b95656a4,jpg,61.483711,-142.887528,16,0,,5866086.0,1,0,0,0,,True
3,3,50023621526,40929712@N07,1d703ff1bc,65535,66,"McCarthy, Alaska",1,0,0,1592596322,Sue Powell,904,1,15,mccarthy alaska,ea155ce488,jpg,61.44555,-142.916231,16,0,,5868505.0,1,0,0,0,,True
4,4,50023621186,40929712@N07,479cc81337,65535,66,"McCarthy, Alaska",1,0,0,1592596323,Sue Powell,904,1,12,mccarthy alaska,83b7e5db3b,jpg,61.432666000000005,-142.92349199999998,16,0,,5868505.0,1,0,0,0,,True
9,9,49784046832,147405332@N04,3ebfd525bb,65535,66,Under the deck,1,0,0,1587111424,Gaw',351,1,315,pont bridge monochrome architecture alaska usa deck metal old contreplongée,b19e25e5ea,jpg,61.488729000000006,-144.015719,15,0,,5875280.0,1,0,0,0,,True
10,10,49767195792,32005048@N06,9f607cb79f,65535,66,"Rocky Mountains, Alaska",1,0,0,1586734998,Arthur Chapman,65535,66,35,rockymountains geo:country=unitedstatesofamerica geocode:method=googleearth geocode:accuracy=100000meters usa alaska,46f1dba1ff,jpg,60.1189,-140.4106,16,0,,5558615.0,1,0,0,0,,True
11,11,49766332983,32005048@N06,c6912d66de,65535,66,"Rocky Mountains, Alaska, USA",1,0,0,1586734999,Arthur Chapman,65535,66,35,rockymountains geo:country=unitedstatesofamerica geocode:method=googleearth geocode:accuracy=100000meters alaska usa,3986c59ccf,jpg,60.1189,-140.4106,16,0,,5558615.0,1,0,0,0,,True
19,19,49634668482,27518428@N00,e0d6105cc0,65535,66,"Shattered. McCarthy, Alaska 102056010",1,0,0,1583672177,vambo25,65535,66,873,monochrome blackandwhite bw film leicar62 35mm mccarthy alaska windshield,,,61.432402,-142.92466100000001,16,0,,5868505.0,1,0,0,0,,True
21,21,49267100226,166814634@N04,31dccb7029,65535,66,AK Gravel Drone (2),1,0,0,1577157569,Renaissance Cyclist,65535,66,4,,0f16567ec6,jpg,61.487777,-144.01666699999998,16,0,,5875280.0,1,0,0,0,,True
22,22,49266640848,166814634@N04,3dfef735c1,65535,66,AK Gravel Drone (3),1,0,0,1577157570,Renaissance Cyclist,65535,66,4,,885b2d8595,jpg,61.487777,-144.01666699999998,16,0,,5875280.0,1,0,0,0,,True
23,23,49266640573,166814634@N04,c2ca1f73b4,65535,66,AK Gravel Drone (4),1,0,0,1577157571,Renaissance Cyclist,65535,66,4,,079e5c6376,jpg,61.487777,-144.01666699999998,16,0,,5875280.0,1,0,0,0,,True
24,24,49266640278,166814634@N04,f548fa0875,65535,66,AK Gravel Drone (5),1,0,0,1577157572,Renaissance Cyclist,65535,66,8,,9da2ff3375,jpg,61.487777,-144.01666699999998,16,0,,5875280.0,1,0,0,0,,True
25,25,49267293592,166814634@N04,0d68bc358a,65535,66,AK Gravel Drone (6),1,0,0,1577157572,Renaissance Cyclist,65535,66,4,,5e8675163b,jpg,61.487777,-144.01666699999998,16,0,,5875280.0,1,0,0,0,,True
26,26,49267098756,166814634@N04,4b17e5b35b,65535,66,AK Gravel Drone (7),1,0,0,1577157573,Renaissance Cyclist,65535,66,4,,1cf456b2f5,jpg,61.487777,-144.016389,16,0,,5875280.0,1,0,0,0,,True
27,27,49266639433,166814634@N04,d8f5fa8479,65535,66,AK Gravel Drone (8),1,0,0,1577157574,Renaissance Cyclist,65535,66,3,,c3ebfbf205,jpg,61.433611,-142.94333400000002,16,0,,5868505.0,1,0,0,0,,True
28,28,49267098191,166814634@N04,bcf4b1374d,65535,66,AK Gravel Drone (9),1,0,0,1577157574,Renaissance Cyclist,65535,66,3,,88d71cf5e9,jpg,61.433611,-142.94333400000002,16,0,,5868505.0,1,0,0,0,,True
29,29,49267292327,166814634@N04,0ee6a7b62d,65535,66,AK Gravel Drone (12),1,0,0,1577157574,Renaissance Cyclist,65535,66,3,,48d438ca40,jpg,61.433611,-142.94333400000002,16,0,,5868505.0,1,0,0,0,,True
30,30,49267291977,166814634@N04,010c1e5091,65535,66,AK Gravel Drone (14),1,0,0,1577157575,Renaissance Cyclist,65535,66,3,,d81ae22979,jpg,61.433611,-142.94333400000002,16,0,,5868505.0,1,0,0,0,,True
31,31,49267173437,166814634@N04,ca4f2a8777,65535,66,AK Gravel Drone (2),1,0,0,1577155333,Renaissance Cyclist,65535,66,10,bikepacking adventure glacier summer alaska mccarthy nationalpark gravel touring steelisreal mtb cycling,79184ec05e,jpg,61.487777,-144.01666699999998,16,0,,5875280.0,1,0,0,0,,True
32,32,49267172722,166814634@N04,4f46394d13,65535,66,AK Gravel Drone (4),1,0,0,1577155335,Renaissance Cyclist,65535,66,9,bikepacking adventure glacier summer alaska mccarthy nationalpark gravel touring steelisreal mtb cycling,4b3e7edfbb,jpg,61.487777,-144.01666699999998,16,0,,5875280.0,1,0,0,0,,True
33,33,49267172332,166814634@N04,5eb4263913,65535,66,AK Gravel Drone (5),1,0,0,1577155336,Renaissance Cyclist,65535,66,13,bikepacking adventure glacier summer alaska mccarthy nationalpark gravel touring steelisreal mtb cycling,c5a26b32f1,jpg,61.487777,-144.01666699999998,16,0,,5875280.0,1,0,0,0,,True
34,34,49267171962,166814634@N04,8bdd35b7dd,65535,66,AK Gravel Drone (6),1,0,0,1577155337,Renaissance Cyclist,65535,66,11,bikepacking adventure glacier summer alaska mccarthy nationalpark gravel touring steelisreal mtb cycling,8e87f6be78,jpg,61.487777,-144.01666699999998,16,0,,5875280.0,1,0,0,0,,True
35,35,49266978041,166814634@N04,f09b045d23,65535,66,AK Gravel Drone (7),1,0,0,1577155338,Renaissance Cyclist,65535,66,11,bikepacking adventure glacier summer alaska mccarthy nationalpark gravel touring steelisreal mtb cycling,785b35542c,jpg,61.487777,-144.016389,16,0,,5875280.0,1,0,0,0,,True
36,36,49267171232,166814634@N04,eb7bcb6d8f,65535,66,AK Gravel Drone (8),1,0,0,1577155338,Renaissance Cyclist,65535,66,13,bikepacking adventure glacier summer alaska mccarthy nationalpark gravel touring steelisreal mtb cycling,ec0dc60920,jpg,61.433611,-142.94333400000002,16,0,,5868505.0,1,0,0,0,,True
37,37,49266977291,166814634@N04,ecfbcbc12c,65535,66,AK Gravel Drone (9),1,0,0,1577155339,Renaissance Cyclist,65535,66,11,bikepacking adventure glacier summer alaska mccarthy nationalpark gravel touring steelisreal mtb cycling,d2bf6f0088,jpg,61.433611,-142.94333400000002,16,0,,,1,0,0,0,,True
38,38,49266517823,166814634@N04,6609bb8077,65535,66,AK Gravel Drone (12),1,0,0,1577155340,Renaissance Cyclist,65535,66,13,bikepacking adventure glacier summer alaska mccarthy nationalpark gravel touring steelisreal mtb cycling,3d17396526,jpg,61.433611,-142.94333400000002,16,0,,5868505.0,1,0,0,0,,True
