,id,owner,secret,server,farm,title,ispublic,isfriend,isfamily
49589775558_148050413@N08_84106dbc8a,49589775558,148050413@N08,84106dbc8a,65535,66,Sunrise at Delta-01,1,0,0
49590268141_148050413@N08_0cc8b90eb6,49590268141,148050413@N08,0cc8b90eb6,65535,66,Sunrise at Delta-01,1,0,0
49590268096_148050413@N08_8970037e1e,49590268096,148050413@N08,8970037e1e,65535,66,Delta-01 Launch Control Facility,1,0,0
49589771773_148050413@N08_a23ef5dbd6,49589771773,148050413@N08,a23ef5dbd6,65535,66,Frosty Morning,1,0,0
49581554883_14723335@N05_cb39e00978,49581554883,14723335@N05,cb39e00978,65535,66,"Lone Trees on a Distant Horizon (Black & White, Badlands National Park)",1,0,0
49577220017_14723335@N05_8abe3a3e1b,49577220017,14723335@N05,8abe3a3e1b,65535,66,A Wide Angle View of Badlands from Panorama Point (Badlands National Park),1,0,0
49563387296_14723335@N05_9f76ec6291,49563387296,14723335@N05,9f76ec6291,65535,66,"Badlands and Formations from the Big Foot Pass Overlook (Black & White, Badlands National Park)",1,0,0
49538124432_40388259@N04_815ff67f3f,49538124432,40388259@N04,815ff67f3f,65535,66,20170812_132040,1,0,0
49529958532_160122027@N08_d92224f0e9,49529958532,160122027@N08,d92224f0e9,65535,66,Badlands,1,0,0
49529921002_160122027@N08_68efdc9b57,49529921002,160122027@N08,68efdc9b57,65535,66,Badlands,1,0,0
49527226373_7305851@N07_6b8159abb5,49527226373,7305851@N07,6b8159abb5,65535,66,Sunset at the Badlands,1,0,0
49524233741_82057796@N00_458537ac25,49524233741,82057796@N00,458537ac25,65535,66,Badlands Sunset,1,0,0
49524452157_82057796@N00_195047ae1c,49524452157,82057796@N00,195047ae1c,65535,66,Dusk at the Badlands,1,0,0
49524452032_82057796@N00_3716a2ac9f,49524452032,82057796@N00,3716a2ac9f,65535,66,Dusk at the Badlands,1,0,0
49523717708_82057796@N00_85c7222647,49523717708,82057796@N00,85c7222647,65535,66,Dusk at the Badlands,1,0,0
49523717458_82057796@N00_f250f32111,49523717458,82057796@N00,f250f32111,65535,66,Dusk at the Badlands,1,0,0
49523717263_82057796@N00_d085ef65e1,49523717263,82057796@N00,d085ef65e1,65535,66,Dusk at the Badlands,1,0,0
