,id,owner,secret,server,farm,title,ispublic,isfriend,isfamily
49627790977_36273847@N00_b923d4f8b1,49627790977,36273847@N00,b923d4f8b1,65535,66,"Big Bend, Texas 2020.",1,0,0
49627516011_36273847@N00_80bde136d5,49627516011,36273847@N00,80bde136d5,65535,66,"Big Bend, Texas 2020.",1,0,0
49627789472_36273847@N00_572f4ccae9,49627789472,36273847@N00,572f4ccae9,65535,66,"Big Bend, Texas 2020.",1,0,0
49627514721_36273847@N00_0274b66177,49627514721,36273847@N00,0274b66177,65535,66,"Big Bend, Texas 2020.",1,0,0
49626628426_67414582@N07_02f712aac5,49626628426,67414582@N07,02f712aac5,65535,66,Prickly Pear Cactus No. 8,1,0,0
49622346896_67414582@N07_c20292ee3d,49622346896,67414582@N07,c20292ee3d,65535,66,Prickly Pear Cactus No. 1,1,0,0
49617256353_67414582@N07_bcc1714512,49617256353,67414582@N07,bcc1714512,65535,66,Balanced Rock No. 1,1,0,0
49610325262_67414582@N07_ddaa0a8e4d,49610325262,67414582@N07,ddaa0a8e4d,65535,66,Hen Egg Mountain,1,0,0
49589057468_160318485@N08_04063c6ec2,49589057468,160318485@N08,04063c6ec2,65535,66,Texas Sunset,1,0,0
49589784957_160318485@N08_3338a327b2,49589784957,160318485@N08,3338a327b2,65535,66,Texas Mountain,1,0,0
49589048188_160318485@N08_00fcf75d9e,49589048188,160318485@N08,00fcf75d9e,65535,66,Mexico from Big Bend,1,0,0
49585264553_67414582@N07_c81fdb7257,49585264553,67414582@N07,c81fdb7257,65535,66,"Grapevine Hills Trail, Big Bend, Texas, 2020",1,0,0
49585762196_67414582@N07_e20ede14d7,49585762196,67414582@N07,e20ede14d7,65535,66,"Balance Rock, Big Bend, Texas, 2020",1,0,0
49585758921_67414582@N07_1e35f7168b,49585758921,67414582@N07,1e35f7168b,65535,66,"Yucca, Big Bend, Texas, 2020",1,0,0
49585755231_67414582@N07_041f781360,49585755231,67414582@N07,041f781360,65535,66,"Big Bend, Texas, 2020",1,0,0
49585754761_67414582@N07_b3abd06ea8,49585754761,67414582@N07,b3abd06ea8,65535,66,"Big Bend, Texas, 2020",1,0,0
49585256463_67414582@N07_99a9576334,49585256463,67414582@N07,99a9576334,65535,66,"Big Bend, Texas, 2020",1,0,0
49585751156_67414582@N07_4401a414f2,49585751156,67414582@N07,4401a414f2,65535,66,"Santa Elena Canyon, Big Bend, Texas, 2020",1,0,0
49576634452_33129142@N03_2dd5fc3ddd,49576634452,33129142@N03,2dd5fc3ddd,65535,66,Trees At Sam Nail Ranch,1,0,0
49567384142_98924793@N03_86db3d42e3,49567384142,98924793@N03,86db3d42e3,65535,66,"Terlingula, Texas cemetery",1,0,0
49554747157_65987396@N00_c870c4ceb6,49554747157,65987396@N00,c870c4ceb6,65535,66,Big Bend South Rim Pano,1,0,0
49554505186_65987396@N00_422f13210f,49554505186,65987396@N00,422f13210f,65535,66,Big Bend South Rim Pano,1,0,0
49554505151_65987396@N00_ca2559cd88,49554505151,65987396@N00,ca2559cd88,65535,66,Big Bend South Rim,1,0,0
49554746967_65987396@N00_45d5c85b6a,49554746967,65987396@N00,45d5c85b6a,65535,66,Big Bend South Rim,1,0,0
49554505156_65987396@N00_d9801f3354,49554505156,65987396@N00,d9801f3354,65535,66,Pinnacles or Laguna Meadows Trailhead,1,0,0
49548668496_65987396@N00_542c390bb8,49548668496,65987396@N00,542c390bb8,65535,66,Lining up the shot,1,0,0
49548896122_65987396@N00_e7662a5f15,49548896122,65987396@N00,e7662a5f15,65535,66,Big Bend East Rim Sunrise,1,0,0
49548668376_65987396@N00_e474efacc3,49548668376,65987396@N00,e474efacc3,65535,66,East Rim Sunrise,1,0,0
49548668291_65987396@N00_365ceb8aeb,49548668291,65987396@N00,365ceb8aeb,65535,66,Big Bend South Rim,1,0,0
49548896022_65987396@N00_13478910a5,49548896022,65987396@N00,13478910a5,65535,66,Big Bend East Rim Sunrise,1,0,0
49542359721_132770804@N07_f4db6eda72,49542359721,132770804@N07,f4db6eda72,65535,66,"Boquillas Canyon Trail, Big Bend National Park  11/20/2013",1,0,0
49541562167_33930674@N07_cfb4fb98ea,49541562167,33930674@N07,cfb4fb98ea,65535,66,BIBE_03032019_DSC01916,1,0,0
49541340611_33930674@N07_4cfd055c06,49541340611,33930674@N07,4cfd055c06,65535,66,BIBE_03032019_DSC01910,1,0,0
