,id,owner,secret,server,farm,title,ispublic,isfriend,isfamily
49899739453_54804105@N07_bbe4e34053,49899739453,54804105@N07,bbe4e34053,65535,66,DSCF3528.jpg,1,0,0
27875376494_10725258@N00_d39a0887a2,27875376494,10725258@N00,d39a0887a2,8299,9,a contender,1,0,0
49893117996_47696063@N00_b30a998259,49893117996,47696063@N00,b30a998259,65535,66,Canyonlands National Park Aerial View of Fort Bottom Ruin and Bighorn Mesa in Labyrinth Canyon on the Green River,1,0,0
49884380776_7979543@N02_fc0d4ec8d5,49884380776,7979543@N02,fc0d4ec8d5,65535,66,Boulder... 20040709_3050,1,0,0
49876669277_66926252@N07_618e7f631e,49876669277,66926252@N07,618e7f631e,65535,66,Drive to the Top,1,0,0
49864992172_87786214@N07_0281ed79a2,49864992172,87786214@N07,0281ed79a2,65535,66,Evening falls in the Maze,1,0,0
49849072288_127410939@N04_63096742ca,49849072288,127410939@N04,63096742ca,65535,66,"Dead Horse Point, Canyonlands, Utah",1,0,0
49848709167_44124274681@N01_64ceeb98cd,49848709167,44124274681@N01,64ceeb98cd,65535,66,7C6A2005.jpg,1,0,0
49848708592_44124274681@N01_97f4c48d71,49848708592,44124274681@N01,97f4c48d71,65535,66,_MG_0569.jpg,1,0,0
49848400506_44124274681@N01_db445f2f9b,49848400506,44124274681@N01,db445f2f9b,65535,66,_MG_0566.jpg,1,0,0
49847868353_44124274681@N01_a6b18c73fd,49847868353,44124274681@N01,a6b18c73fd,65535,66,_MG_0557.jpg,1,0,0
49848400256_44124274681@N01_2839d1d980,49848400256,44124274681@N01,2839d1d980,65535,66,7C6A1170.jpg,1,0,0
49848708127_44124274681@N01_1a0691b0ba,49848708127,44124274681@N01,1a0691b0ba,65535,66,_MG_0548.jpg,1,0,0
49848400026_44124274681@N01_4f74a3a520,49848400026,44124274681@N01,4f74a3a520,65535,66,_MG_0431-HDR-Pano-2.jpg,1,0,0
49847867928_44124274681@N01_757498ca5d,49847867928,44124274681@N01,757498ca5d,65535,66,_MG_0431-HDR-Pano.jpg,1,0,0
49848399696_44124274681@N01_e18865b5dd,49848399696,44124274681@N01,e18865b5dd,65535,66,_MG_0347.jpg,1,0,0
49848707557_44124274681@N01_051a962afa,49848707557,44124274681@N01,051a962afa,65535,66,_MG_0172.jpg,1,0,0
49847867488_44124274681@N01_7275c10cf6,49847867488,44124274681@N01,7275c10cf6,65535,66,_MG_0165.jpg,1,0,0
49847867363_44124274681@N01_ba4da117c8,49847867363,44124274681@N01,ba4da117c8,65535,66,_MG_0159-2.jpg,1,0,0
49847867198_44124274681@N01_1105ac5a6b,49847867198,44124274681@N01,1105ac5a6b,65535,66,_MG_0159.jpg,1,0,0
49848707012_44124274681@N01_5d82b0aecd,49848707012,44124274681@N01,5d82b0aecd,65535,66,_MG_0155.jpg,1,0,0
49847866793_44124274681@N01_bc6ebd0894,49847866793,44124274681@N01,bc6ebd0894,65535,66,_MG_0144.jpg,1,0,0
49848398616_44124274681@N01_17c82c4d80,49848398616,44124274681@N01,17c82c4d80,65535,66,_MG_0141.jpg,1,0,0
49847866463_44124274681@N01_4bca0995ef,49847866463,44124274681@N01,4bca0995ef,65535,66,_MG_0125.jpg,1,0,0
49848398261_44124274681@N01_bb31824b03,49848398261,44124274681@N01,bb31824b03,65535,66,_MG_0119.jpg,1,0,0
49848398151_44124274681@N01_52dfaec895,49848398151,44124274681@N01,52dfaec895,65535,66,_MG_0104.jpg,1,0,0
