,id,owner,secret,server,farm,title,ispublic,isfriend,isfamily
49353698548_25866067@N00_6c2f070e4c,49353698548,25866067@N00,6c2f070e4c,65535,66,"Areial View of Hanksville, Utah",1,0,0
49354027132_78681559@N04_2f8da62002,49354027132,78681559@N04,2f8da62002,65535,66,Factory Butte,1,0,0
49335858632_62801590@N00_ab6f4de89f,49335858632,62801590@N00,ab6f4de89f,65535,66,,1,0,0
49330623516_62801590@N00_9c5254aac8,49330623516,62801590@N00,9c5254aac8,65535,66,,1,0,0
49325450912_62801590@N00_d610c0f6aa,49325450912,62801590@N00,d610c0f6aa,65535,66,,1,0,0
49324744868_62801590@N00_9e5a63e5f4,49324744868,62801590@N00,9e5a63e5f4,65535,66,,1,0,0
49325003151_62801590@N00_0845649bfa,49325003151,62801590@N00,0845649bfa,65535,66,,1,0,0
3881670030_10725258@N00_9df2f3d0ba,3881670030,10725258@N00,9df2f3d0ba,2594,3,"This could be ""it""",1,0,0
49298292952_27108337@N03_3baf0341c7,49298292952,27108337@N03,3baf0341c7,65535,66,Utah US24 - Mummy Cliff (UT),1,0,0
49295545153_27108337@N03_02ef636d41,49295545153,27108337@N03,02ef636d41,65535,66,Utah US24 - Capitol Reef Resort (UT),1,0,0
49296225152_27108337@N03_c8415b9d0a,49296225152,27108337@N03,c8415b9d0a,65535,66,Utah US24 - Capitol Reef Resort (UT),1,0,0
49295542688_27108337@N03_8731981633,49295542688,27108337@N03,8731981633,65535,66,Utah US24 - Capitol Reef Resort (UT),1,0,0
49296027921_27108337@N03_a7b7a93ebf,49296027921,27108337@N03,a7b7a93ebf,65535,66,Utah US24 - Capitol Reef Resort (UT),1,0,0
49295540608_27108337@N03_2a1b168aa2,49295540608,27108337@N03,2a1b168aa2,65535,66,Utah US24 - Capitol Reef Resort (UT),1,0,0
49296025496_27108337@N03_fd6fbc6717,49296025496,27108337@N03,fd6fbc6717,65535,66,Utah US24 - Capitol Reef Resort (UT),1,0,0
49296024191_27108337@N03_86429f5d9c,49296024191,27108337@N03,86429f5d9c,65535,66,Utah US24 - Capitol Reef Resort (UT),1,0,0
49296218027_27108337@N03_e2eac779fc,49296218027,27108337@N03,e2eac779fc,65535,66,Utah US24 - Capitol Reef Resort (UT),1,0,0
49295534543_27108337@N03_c8f76f1a68,49295534543,27108337@N03,c8f76f1a68,65535,66,Utah US24 - Capitol Reef Resort (UT),1,0,0
49296213567_27108337@N03_f3cf792883,49296213567,27108337@N03,f3cf792883,65535,66,Utah US24 - Capitol Reef Resort (UT),1,0,0
49295529863_27108337@N03_a343fe0442,49295529863,27108337@N03,a343fe0442,65535,66,Utah US24 - Capitol Reef Resort (UT),1,0,0
49296014381_27108337@N03_f90db490ec,49296014381,27108337@N03,f90db490ec,65535,66,Utah US24 - Capitol Reef Resort (UT),1,0,0
49296208692_27108337@N03_dedc2a5273,49296208692,27108337@N03,dedc2a5273,65535,66,Utah US24 - Capitol Reef Resort (UT),1,0,0
49292937196_27108337@N03_3da7fb1dc3,49292937196,27108337@N03,3da7fb1dc3,65535,66,Torrey (UT),1,0,0
49293131672_27108337@N03_5849ebb265,49293131672,27108337@N03,5849ebb265,65535,66,Torrey (UT),1,0,0
49292442998_27108337@N03_5e9f50cafd,49292442998,27108337@N03,5e9f50cafd,65535,66,Torrey (UT),1,0,0
49292441228_27108337@N03_803295e5fd,49292441228,27108337@N03,803295e5fd,65535,66,Torrey (UT),1,0,0
49292931206_27108337@N03_5b45d07c0b,49292931206,27108337@N03,5b45d07c0b,65535,66,Torrey (UT),1,0,0
49292929461_27108337@N03_b2a7f4d9ae,49292929461,27108337@N03,b2a7f4d9ae,65535,66,Torrey (UT),1,0,0
49292437178_27108337@N03_629c513fe3,49292437178,27108337@N03,629c513fe3,65535,66,Torrey (UT),1,0,0
49292927276_27108337@N03_21c343f3ba,49292927276,27108337@N03,21c343f3ba,65535,66,Torrey (UT),1,0,0
49293122307_27108337@N03_97390ae418,49293122307,27108337@N03,97390ae418,65535,66,Torrey (UT),1,0,0
49292924881_27108337@N03_679832b53f,49292924881,27108337@N03,679832b53f,65535,66,Torrey (UT),1,0,0
49293119867_27108337@N03_4ba2938a39,49293119867,27108337@N03,4ba2938a39,65535,66,Torrey (UT),1,0,0
49292430883_27108337@N03_62f707ea28,49292430883,27108337@N03,62f707ea28,65535,66,Torrey (UT),1,0,0
49293116717_27108337@N03_6ff47901a8,49293116717,27108337@N03,6ff47901a8,65535,66,Torrey (UT),1,0,0
49292427458_27108337@N03_7f13080b02,49292427458,27108337@N03,7f13080b02,65535,66,Torrey (UT),1,0,0
