,id,owner,secret,server,farm,title,ispublic,isfriend,isfamily
49662317311_88273318@N05_ee147c9230,49662317311,88273318@N05,ee147c9230,65535,66,And down the road we go,1,0,0
49662316736_88273318@N05_c263718187,49662316736,88273318@N05,c263718187,65535,66,The top of Garfield Peak was seen through a break in the trees,1,0,0
49662316146_88273318@N05_d7dcb84f15,49662316146,88273318@N05,d7dcb84f15,65535,66,Shadows play out upon the trail,1,0,0
49662315466_88273318@N05_733710b28e,49662315466,88273318@N05,733710b28e,65535,66,But who's taking a picture of me taking a picture of Glen taking a picture of Paige?,1,0,0
49661773063_88273318@N05_3d465a788e,49661773063,88273318@N05,3d465a788e,65535,66,A young tree tries to emerge from the snow,1,0,0
49662314461_88273318@N05_7ef5fa4b3b,49662314461,88273318@N05,7ef5fa4b3b,65535,66,And now for a brief and easy uphill section,1,0,0
49662313826_88273318@N05_bc14fa48fd,49662313826,88273318@N05,bc14fa48fd,65535,66,Discovery Point lies at the end of this hill,1,0,0
49662593642_88273318@N05_f67d00b404,49662593642,88273318@N05,f67d00b404,65535,66,A mini-avalanche,1,0,0
49662312761_88273318@N05_137b6155cb,49662312761,88273318@N05,137b6155cb,65535,66,The trail heads uphill,1,0,0
49662312011_88273318@N05_501e1cda2b,49662312011,88273318@N05,501e1cda2b,65535,66,Small rocks roll off the cliffs on occasion,1,0,0
49662591757_88273318@N05_852ac7610a,49662591757,88273318@N05,852ac7610a,65535,66,Beautiful scene at Discovery Point,1,0,0
49662310961_88273318@N05_ae961a9f93,49662310961,88273318@N05,ae961a9f93,65535,66,The snowy rim of Crater Lake,1,0,0
49662310436_88273318@N05_6d5e1280bb,49662310436,88273318@N05,6d5e1280bb,65535,66,The perfect smoothness of snow,1,0,0
49661768333_88273318@N05_b251fe51f1,49661768333,88273318@N05,b251fe51f1,65535,66,Shadow play on the snowy stage,1,0,0
49662589777_88273318@N05_4ca751b0ec,49662589777,88273318@N05,4ca751b0ec,65535,66,It's not a hike unless it goes uphill,1,0,0
49662309061_88273318@N05_69d3a3edda,49662309061,88273318@N05,69d3a3edda,65535,66,Lichen finds a home on a dead whitebark pine tree,1,0,0
49662308456_88273318@N05_cdeb815859,49662308456,88273318@N05,cdeb815859,65535,66,"A dead tree, luminescent against the blue sky",1,0,0
49662588262_88273318@N05_75235b6d86,49662588262,88273318@N05,75235b6d86,65535,66,Wizard Island reposes in front of Llao Rock,1,0,0
49661765223_88273318@N05_5b2946f99d,49661765223,88273318@N05,5b2946f99d,65535,66,View to jagged Hillman Peak,1,0,0
49661764553_88273318@N05_5ca53ffef4,49661764553,88273318@N05,5ca53ffef4,65535,66,Mount Scott presides,1,0,0
49662586377_88273318@N05_fc0540ee0c,49662586377,88273318@N05,fc0540ee0c,65535,66,A clump of whitebark pine snags,1,0,0
49662305206_88273318@N05_3778207ece,49662305206,88273318@N05,3778207ece,65535,66,"Llao Rock, on a sublimely beautiful day",1,0,0
49661762728_88273318@N05_7f018850cd,49661762728,88273318@N05,7f018850cd,65535,66,"Crater Lake, in all its blue and white glory",1,0,0
49661762198_88273318@N05_25a502b665,49661762198,88273318@N05,25a502b665,65535,66,A cold wind cuffed us around as we admired the view,1,0,0
49662303606_88273318@N05_78986e5d22,49662303606,88273318@N05,78986e5d22,65535,66,"Mount Scott, across the lake",1,0,0
49662583712_88273318@N05_6c37f25986,49662583712,88273318@N05,6c37f25986,65535,66,Mount McLaughlin looms to the southwest,1,0,0
49661760903_88273318@N05_b3d39d24e6,49661760903,88273318@N05,b3d39d24e6,65535,66,Craggy Garfield Peak,1,0,0
49662301876_88273318@N05_acf1830762,49662301876,88273318@N05,acf1830762,65535,66,Union Peak impresses from a distance,1,0,0
49662581847_88273318@N05_6dfaaab296,49662581847,88273318@N05,6dfaaab296,65535,66,Mt McLaughlin and Union Peak,1,0,0
49662581432_88273318@N05_179a3b31bb,49662581432,88273318@N05,179a3b31bb,65535,66,The picturesque Rim Drive was our trail,1,0,0
49662580872_88273318@N05_e0a2b55596,49662580872,88273318@N05,e0a2b55596,65535,66,No tour buses on Rim Drive today,1,0,0
49657968753_88273318@N05_0a5ed051e8,49657968753,88273318@N05,0a5ed051e8,65535,66,The Rim Road awaits our presence,1,0,0
49658784952_88273318@N05_359bf87317,49658784952,88273318@N05,359bf87317,65535,66,"Crater Lake in winter, 'nuff said",1,0,0
49658509396_88273318@N05_f8eb310e99,49658509396,88273318@N05,f8eb310e99,65535,66,Lulu and Paige are ready to go,1,0,0
49658784142_88273318@N05_704477d185,49658784142,88273318@N05,704477d185,65535,66,"From Wizard Island, Llao Rock, and the tip of Mount Thielsen",1,0,0
49657966968_88273318@N05_d04f8fcd82,49657966968,88273318@N05,d04f8fcd82,65535,66,View westish,1,0,0
49658508206_88273318@N05_32a4042b66,49658508206,88273318@N05,32a4042b66,65535,66,"Car road by summer, ski trail in winter",1,0,0
49658507771_88273318@N05_cd038dd09a,49658507771,88273318@N05,cd038dd09a,65535,66,"My companions Glen, Paige (and Lulu)",1,0,0
49641222738_94086361@N05_ec684af9f5,49641222738,94086361@N05,ec684af9f5,65535,66,Crater Lake Sunrise,1,0,0
49636754007_94086361@N05_ec661d5085,49636754007,94086361@N05,ec661d5085,65535,66,Sunrise at Crater Lake,1,0,0
49628718848_94086361@N05_8769e8e2e4,49628718848,94086361@N05,8769e8e2e4,65535,66,Snow Camping Crater Lake,1,0,0
49624111047_94086361@N05_3a63337987,49624111047,94086361@N05,3a63337987,65535,66,Snow Camping Crater Lake National Park,1,0,0
49617713953_14723335@N05_8e682c6387,49617713953,14723335@N05,8e682c6387,65535,66,My Travel Paintings - Crater Lake National Park Mount Shasta,1,0,0
49606021143_132770804@N07_fb94c8d3aa,49606021143,132770804@N07,fb94c8d3aa,65535,66,"Phantom Ship, Sun Notch Trail, Crater Lake National Park  7/28/2015",1,0,0
49605907933_132770804@N07_53e01d4b28,49605907933,132770804@N07,53e01d4b28,65535,66,"Crater Lake from Watchman Peak, Crater Lake National Park  7/28/2015",1,0,0
49605017321_94086361@N05_12a87a451f,49605017321,94086361@N05,12a87a451f,65535,66,Snow Camping Crater Lake,1,0,0
49599873941_94086361@N05_55fbb3b219,49599873941,94086361@N05,55fbb3b219,65535,66,Snow Camping at Crater Lake,1,0,0
49594342106_94086361@N05_b82f5d8831,49594342106,94086361@N05,b82f5d8831,65535,66,Snow Shoeing into the Sunset,1,0,0
49592502628_60703488@N00_de43b118c2,49592502628,60703488@N00,de43b118c2,65535,66,Mady and Jill at Crater Lake,1,0,0
49581373273_94086361@N05_dc12d0c6e7,49581373273,94086361@N05,dc12d0c6e7,65535,66,Sunset Crater Lake Snow Camping,1,0,0
49579850657_94086361@N05_9a1ec22fc0,49579850657,94086361@N05,9a1ec22fc0,65535,66,Crater Lake,1,0,0
49562013673_9795006@N08_c71fb63247,49562013673,9795006@N08,c71fb63247,65535,66,Crater Lake 2,1,0,0
49562514131_9795006@N08_dd58e7aee2,49562514131,9795006@N08,dd58e7aee2,65535,66,Crater Lake 1,1,0,0
49545329676_38900564@N07_9c155d99fc,49545329676,38900564@N07,9c155d99fc,65535,66,Crater Lake Panorama - 1,1,0,0
49540503108_94086361@N05_a7a07f6432,49540503108,94086361@N05,a7a07f6432,65535,66,Happy Valentine's Day celebrating 33 years married to my Valentine. ❤😊,1,0,0
49539459443_36531876@N00_dd0272745f,49539459443,36531876@N00,dd0272745f,65535,66,Crater Lake sunset II,1,0,0
49539384416_94086361@N05_d5f174edc9,49539384416,94086361@N05,d5f174edc9,65535,66,Crater Lake National Park,1,0,0
6852332977_10725258@N00_7c02b1cbd0,6852332977,10725258@N00,7c02b1cbd0,7049,8,we were here,1,0,0
49503697397_94086361@N05_f16e5080ce,49503697397,94086361@N05,f16e5080ce,65535,66,Backcountry Skiing Crater Lake,1,0,0
49498309983_94086361@N05_b18a2a5cb3,49498309983,94086361@N05,b18a2a5cb3,65535,66,Backcountry Skiing Crater Lake,1,0,0
49474103501_94086361@N05_be80be01f4,49474103501,94086361@N05,be80be01f4,65535,66,Backcountry Skiing Crater Lake,1,0,0
49376483963_24708362@N00_6c1a542782,49376483963,24708362@N00,6c1a542782,65535,66,Crater Lake Sunset,1,0,0
49342498048_60703488@N00_562a4b88cf,49342498048,60703488@N00,562a4b88cf,65535,66,Crater Lake,1,0,0
49306012952_54430347@N04_33da907dda,49306012952,54430347@N04,33da907dda,65535,66,Hanging out in a boat with wocus,1,0,0
49305061298_144426496@N06_50213d8bea,49305061298,144426496@N06,50213d8bea,65535,66,,1,0,0
49303478221_133876835@N08_bdcec7d6e2,49303478221,133876835@N08,bdcec7d6e2,65535,66,Oregon - Crater Lake National Park,1,0,0
49302155938_98552045@N03_6e4e06f9b1,49302155938,98552045@N03,6e4e06f9b1,65535,66,Crater Lake National Park,1,0,0
49289779208_8250751@N06_192589b908,49289779208,8250751@N06,192589b908,65535,66,Crater Lake,1,0,0
49290469672_8250751@N06_43d406667d,49290469672,8250751@N06,43d406667d,65535,66,Clarks Nutcracker,1,0,0
49290265071_8250751@N06_070b838b28,49290265071,8250751@N06,070b838b28,65535,66,fullsizeoutput_613d,1,0,0
