,id,owner,secret,server,farm,title,ispublic,isfriend,isfamily
49869602128_58344402@N04_00ec959200,49869602128,58344402@N04,00ec959200,65535,66,WE 661 @ Copley,1,0,0
49868895922_88552788@N04_4a7de52f18,49868895922,88552788@N04,4a7de52f18,65535,66,Transitions,1,0,0
49822425068_18345733@N05_5decb4837a,49822425068,18345733@N05,5decb4837a,65535,66,Whiskey,1,0,0
49822423428_18345733@N05_0da3529305,49822423428,18345733@N05,0da3529305,65535,66,Whiskey,1,0,0
49822955666_18345733@N05_54472be967,49822955666,18345733@N05,54472be967,65535,66,Whiskey,1,0,0
49822954186_18345733@N05_6903488655,49822954186,18345733@N05,6903488655,65535,66,Bourbon,1,0,0
49822952686_18345733@N05_8c9a8a6e02,49822952686,18345733@N05,8c9a8a6e02,65535,66,Whiskey,1,0,0
49822951166_18345733@N05_22c8c1958c,49822951166,18345733@N05,22c8c1958c,65535,66,Whiskey,1,0,0
49822949586_18345733@N05_1ba1503329,49822949586,18345733@N05,1ba1503329,65535,66,Whiskey,1,0,0
49823265622_18345733@N05_7d6a748453,49823265622,18345733@N05,7d6a748453,65535,66,Whisky,1,0,0
49820399913_18345733@N05_67eb800107,49820399913,18345733@N05,67eb800107,65535,66,Sparky,1,0,0
49820943056_18345733@N05_f6e98be378,49820943056,18345733@N05,f6e98be378,65535,66,Sparky,1,0,0
49820397518_18345733@N05_6584db79a3,49820397518,18345733@N05,6584db79a3,65535,66,Spirits,1,0,0
49821248627_18345733@N05_e56a376930,49821248627,18345733@N05,e56a376930,65535,66,Sub,1,0,0
49820926556_18345733@N05_bc626ae9d6,49820926556,18345733@N05,bc626ae9d6,65535,66,Tequila,1,0,0
49817293152_18345733@N05_5a48bf4191,49817293152,18345733@N05,5a48bf4191,65535,66,Edison,1,0,0
49816983696_18345733@N05_55ef4bca4e,49816983696,18345733@N05,55ef4bca4e,65535,66,Edison,1,0,0
49816982486_18345733@N05_280ea7820a,49816982486,18345733@N05,280ea7820a,65535,66,Edison,1,0,0
49817289577_18345733@N05_034fbc1b5e,49817289577,18345733@N05,034fbc1b5e,65535,66,Ginger Beer,1,0,0
49816446588_18345733@N05_2da0a90b50,49816446588,18345733@N05,2da0a90b50,65535,66,Memphis Toddy,1,0,0
49816978701_18345733@N05_1d5357f80b,49816978701,18345733@N05,1d5357f80b,65535,66,Poitin,1,0,0
49816975826_18345733@N05_d5d12230e1,49816975826,18345733@N05,d5d12230e1,65535,66,Rum,1,0,0
49816971296_18345733@N05_638ccf1a82,49816971296,18345733@N05,638ccf1a82,65535,66,Sparky,1,0,0
49816437558_18345733@N05_c249325571,49816437558,18345733@N05,c249325571,65535,66,Sparky,1,0,0
49817277707_18345733@N05_113591d141,49817277707,18345733@N05,113591d141,65535,66,Sparky,1,0,0
49816967931_18345733@N05_1b0dd634e9,49816967931,18345733@N05,1b0dd634e9,65535,66,Sparky,1,0,0
49816433063_18345733@N05_a4fd6ed12d,49816433063,18345733@N05,a4fd6ed12d,65535,66,Sparky,1,0,0
49817273252_18345733@N05_fdaf0eebd1,49817273252,18345733@N05,fdaf0eebd1,65535,66,Sparky,1,0,0
49814974271_18345733@N05_3ab8cfe1b6,49814974271,18345733@N05,3ab8cfe1b6,65535,66,Bourbon Cream,1,0,0
49814972936_18345733@N05_0250f6b043,49814972936,18345733@N05,0250f6b043,65535,66,Brandy,1,0,0
49815282557_18345733@N05_f67e501d51,49815282557,18345733@N05,f67e501d51,65535,66,Breakfast,1,0,0
49814963641_18345733@N05_132fe13966,49814963641,18345733@N05,132fe13966,65535,66,Molly Brown's Cafe,1,0,0
49814962311_18345733@N05_b58c6b6e7e,49814962311,18345733@N05,b58c6b6e7e,65535,66,Cats,1,0,0
49814419148_18345733@N05_4e130cbb39,49814419148,18345733@N05,4e130cbb39,65535,66,Edison,1,0,0
49810749018_18345733@N05_12441bcd94,49810749018,18345733@N05,12441bcd94,65535,66,Angel,1,0,0
49811294511_18345733@N05_576cb4ff68,49811294511,18345733@N05,576cb4ff68,65535,66,Angel,1,0,0
49811594322_18345733@N05_263101d464,49811594322,18345733@N05,263101d464,65535,66,Beer,1,0,0
49811592657_18345733@N05_e94a76a55e,49811592657,18345733@N05,e94a76a55e,65535,66,Beer,1,0,0
49811591322_18345733@N05_5a0e0107ec,49811591322,18345733@N05,5a0e0107ec,65535,66,Beer,1,0,0
49811288376_18345733@N05_5c626be13f,49811288376,18345733@N05,5c626be13f,65535,66,Beer,1,0,0
49810740248_18345733@N05_667779831e,49810740248,18345733@N05,667779831e,65535,66,Beer,1,0,0
49811587232_18345733@N05_d1b4635937,49811587232,18345733@N05,d1b4635937,65535,66,Beer,1,0,0
49811585582_18345733@N05_31808812c8,49811585582,18345733@N05,31808812c8,65535,66,Beer,1,0,0
49811584247_18345733@N05_2d9620d8f9,49811584247,18345733@N05,2d9620d8f9,65535,66,Beer,1,0,0
49811582937_18345733@N05_bd71120022,49811582937,18345733@N05,bd71120022,65535,66,Beer,1,0,0
49811581422_18345733@N05_e9b4833438,49811581422,18345733@N05,e9b4833438,65535,66,Beer,1,0,0
49809814022_134733670@N07_fb18ec1cbf,49809814022,134733670@N07,fb18ec1cbf,65535,66,Kendall Marshes,1,0,0
49807646406_19908866@N03_7afe10330a,49807646406,19908866@N03,7afe10330a,65535,66,Nickel Plate #765,1,0,0
49807954087_19908866@N03_cfe5a6d0ba,49807954087,19908866@N03,cfe5a6d0ba,65535,66,Nickel Plate #765,1,0,0
49790935032_89471816@N00_b871493223,49790935032,89471816@N00,b871493223,65535,66,,1,0,0
49790362726_18345733@N05_6bdc7bbb88,49790362726,18345733@N05,6bdc7bbb88,65535,66,Oreo,1,0,0
49789818278_18345733@N05_cb225cb636,49789818278,18345733@N05,cb225cb636,65535,66,Oreo,1,0,0
49790359626_18345733@N05_5a632334f5,49790359626,18345733@N05,5a632334f5,65535,66,Rum,1,0,0
49789815043_18345733@N05_310132062e,49789815043,18345733@N05,310132062e,65535,66,Rum,1,0,0
49789813383_18345733@N05_fa9f2e0f8e,49789813383,18345733@N05,fa9f2e0f8e,65535,66,Sparky,1,0,0
49789812083_18345733@N05_3b183665e9,49789812083,18345733@N05,3b183665e9,65535,66,Sparky,1,0,0
49790667682_18345733@N05_51748f9945,49790667682,18345733@N05,51748f9945,65535,66,Tigger,1,0,0
49790666177_18345733@N05_638c3b067e,49790666177,18345733@N05,638c3b067e,65535,66,Whiskey,1,0,0
49789806743_18345733@N05_76016bede9,49789806743,18345733@N05,76016bede9,65535,66,Whiskey,1,0,0
