,id,owner,secret,server,farm,title,ispublic,isfriend,isfamily
49763116647_32005048@N06_ca25e40ee0,49763116647,32005048@N06,ca25e40ee0,65535,66,"Denali National Park, Alaska, USA",1,0,0
49763116407_32005048@N06_f4ffc941d6,49763116407,32005048@N06,f4ffc941d6,65535,66,Ursus arctos horribilis (Grizzly Bear),1,0,0
49762785411_32005048@N06_14036eaa62,49762785411,32005048@N06,14036eaa62,65535,66,Ursus arctos horribilis (Grizzly Bear),1,0,0
49762258828_32005048@N06_45b6bb6b28,49762258828,32005048@N06,45b6bb6b28,65535,66,Ursus arctos horribilis (Grizzly Bear),1,0,0
49762205523_32005048@N06_9742651038,49762205523,32005048@N06,9742651038,65535,66,"Mt Denali, Denali National Park, Alaska, USA",1,0,0
49763062962_32005048@N06_a45ebc9eeb,49763062962,32005048@N06,a45ebc9eeb,65535,66,"Mt Denali, Denali National Park, Alaska, USA",1,0,0
49762205163_32005048@N06_1aa85af907,49762205163,32005048@N06,1aa85af907,65535,66,"Mt Denali, Denali National Park, Alaska, USA",1,0,0
49762204963_32005048@N06_41a3ddf451,49762204963,32005048@N06,41a3ddf451,65535,66,"Mt Denali, Denali National Park, Alaska, USA",1,0,0
49762204753_32005048@N06_675e8949b2,49762204753,32005048@N06,675e8949b2,65535,66,"Mt Denali, Denali National Park, Alaska, USA",1,0,0
49762731401_32005048@N06_b3be5801b0,49762731401,32005048@N06,b3be5801b0,65535,66,"Mt Denali, Denali National Park, Alaska, USA",1,0,0
49762731201_32005048@N06_90610c964f,49762731201,32005048@N06,90610c964f,65535,66,Rangifer tarandus (Caribou),1,0,0
49762730931_32005048@N06_b444a084af,49762730931,32005048@N06,b444a084af,65535,66,Rangifer tarandus (Caribou),1,0,0
49763061632_32005048@N06_68f7b3db40,49763061632,32005048@N06,68f7b3db40,65535,66,Rangifer tarandus (Caribou),1,0,0
49762730456_32005048@N06_efd40fac71,49762730456,32005048@N06,efd40fac71,65535,66,"Mt Denali, Denali National Park, Alaska, USA",1,0,0
49761963223_32005048@N06_3462a3990a,49761963223,32005048@N06,3462a3990a,65535,66,"Denali, Alaska, USA",1,0,0
49762491726_32005048@N06_0db6a4da64,49762491726,32005048@N06,0db6a4da64,65535,66,"Toilet Stop, Denali National Park, Alaska, USA",1,0,0
49762821447_32005048@N06_b022c9fcf2,49762821447,32005048@N06,b022c9fcf2,65535,66,"Denali National Park, Alaska, USA",1,0,0
49762821032_32005048@N06_352375de27,49762821032,32005048@N06,352375de27,65535,66,"Mt Denali in cloud, Denali National Park, Alaska, USA",1,0,0
49762820772_32005048@N06_e6a5d9e89c,49762820772,32005048@N06,e6a5d9e89c,65535,66,"Mt Denali in cloud, Denali National Park, Alaska, USA",1,0,0
49762490611_32005048@N06_c155b6c4cf,49762490611,32005048@N06,c155b6c4cf,65535,66,"Mt Denali in cloud, Denali National Park, Alaska, USA",1,0,0
49762490406_32005048@N06_4eb6ed6c68,49762490406,32005048@N06,4eb6ed6c68,65535,66,"Mt Denali in cloud, Denali National Park, Alaska, USA",1,0,0
49762490226_32005048@N06_1af901be4d,49762490226,32005048@N06,1af901be4d,65535,66,"Mt Denali in cloud, Denali National Park, Alaska, USA",1,0,0
49762819832_32005048@N06_fe94956cb1,49762819832,32005048@N06,fe94956cb1,65535,66,"Mt Denali in cloud, Denali National Park, Alaska, USA",1,0,0
49762489471_32005048@N06_a844db2505,49762489471,32005048@N06,a844db2505,65535,66,"Road through Denali National Park, Alaska, USA",1,0,0
49762489201_32005048@N06_b884937df1,49762489201,32005048@N06,b884937df1,65535,66,"Denali National Park, Alaska, USA",1,0,0
49761959648_32005048@N06_8b75d37db2,49761959648,32005048@N06,8b75d37db2,65535,66,"Awaiting Bus, Denali, Alaska, USA",1,0,0
49761959328_32005048@N06_eb9680519d,49761959328,32005048@N06,eb9680519d,65535,66,"Denali, Alaska, USA",1,0,0
49762818307_32005048@N06_2ea5fed841,49762818307,32005048@N06,2ea5fed841,65535,66,"Denali, Alaska, USA",1,0,0
49761958843_32005048@N06_bb52cf432a,49761958843,32005048@N06,bb52cf432a,65535,66,"Denali, Alaska, USA",1,0,0
49754471393_14723335@N05_09841c5cb8,49754471393,14723335@N05,09841c5cb8,65535,66,Some Have an Arrogant Loneliness (Denali National Park & Preserve),1,0,0
49747453413_14723335@N05_4c2fa5bf19,49747453413,14723335@N05,4c2fa5bf19,65535,66,Denali Is Like Icing on a Cake for a Day in Alaska!,1,0,0
49744000168_14723335@N05_f72deec358,49744000168,14723335@N05,f72deec358,65535,66,Get Stoked for Denali National Park & Preserve!,1,0,0
49741075067_14723335@N05_fb24d64725,49741075067,14723335@N05,fb24d64725,65535,66,The North Face Lodge Setting in Amongst the Forest and Mountains of Denali National Park & Preserve,1,0,0
49733627002_144194136@N08_a2e2d72919,49733627002,144194136@N08,a2e2d72919,65535,66,Head in the Clouds,1,0,0
49733557632_151111185@N04_47d2b2ccd4,49733557632,151111185@N04,47d2b2ccd4,65535,66,Northbound Thru Fields of Fire,1,0,0
49732279363_14723335@N05_1a2976e734,49732279363,14723335@N05,1a2976e734,65535,66,A View Across Wonder Lake in Denali National Park,1,0,0
49731422117_62539987@N05_718f16baec,49731422117,62539987@N05,718f16baec,65535,66,The King,1,0,0
49731099276_62539987@N05_735bc6bf29,49731099276,62539987@N05,735bc6bf29,65535,66,The King,1,0,0
49729546622_14723335@N05_35851d651d,49729546622,14723335@N05,35851d651d,65535,66,Denali Has a Way of Taking One's Breath Away! (Denali State & National Parks),1,0,0
49728650988_14723335@N05_318dc07033,49728650988,14723335@N05,318dc07033,65535,66,"If One Has Loneliness, One Can Find Company Amongst the Mountains (Denali National Park & Preserve)",1,0,0
49722267376_14723335@N05_61c4dd05a0,49722267376,14723335@N05,61c4dd05a0,65535,66,A View of Mountains from a Roadside Pulloff,1,0,0
49721654868_14723335@N05_bfbaacf749,49721654868,14723335@N05,bfbaacf749,65535,66,I Listened to the Sun Above (Denali National Park & Preserve),1,0,0
49718475301_14723335@N05_dd529ba9c4,49718475301,14723335@N05,dd529ba9c4,65535,66,"The Majestic Snowcapped Peaks of Denali, Even Hidden in Clouds (Denali National Park & Preserve)",1,0,0
49715696688_62539987@N05_f3e6ba0d35,49715696688,62539987@N05,f3e6ba0d35,65535,66,Momma Moose,1,0,0
49715036942_14723335@N05_2c5af9c7a4,49715036942,14723335@N05,2c5af9c7a4,65535,66,A Scenic Byway Around the North Face Lodge! (Denali National Park & Preserve),1,0,0
49710631632_14723335@N05_190afef3a8,49710631632,14723335@N05,190afef3a8,65535,66,Two Caribou on the Denali Tundra (Denali National Park & Preserve),1,0,0
49705849453_14723335@N05_617393d752,49705849453,14723335@N05,617393d752,65535,66,Getting Rid of Radicals By Going Out Into Nature (Denali National Park & Preserve),1,0,0
49706647942_14723335@N05_c587c6789f,49706647942,14723335@N05,c587c6789f,65535,66,Throw on My Backpack and Grab a Camera (Denali State Park),1,0,0
49702860606_14723335@N05_106c3ffb43,49702860606,14723335@N05,106c3ffb43,65535,66,Denali...Come See What It’s All About! (Denali National Park & Preserve),1,0,0
49702233673_14723335@N05_bccf2db7fa,49702233673,14723335@N05,bccf2db7fa,65535,66,Hiking Across the Mountains of Denali State Park (Denali State & National Parks),1,0,0
49699147126_14723335@N05_3dc19599ea,49699147126,14723335@N05,3dc19599ea,65535,66,I Traveled by Bus and Then Rode a Bike (Denali National Park & Preserve),1,0,0
49695423488_14723335@N05_61b49600a4,49695423488,14723335@N05,61b49600a4,65535,66,Looking off to a Distant Snowcapped Mountain Peak While Riding a Bike in Denali National Park & Preserve,1,0,0
49691820503_14723335@N05_126039898b,49691820503,14723335@N05,126039898b,65535,66,The Alaska Resort Is All Around You! (Denali National Park & Preserve),1,0,0
49688937501_14723335@N05_bde9e0579a,49688937501,14723335@N05,bde9e0579a,65535,66,Experiencing the New Standard in Denali National Park & Preserve,1,0,0
49685551552_126973368@N06_07b8eee2e2,49685551552,126973368@N06,07b8eee2e2,65535,66,A Sea of Yellow at Honolulu Creek,1,0,0
49684498438_14723335@N05_36a2bf16ea,49684498438,14723335@N05,36a2bf16ea,65535,66,I'm Going Where Love Takes Me...And I Love Mountains! (Denali National Park & Preserve),1,0,0
49680904748_14723335@N05_066652dc21,49680904748,14723335@N05,066652dc21,65535,66,It Isn't Hard to Imagine a Beautiful Place in Denali National Park & Preserve,1,0,0
49681390316_14723335@N05_70f6f622b5,49681390316,14723335@N05,70f6f622b5,65535,66,Advance One’s Life and Experience What's Natural (Denali National Park & Preserve),1,0,0
49678109061_14723335@N05_f3382f520c,49678109061,14723335@N05,f3382f520c,65535,66,It Isn't Hard to Imagine a Beautiful Place in Denali National Park & Preserve,1,0,0
49677532588_14723335@N05_fc6d0ca528,49677532588,14723335@N05,fc6d0ca528,65535,66,We'd Been Walking for What Seemed a Long Time (Denali State & National Parks),1,0,0
49674999837_14723335@N05_e82995dd06,49674999837,14723335@N05,e82995dd06,65535,66,A Zoomed in View to Denali (Denali State and National Parks),1,0,0
49674923997_14723335@N05_b765f5b8d4,49674923997,14723335@N05,b765f5b8d4,65535,66,"A Meadow of Colors, the Tundra in Front of Me (Denali National Park & Preserve)",1,0,0
49671420791_14723335@N05_4f0433733c,49671420791,14723335@N05,4f0433733c,65535,66,Walking the Little Coal Creek Trail in Denali State Park,1,0,0
49671329931_14723335@N05_e64b62ea2c,49671329931,14723335@N05,e64b62ea2c,65535,66,It's Easy to Travel Like a Local When Out in Nature (Denali National Park & Preserve),1,0,0
49670446921_62539987@N05_4a73b6fcb0,49670446921,62539987@N05,4a73b6fcb0,65535,66,Curious Calf,1,0,0
49667473153_14723335@N05_be64febde6,49667473153,14723335@N05,be64febde6,65535,66,A View of a Bridge Over Hurricane Gulch Along the Parks Highway,1,0,0
49668238162_14723335@N05_dd1022fe7c,49668238162,14723335@N05,dd1022fe7c,65535,66,"You Keep Me Wild With Your Rivers and Mountains! (Black & White, Denali National Park & Preserve)",1,0,0
49664475181_14723335@N05_db08f5068f,49664475181,14723335@N05,db08f5068f,65535,66,The Only Vacation That Can Hold Your Dreams is Right in Front of You!,1,0,0
49664351426_14723335@N05_ba0d1043ef,49664351426,14723335@N05,ba0d1043ef,65535,66,"I Got out of My Comfort Zone and Found Nature's One Very Delightful (Black & White, Denali National Park & Preserve)",1,0,0
49660888888_50469099@N03_0133d51522,49660888888,50469099@N03,0133d51522,65535,66,Denali National Park,1,0,0
49660487011_14723335@N05_b5f8d13097,49660487011,14723335@N05,b5f8d13097,65535,66,Raven on Top of an Evergreen Tree and Making Quite the Fuss :-) (Denali National Park & Preserve),1,0,0
49660466711_14723335@N05_67363eb587,49660466711,14723335@N05,67363eb587,65535,66,Scenic Views at Toklat River Contact Station (Denali National Park & Preserve),1,0,0
49658420022_50469099@N03_5f938571b5,49658420022,50469099@N03,5f938571b5,65535,66,Denali National Park,1,0,0
49656417293_14723335@N05_a542fc297f,49656417293,14723335@N05,a542fc297f,65535,66,Roaming Wonderfully Amongst the Mountains! (Denali National Park & Preserve),1,0,0
49653875572_14723335@N05_aeba9115fc,49653875572,14723335@N05,aeba9115fc,65535,66,To Dream and Listen to the Sound and Whisper of Nature in the Woods (Denali National Park & Preserve),1,0,0
49645720738_14723335@N05_706d2e746b,49645720738,14723335@N05,706d2e746b,65535,66,Taking in View of Mountains and Peaks at the Toklat River Contact Station (Denali National Park & Preserve),1,0,0
49645657503_14723335@N05_d353ba8f92,49645657503,14723335@N05,d353ba8f92,65535,66,"Moose Creek Flowing Between Hillsides and Mountains (Black & White, Denali National Park & Preserve)",1,0,0
49642018158_166814634@N04_06c1c3840f,49642018158,166814634@N04,06c1c3840f,65535,66,Trio Fatbike Championships 2020 (47)LR,1,0,0
49642539481_166814634@N04_eeb5d8d34c,49642539481,166814634@N04,eeb5d8d34c,65535,66,Trio Fatbike Championships 2020 (48)LR,1,0,0
49642539026_166814634@N04_a31f0f42c6,49642539026,166814634@N04,a31f0f42c6,65535,66,Trio Fatbike Championships 2020 (49)LR,1,0,0
49642016828_166814634@N04_2ca9e7231a,49642016828,166814634@N04,2ca9e7231a,65535,66,Trio Fatbike Championships 2020 (50)LR,1,0,0
49642538136_166814634@N04_32c665f93d,49642538136,166814634@N04,32c665f93d,65535,66,Trio Fatbike Championships 2020 (51)LR,1,0,0
49642537646_166814634@N04_29d6d8458b,49642537646,166814634@N04,29d6d8458b,65535,66,Trio Fatbike Championships 2020 (52)LR,1,0,0
49642015343_166814634@N04_22092c8af5,49642015343,166814634@N04,22092c8af5,65535,66,Trio Fatbike Championships 2020 (53)LR,1,0,0
49642536771_166814634@N04_ed9fd94079,49642536771,166814634@N04,ed9fd94079,65535,66,Trio Fatbike Championships 2020 (54)LR,1,0,0
49642811172_166814634@N04_aac2130588,49642811172,166814634@N04,aac2130588,65535,66,Trio Fatbike Championships 2020 (55)LR,1,0,0
49642810647_166814634@N04_e04ed98a29,49642810647,166814634@N04,e04ed98a29,65535,66,Trio Fatbike Championships 2020 (56)LR,1,0,0
49642535381_166814634@N04_2f20b761f3,49642535381,166814634@N04,2f20b761f3,65535,66,Trio Fatbike Championships 2020 (57)LR,1,0,0
49642534966_166814634@N04_f71fea02a3,49642534966,166814634@N04,f71fea02a3,65535,66,Trio Fatbike Championships 2020 (58)LR,1,0,0
49642534516_166814634@N04_3c1f3a0e29,49642534516,166814634@N04,3c1f3a0e29,65535,66,Trio Fatbike Championships 2020 (59)LR,1,0,0
49642534111_166814634@N04_2b4d225faa,49642534111,166814634@N04,2b4d225faa,65535,66,Trio Fatbike Championships 2020 (60)LR,1,0,0
49642011963_166814634@N04_1c3e32047e,49642011963,166814634@N04,1c3e32047e,65535,66,Trio Fatbike Championships 2020 (61)LR,1,0,0
49642808357_166814634@N04_28baeba5a2,49642808357,166814634@N04,28baeba5a2,65535,66,Trio Fatbike Championships 2020 (62)LR,1,0,0
49642011218_166814634@N04_4ec6a998a3,49642011218,166814634@N04,4ec6a998a3,65535,66,Trio Fatbike Championships 2020 (63)LR,1,0,0
49642010788_166814634@N04_18ff439069,49642010788,166814634@N04,18ff439069,65535,66,Trio Fatbike Championships 2020 (64)LR,1,0,0
49642532191_166814634@N04_70cae851ea,49642532191,166814634@N04,70cae851ea,65535,66,Trio Fatbike Championships 2020 (65)LR,1,0,0
49642010123_166814634@N04_4a7b126452,49642010123,166814634@N04,4a7b126452,65535,66,Trio Fatbike Championships 2020 (66)LR,1,0,0
49642531541_166814634@N04_d236081a0d,49642531541,166814634@N04,d236081a0d,65535,66,Trio Fatbike Championships 2020 (67)LR,1,0,0
49642009373_166814634@N04_bdc8d69536,49642009373,166814634@N04,bdc8d69536,65535,66,Trio Fatbike Championships 2020 (68)LR,1,0,0
49642008658_166814634@N04_8c9b3d205b,49642008658,166814634@N04,8c9b3d205b,65535,66,Trio Fatbike Championships 2020 (70)LR,1,0,0
49642804987_166814634@N04_6340c96955,49642804987,166814634@N04,6340c96955,65535,66,Trio Fatbike Championships 2020 (71)LR,1,0,0
49642529721_166814634@N04_c5b5f22d33,49642529721,166814634@N04,c5b5f22d33,65535,66,Trio Fatbike Championships 2020 (72)LR,1,0,0
49642804302_166814634@N04_21d9f6d1b6,49642804302,166814634@N04,21d9f6d1b6,65535,66,Trio Fatbike Championships 2020 (73)LR,1,0,0
49642803407_166814634@N04_ee80daafd9,49642803407,166814634@N04,ee80daafd9,65535,66,Trio Fatbike Championships 2020 (76)LR,1,0,0
49642006398_166814634@N04_439ba1cda5,49642006398,166814634@N04,439ba1cda5,65535,66,Trio Fatbike Championships 2020 (77)LR,1,0,0
49642802777_166814634@N04_dd3693f3dd,49642802777,166814634@N04,dd3693f3dd,65535,66,Trio Fatbike Championships 2020 (78)LR,1,0,0
49642005628_166814634@N04_0b5e432b73,49642005628,166814634@N04,0b5e432b73,65535,66,Trio Fatbike Championships 2020 (85)LR,1,0,0
49642005048_166814634@N04_24225469cd,49642005048,166814634@N04,24225469cd,65535,66,Trio Fatbike Championships 2020 (86)LR,1,0,0
49642801282_166814634@N04_2397dc5fd2,49642801282,166814634@N04,2397dc5fd2,65535,66,Trio Fatbike Championships 2020 (87)LR,1,0,0
49642003838_166814634@N04_03634d7a68,49642003838,166814634@N04,03634d7a68,65535,66,Trio Fatbike Championships 2020 (88)LR,1,0,0
49642525216_166814634@N04_7046543b2b,49642525216,166814634@N04,7046543b2b,65535,66,Trio Fatbike Championships 2020 (89)LR,1,0,0
49642799507_166814634@N04_13299ef02b,49642799507,166814634@N04,13299ef02b,65535,66,Trio Fatbike Championships 2020 (90)LR,1,0,0
49642001833_166814634@N04_d6cef3dacf,49642001833,166814634@N04,d6cef3dacf,65535,66,Trio Fatbike Championships 2020 (91)LR,1,0,0
49642798432_166814634@N04_fc701e26f9,49642798432,166814634@N04,fc701e26f9,65535,66,Trio Fatbike Championships 2020 (92)LR,1,0,0
49642798022_166814634@N04_4653637642,49642798022,166814634@N04,4653637642,65535,66,Trio Fatbike Championships 2020 (93)LR,1,0,0
49642522376_166814634@N04_151921e46c,49642522376,166814634@N04,151921e46c,65535,66,Trio Fatbike Championships 2020 (94)LR,1,0,0
49642796897_166814634@N04_7777838f3c,49642796897,166814634@N04,7777838f3c,65535,66,Trio Fatbike Championships 2020 (95)LR,1,0,0
49642796357_166814634@N04_5e26b1ac02,49642796357,166814634@N04,5e26b1ac02,65535,66,Trio Fatbike Championships 2020 (96)LR,1,0,0
49642520686_166814634@N04_7d2360764e,49642520686,166814634@N04,7d2360764e,65535,66,Trio Fatbike Championships 2020 (97)LR,1,0,0
49641998068_166814634@N04_db8e15bc08,49641998068,166814634@N04,db8e15bc08,65535,66,Trio Fatbike Championships 2020 (99)LR,1,0,0
49642794572_166814634@N04_1afd261814,49642794572,166814634@N04,1afd261814,65535,66,Trio Fatbike Championships 2020 (101)LR,1,0,0
49642518821_166814634@N04_73da75b9ff,49642518821,166814634@N04,73da75b9ff,65535,66,Trio Fatbike Championships 2020 (102)LR,1,0,0
49642793292_166814634@N04_2a486ba0fd,49642793292,166814634@N04,2a486ba0fd,65535,66,Trio Fatbike Championships 2020 (103)LR,1,0,0
49642792827_166814634@N04_6aaf88063e,49642792827,166814634@N04,6aaf88063e,65535,66,Trio Fatbike Championships 2020 (104)LR,1,0,0
49642792317_166814634@N04_6b06bb1f0a,49642792317,166814634@N04,6b06bb1f0a,65535,66,Trio Fatbike Championships 2020 (105)LR,1,0,0
49642791977_166814634@N04_6fb0ce1657,49642791977,166814634@N04,6fb0ce1657,65535,66,Trio Fatbike Championships 2020 (106)LR,1,0,0
49642516356_166814634@N04_b52b7086aa,49642516356,166814634@N04,b52b7086aa,65535,66,Trio Fatbike Championships 2020 (107)LR,1,0,0
