,id,owner,secret,server,farm,title,ispublic,isfriend,isfamily
48898713142_90955804@N04_20b08ac010,48898713142,90955804@N04,20b08ac010,65535,66,2019 - HAL Alaska Cruise - 32 - Glacier Bay - 7 - Tarr Inlet Sea Lions,1,0,0
48898516122_90955804@N04_f051f72f06,48898516122,90955804@N04,f051f72f06,65535,66,2019 - HAL Alaska Cruise - 30 - Glacier Bay - 5 - Margerie Glacier,1,0,0
48897220258_90955804@N04_211ab6d918,48897220258,90955804@N04,211ab6d918,65535,66,2019 - HAL Alaska Cruise - 29 - Glacier Bay - 4 - Johns Hopkins Glacier,1,0,0
48897154123_90955804@N04_42d9f79d15,48897154123,90955804@N04,42d9f79d15,65535,66,2019 - HAL Alaska Cruise - 28 - Glacier Bay - 3 - Johns Hopkins Glacier,1,0,0
48897091463_90955804@N04_6852943033,48897091463,90955804@N04,6852943033,65535,66,2019 - HAL Alaska Cruise - 27 - Glacier Bay - 2,1,0,0
48897670647_90955804@N04_e986eedef2,48897670647,90955804@N04,e986eedef2,65535,66,2019 - HAL Alaska Cruise - 26 - Glacier Bay - 1,1,0,0
48893035463_90955804@N04_561d8e78ba,48893035463,90955804@N04,561d8e78ba,65535,66,2019 - HAL Alaska Cruise - 25 - Port of Skagway - 6,1,0,0
48892915338_90955804@N04_30214e3250,48892915338,90955804@N04,30214e3250,65535,66,2019 - HAL Alaska Cruise - 23 - Port of Skagway - 4,1,0,0
48893542987_90955804@N04_197de89c4c,48893542987,90955804@N04,197de89c4c,65535,66,2019 - HAL Alaska Cruise - 22 - Port of Skagway - 3,1,0,0
48892742921_90955804@N04_f5cdb7a11a,48892742921,90955804@N04,f5cdb7a11a,65535,66,2019 - HAL Alaska Cruise - 21 - Port of Skagway - 2,1,0,0
48892841717_90955804@N04_9a42c8cddc,48892841717,90955804@N04,9a42c8cddc,65535,66,2019 - HAL Alaska Cruise - 20 - Port of Skagway - 1,1,0,0
48859057816_76697976@N00_39fac19917,48859057816,76697976@N00,39fac19917,65535,66,2019 09 02 - Glacier Bay (314),1,0,0
48859057861_76697976@N00_6457012fcb,48859057861,76697976@N00,6457012fcb,65535,66,2019 09 02 - Glacier Bay (313),1,0,0
48858703013_76697976@N00_4b65a3eb9c,48858703013,76697976@N00,4b65a3eb9c,65535,66,2019 09 02 - Glacier Bay (316),1,0,0
48859253397_76697976@N00_107cdcf6c2,48859253397,76697976@N00,107cdcf6c2,65535,66,2019 09 02 - Glacier Bay (315),1,0,0
48859253352_76697976@N00_02abbfdbf5,48859253352,76697976@N00,02abbfdbf5,65535,66,2019 09 02 - Glacier Bay (405),1,0,0
48859057721_76697976@N00_0190d0bf01,48859057721,76697976@N00,0190d0bf01,65535,66,2019 09 02 - Glacier Bay (317),1,0,0
48859057691_76697976@N00_7d3d6aaae5,48859057691,76697976@N00,7d3d6aaae5,65535,66,2019 09 02 - Glacier Bay (406),1,0,0
48859057671_76697976@N00_129809448c,48859057671,76697976@N00,129809448c,65535,66,2019 09 02 - Glacier Bay (407),1,0,0
48858702848_76697976@N00_5d3a568627,48858702848,76697976@N00,5d3a568627,65535,66,2019 09 02 - Glacier Bay (409),1,0,0
48859057546_76697976@N00_feeae01625,48859057546,76697976@N00,feeae01625,65535,66,2019 09 02 - Glacier Bay (412),1,0,0
48859057581_76697976@N00_90579be980,48859057581,76697976@N00,90579be980,65535,66,2019 09 02 - Glacier Bay (410),1,0,0
48859253227_76697976@N00_43280b77d5,48859253227,76697976@N00,43280b77d5,65535,66,2019 09 02 - Glacier Bay (318),1,0,0
48859253097_76697976@N00_a69d72f807,48859253097,76697976@N00,a69d72f807,65535,66,2019 09 02 - Glacier Bay (319),1,0,0
48859057501_76697976@N00_3b0f8645f1,48859057501,76697976@N00,3b0f8645f1,65535,66,2019 09 02 - Glacier Bay (414),1,0,0
48859057526_76697976@N00_78f5e5e644,48859057526,76697976@N00,78f5e5e644,65535,66,2019 09 02 - Glacier Bay (413),1,0,0
48859253087_76697976@N00_e85b6388c8,48859253087,76697976@N00,e85b6388c8,65535,66,2019 09 02 - Glacier Bay (320),1,0,0
48858702643_76697976@N00_a2c3030697,48858702643,76697976@N00,a2c3030697,65535,66,2019 09 02 - Glacier Bay (324),1,0,0
48859252997_76697976@N00_1362dd2826,48859252997,76697976@N00,1362dd2826,65535,66,2019 09 02 - Glacier Bay (323),1,0,0
48859253062_76697976@N00_44378f67ef,48859253062,76697976@N00,44378f67ef,65535,66,2019 09 02 - Glacier Bay (321),1,0,0
48859057341_76697976@N00_87c00e3e5b,48859057341,76697976@N00,87c00e3e5b,65535,66,2019 09 02 - Glacier Bay (326),1,0,0
48858702568_76697976@N00_3c68ea64e2,48858702568,76697976@N00,3c68ea64e2,65535,66,2019 09 02 - Glacier Bay (328),1,0,0
48859252962_76697976@N00_a27cba09a8,48859252962,76697976@N00,a27cba09a8,65535,66,2019 09 02 - Glacier Bay (325),1,0,0
48858702598_76697976@N00_b21f82be68,48858702598,76697976@N00,b21f82be68,65535,66,2019 09 02 - Glacier Bay (327),1,0,0
48859252827_76697976@N00_3671cf2649,48859252827,76697976@N00,3671cf2649,65535,66,2019 09 02 - Glacier Bay (331),1,0,0
48859057186_76697976@N00_ee4d4d35b7,48859057186,76697976@N00,ee4d4d35b7,65535,66,2019 09 02 - Glacier Bay (417),1,0,0
48859057266_76697976@N00_c007873c24,48859057266,76697976@N00,c007873c24,65535,66,2019 09 02 - Glacier Bay (330),1,0,0
48859057136_76697976@N00_da09553616,48859057136,76697976@N00,da09553616,65535,66,2019 09 02 - Glacier Bay (332),1,0,0
48859057161_76697976@N00_8484d03197,48859057161,76697976@N00,8484d03197,65535,66,2019 09 02 - Glacier Bay (418),1,0,0
48859057086_76697976@N00_553c6282d1,48859057086,76697976@N00,553c6282d1,65535,66,2019 09 02 - Glacier Bay (334),1,0,0
48859252717_76697976@N00_4d665e3918,48859252717,76697976@N00,4d665e3918,65535,66,2019 09 02 - Glacier Bay (335),1,0,0
48859057046_76697976@N00_1f09b06d8d,48859057046,76697976@N00,1f09b06d8d,65535,66,2019 09 02 - Glacier Bay (336),1,0,0
48858702298_76697976@N00_ceda9a5a01,48858702298,76697976@N00,ceda9a5a01,65535,66,2019 09 02 - Glacier Bay (338),1,0,0
48859057026_76697976@N00_9e9a81e0d1,48859057026,76697976@N00,9e9a81e0d1,65535,66,2019 09 02 - Glacier Bay (339),1,0,0
48858702333_76697976@N00_67d67a4b1a,48858702333,76697976@N00,67d67a4b1a,65535,66,2019 09 02 - Glacier Bay (337),1,0,0
48858702218_76697976@N00_1183f7de42,48858702218,76697976@N00,1183f7de42,65535,66,2019 09 02 - Glacier Bay (341),1,0,0
48859252602_76697976@N00_2e4fd3245d,48859252602,76697976@N00,2e4fd3245d,65535,66,2019 09 02 - Glacier Bay (340),1,0,0
48858702203_76697976@N00_bd52e56586,48858702203,76697976@N00,bd52e56586,65535,66,2019 09 02 - Glacier Bay (419),1,0,0
