,id,owner,secret,server,farm,title,ispublic,isfriend,isfamily
49512153581_13875847@N00_e8d062cd37,49512153581,13875847@N00,e8d062cd37,65535,66,"Hale Ohia Cottages, Volcano, HI",1,0,0
49511830316_13875847@N00_61cb11c447,49511830316,13875847@N00,61cb11c447,65535,66,"Kilauea Lodge Restaurant, Volcano, HI",1,0,0
49467585577_53814102@N04_2147c0151d,49467585577,53814102@N04,2147c0151d,65535,66,Koa calabash set by Mark and Karen Stebbins,1,0,0
49466866658_53814102@N04_5aeb12bc87,49466866658,53814102@N04,5aeb12bc87,65535,66,Koa bowl with inclusion by Aaron Hammer,1,0,0
49467357031_53814102@N04_475c1ca6b7,49467357031,53814102@N04,475c1ca6b7,65535,66,Koa wall sculpture by Mark and Karen Stebbins,1,0,0
49467355326_53814102@N04_7e371a7e2b,49467355326,53814102@N04,7e371a7e2b,65535,66,"""Elegant salad set"" by Mark and Karen Stebbins",1,0,0
49466859478_53814102@N04_a366cf270b,49466859478,53814102@N04,a366cf270b,65535,66,"""In Stitches"" milo platter by Aaron Hammer",1,0,0
49423206662_13875847@N00_e449eae02b,49423206662,13875847@N00,e449eae02b,65535,66,"Hawaiʻi Volcanoes National Park, HI",1,0,0
49411597028_10496216@N06_3804526bb0,49411597028,10496216@N06,3804526bb0,65535,66,Mauna Loa before Sunset January 2020,1,0,0
49408294658_92909698@N06_433712d5c2,49408294658,92909698@N06,433712d5c2,65535,66,Resting Vulcano in Hawaii,1,0,0
49402882286_10496216@N06_23005780a8,49402882286,10496216@N06,23005780a8,65535,66,"2I/Borisov, October 4, 2019 - January 4, 2020",1,0,0
49396550357_10496216@N06_5a6ba077f5,49396550357,10496216@N06,5a6ba077f5,65535,66,"2I/Borisov in Centaurus January 4, 2020 UTC",1,0,0
49392083946_10496216@N06_414a36f56f,49392083946,10496216@N06,414a36f56f,65535,66,"2I/Borisov in Centaurus January 3, 2020 UTC",1,0,0
49387786281_10496216@N06_8c9b00af6d,49387786281,10496216@N06,8c9b00af6d,65535,66,"2I/Borisov in Centaurus January 2, 2020 UTC",1,0,0
49382626466_10496216@N06_7ef77c1236,49382626466,10496216@N06,7ef77c1236,65535,66,"2I/Borisov in Centaurus January 1, 2020 UTC",1,0,0
