,id,owner,secret,server,farm,title,ispublic,isfriend,isfamily
49152960491_7138083@N04_ddc96692ed,49152960491,7138083@N04,ddc96692ed,65535,66,50231-St-Louis,1,0,0
49152464933_7138083@N04_6921b3f1a9,49152464933,7138083@N04,6921b3f1a9,65535,66,50232-St-Louis,1,0,0
49153166917_7138083@N04_523cd5be54,49153166917,7138083@N04,523cd5be54,65535,66,50225-St-Louis,1,0,0
49152463793_7138083@N04_b0130b673d,49152463793,7138083@N04,b0130b673d,65535,66,50218-St-Louis,1,0,0
49152463243_7138083@N04_92a81f50e1,49152463243,7138083@N04,92a81f50e1,65535,66,50217-St-Louis,1,0,0
49152957761_7138083@N04_5a69f2d494,49152957761,7138083@N04,5a69f2d494,65535,66,50214-St-Louis,1,0,0
49152957281_7138083@N04_b9b3e642d4,49152957281,7138083@N04,b9b3e642d4,65535,66,50209-St-Louis,1,0,0
49152461648_7138083@N04_fbe83b6517,49152461648,7138083@N04,fbe83b6517,65535,66,50207-St-Louis,1,0,0
49153164102_7138083@N04_d75155e8d1,49153164102,7138083@N04,d75155e8d1,65535,66,50205-St-Louis,1,0,0
49153163657_7138083@N04_d22614e791,49153163657,7138083@N04,d22614e791,65535,66,50199-St-Louis,1,0,0
49153163082_7138083@N04_8c8bb4f39a,49153163082,7138083@N04,8c8bb4f39a,65535,66,50200-St-Louis,1,0,0
49152953531_7138083@N04_4a66940b9d,49152953531,7138083@N04,4a66940b9d,65535,66,50172-St-Louis,1,0,0
49152952876_7138083@N04_7918acda10,49152952876,7138083@N04,7918acda10,65535,66,50105-St-Louis,1,0,0
49152457453_7138083@N04_16793063b7,49152457453,7138083@N04,16793063b7,65535,66,50148-St-Louis,1,0,0
49153159252_7138083@N04_574306771d,49153159252,7138083@N04,574306771d,65535,66,50064-St-Louis,1,0,0
49152456303_7138083@N04_d7072dcd10,49152456303,7138083@N04,d7072dcd10,65535,66,50093-St-Louis,1,0,0
49152455613_7138083@N04_4185b91c6e,49152455613,7138083@N04,4185b91c6e,65535,66,50065-St-Louis,1,0,0
49153157477_7138083@N04_7a0706f834,49153157477,7138083@N04,7a0706f834,65535,66,50063-St-Louis,1,0,0
49143623441_35816411@N00_76d3981acb,49143623441,35816411@N00,76d3981acb,65535,66,Josh holds up the arch,1,0,0
49135747323_84767053@N00_bf2c1befb9,49135747323,84767053@N00,bf2c1befb9,65535,66,East St. Louis / Gateway Arch & Old Courthouse (# 0606),1,0,0
49123589758_62007874@N00_4ba187d57a,49123589758,62007874@N00,4ba187d57a,65535,66,"Fourth Street at St Charles Avenue, St. Louis",1,0,0
49124271377_62007874@N00_c7890155d1,49124271377,62007874@N00,c7890155d1,65535,66,"Laclede Building, St. Louis",1,0,0
49123587113_62007874@N00_b336fd2757,49123587113,62007874@N00,b336fd2757,65535,66,"Security Building, St. Louis",1,0,0
49148951416_7156765@N05_33a245f9c1,49148951416,7156765@N05,33a245f9c1,65535,66,Saint Louis Art Museum - Interior Lobby Area - 1904 - St Louis  Missouri,1,0,0
49148951201_7156765@N05_154e3bc509,49148951201,7156765@N05,154e3bc509,65535,66,Saint Louis Art Museum - Interior Lobby Area - 1904 - St Louis  Missouri,1,0,0
49098784662_16943730@N00_4b96f5b8a9,49098784662,16943730@N00,4b96f5b8a9,65535,66,St. Louis Courthouse reflection (Explored),1,0,0
49097370907_62007874@N00_55d1164442,49097370907,62007874@N00,55d1164442,65535,66,"Office Building, St. Louis, 1995",1,0,0
49096664403_62007874@N00_82bff4216c,49096664403,62007874@N00,82bff4216c,65535,66,"Millennium Hotel, St. Louis, 1995",1,0,0
49097171886_62007874@N00_02d6f65dcf,49097171886,62007874@N00,02d6f65dcf,65535,66,"View of Gateway Arch National Park & Bridges, St. Louis",1,0,0
49082751887_113402549@N03_cc2340b57f,49082751887,113402549@N03,cc2340b57f,65535,66,IMG_1221-55519,1,0,0
49079500461_135924873@N02_016b2299be,49079500461,135924873@N02,016b2299be,65535,66,Gateway Arch Builders,1,0,0
49074130366_113402549@N03_0d7763e65d,49074130366,113402549@N03,0d7763e65d,65535,66,IMG_1059-55519,1,0,0
49074129656_113402549@N03_1a18d9ffe0,49074129656,113402549@N03,1a18d9ffe0,65535,66,IMG_1055-55519,1,0,0
49073601693_113402549@N03_00d0429701,49073601693,113402549@N03,00d0429701,65535,66,IMG_1039-55519,1,0,0
49074335347_113402549@N03_104bac05bd,49074335347,113402549@N03,104bac05bd,65535,66,IMG_1030-55519,1,0,0
49074334467_113402549@N03_5a29701ec4,49074334467,113402549@N03,5a29701ec4,65535,66,STLArch_Panorama1-55519,1,0,0
49073598048_113402549@N03_dbb79791bc,49073598048,113402549@N03,dbb79791bc,65535,66,IMG_1011-55519,1,0,0
49073596463_113402549@N03_d2561a41ca,49073596463,113402549@N03,d2561a41ca,65535,66,IMG_0978-55519,1,0,0
49074122956_113402549@N03_8e6d41aa66,49074122956,113402549@N03,8e6d41aa66,65535,66,IMG_0965-55519,1,0,0
49073594378_113402549@N03_25efac087d,49073594378,113402549@N03,25efac087d,65535,66,IMG_0963-55519,1,0,0
49074120636_113402549@N03_e48d4442cf,49074120636,113402549@N03,e48d4442cf,65535,66,IMG_1180-55519,1,0,0
49074112966_113402549@N03_f927d55254,49074112966,113402549@N03,f927d55254,65535,66,IMG_1071-55519,1,0,0
49074319652_113402549@N03_f7905feeaa,49074319652,113402549@N03,f7905feeaa,65535,66,IMG_1069-55519,1,0,0
49074318782_113402549@N03_c7805ec148,49074318782,113402549@N03,c7805ec148,65535,66,IMG_1064-55519,1,0,0
49030859491_86973084@N00_92b51dd173,49030859491,86973084@N00,92b51dd173,65535,66,St Louis gateway Arch in the fog,1,0,0
49031076827_86973084@N00_abb3b8395b,49031076827,86973084@N00,abb3b8395b,65535,66,Looking West towards Downtown St. Louis from the grounds on the Gateway Arch,1,0,0
49030330008_86973084@N00_c55ef51dbc,49030330008,86973084@N00,c55ef51dbc,65535,66,St Louis gateway Arch in the fog,1,0,0
49023384712_34128007@N04_c1dbdb5ec7,49023384712,34128007@N04,c1dbdb5ec7,65535,66,Gateway Arch,1,0,0
49021459938_86973084@N00_ed2d1bc2bd,49021459938,86973084@N00,ed2d1bc2bd,65535,66,2019-11-05_09-37-06,1,0,0
49021452993_86973084@N00_24136a70c8,49021452993,86973084@N00,24136a70c8,65535,66,IMG_20191105_122640,1,0,0
49021220008_86973084@N00_7f212baa48,49021220008,86973084@N00,7f212baa48,65535,66,2019-11-05_08-27-09,1,0,0
49015707126_54801208@N05_65f0200e13,49015707126,54801208@N05,65f0200e13,65535,66,St Louis Gateway Arch,1,0,0
49013400956_60869609@N04_d839cbdb64,49013400956,60869609@N04,d839cbdb64,65535,66,"Old St. Louis County Courthouse — St. Louis, Missouri",1,0,0
49013563987_60869609@N04_3f615b6b1d,49013563987,60869609@N04,3f615b6b1d,65535,66,"Gateway Arch — St. Louis, Missouri",1,0,0
49013340801_60869609@N04_0c23d66b0a,49013340801,60869609@N04,0c23d66b0a,65535,66,"Kennard Carpet Company Building — St. Louis, Missouri",1,0,0
49003279246_113402549@N03_0ce1b6a730,49003279246,113402549@N03,0ce1b6a730,65535,66,IMG_0887-55519,1,0,0
