,id,owner,secret,server,farm,title,ispublic,isfriend,isfamily
49810516496_9631607@N08_e86bf2d8c2,49810516496,9631607@N08,e86bf2d8c2,65535,66,Twin Lakes - John Muir Trail,1,0,0
49766134006_47667246@N04_7032e60212,49766134006,47667246@N04,7032e60212,65535,66,Polemonium Peak to Mt. Sill traverse,1,0,0
49765599648_47667246@N04_bc7b703754,49765599648,47667246@N04,bc7b703754,65535,66,Polemonium Peak to Mt. Sill traverse,1,0,0
49766462297_47667246@N04_22ca74f704,49766462297,47667246@N04,22ca74f704,65535,66,Polemonium Peak to Mt. Sill traverse,1,0,0
49765599023_47667246@N04_e242f73922,49765599023,47667246@N04,e242f73922,65535,66,Polemonium Peak to Mt. Sill traverse,1,0,0
49765597243_47667246@N04_8677728e53,49765597243,47667246@N04,8677728e53,65535,66,Polemonium Peak to Mt. Sill traverse,1,0,0
49763121826_35217261@N03_b61f37ee9a,49763121826,35217261@N03,b61f37ee9a,65535,66,Morning in the Sierra,1,0,0
49732031886_9631607@N08_afbe2f43f4,49732031886,9631607@N08,afbe2f43f4,65535,66,Tawny Point Panorama - John Muir Trail,1,0,0
49713009153_23155134@N06_a4c6bc6ef3,49713009153,23155134@N06,a4c6bc6ef3,65535,66,"Solitude, Weir Lake, Sierra Nevada, CA 2019",1,0,0
49692140138_66855284@N03_2cd591a626,49692140138,66855284@N03,2cd591a626,65535,66,Autumn Change,1,0,0
49689805313_66855284@N03_1445fde48b,49689805313,66855284@N03,1445fde48b,65535,66,The Fall,1,0,0
49686771086_66855284@N03_d99ccb7d83,49686771086,66855284@N03,d99ccb7d83,65535,66,Visible Dribble 02,1,0,0
49684548508_66855284@N03_5b976aeffe,49684548508,66855284@N03,5b976aeffe,65535,66,Visible Dribble 01,1,0,0
49684468142_66855284@N03_c727a5f4e0,49684468142,66855284@N03,c727a5f4e0,65535,66,Turn,1,0,0
49679850557_66855284@N03_69fe2fd02d,49679850557,66855284@N03,69fe2fd02d,65535,66,Shot In The Foot,1,0,0
49678493382_66855284@N03_632aa84f21,49678493382,66855284@N03,632aa84f21,65535,66,Slope,1,0,0
49676781681_29193873@N06_b8c121b60e,49676781681,29193873@N06,b8c121b60e,65535,66,"Alpenglühen - Sunrise North Lake, California",1,0,0
49676323032_66855284@N03_7192cb66a8,49676323032,66855284@N03,7192cb66a8,65535,66,Slant,1,0,0
49674948257_66855284@N03_8926812cbd,49674948257,66855284@N03,8926812cbd,65535,66,Mountain Curse,1,0,0
49672916957_66855284@N03_f3afd04c5d,49672916957,66855284@N03,f3afd04c5d,65535,66,Educated,1,0,0
49668993793_66855284@N03_bc4d61665c,49668993793,66855284@N03,bc4d61665c,65535,66,Lunkers Reside Here,1,0,0
49668158221_66855284@N03_1643a11f64,49668158221,66855284@N03,1643a11f64,65535,66,Grins and Giggles,1,0,0
49667462362_9631607@N08_d445807e8b,49667462362,9631607@N08,d445807e8b,65535,66,Yellow Legged Frog - John Muir Trail,1,0,0
49663914721_66855284@N03_f97286f28a,49663914721,66855284@N03,f97286f28a,65535,66,Mountain Life,1,0,0
49661528548_66855284@N03_94f8ba0125,49661528548,66855284@N03,94f8ba0125,65535,66,Unnatural Retention,1,0,0
49660350236_66855284@N03_5e917855f1,49660350236,66855284@N03,5e917855f1,65535,66,Middle Fork Bishop Creek,1,0,0
49657862178_66855284@N03_61c92cdfbd,49657862178,66855284@N03,61c92cdfbd,65535,66,Keeping Tires Dry,1,0,0
49657342402_66855284@N03_962c609bce,49657342402,66855284@N03,962c609bce,65535,66,The Beginning (p),1,0,0
49653153413_66855284@N03_06d1c571d7,49653153413,66855284@N03,06d1c571d7,65535,66,Large Drainage Pond (p),1,0,0
49652004637_66855284@N03_7a5bdd46a0,49652004637,66855284@N03,7a5bdd46a0,65535,66,Afternoon On Bishop Creek,1,0,0
49649662761_66855284@N03_805cd7e640,49649662761,66855284@N03,805cd7e640,65535,66,Opposite Direction,1,0,0
49648888687_66855284@N03_bfbe844c22,49648888687,66855284@N03,bfbe844c22,65535,66,Falling,1,0,0
49644581793_9631607@N08_ef553dae0e,49644581793,9631607@N08,ef553dae0e,65535,66,Lower Helen Lake - John Muir Trail,1,0,0
49593408002_132770804@N07_303c02642a,49593408002,132770804@N07,303c02642a,65535,66,"Panoramic Point, Kings Canyon National Park  7/24/2013",1,0,0
49519419052_26807139@N04_aa08dec7e4,49519419052,26807139@N04,aa08dec7e4,65535,66,Bishop Creek below the trailhead,1,0,0
49518679623_26807139@N04_564208584b,49518679623,26807139@N04,564208584b,65535,66,Long Lake on the Bishop Pass trail,1,0,0
49417414251_26807139@N04_fb47971b8a,49417414251,26807139@N04,fb47971b8a,65535,66,Lower Lamarck Lake,1,0,0
49411208126_26807139@N04_c68099db84,49411208126,26807139@N04,c68099db84,65535,66,Morning at Evolution Lake,1,0,0
49406483211_50148276@N03_852a27397a,49406483211,50148276@N03,852a27397a,65535,66,"Redwood Canyon Trail, Sequoia National Park",1,0,0
49406003133_50148276@N03_d92c2c339e,49406003133,50148276@N03,d92c2c339e,65535,66,"Redwood Canyon Trail, Sequoia National Park",1,0,0
49382769358_23782932@N06_4f68331485,49382769358,23782932@N06,4f68331485,65535,66,Crown of the Red Mountain Basin,1,0,0
49371900942_23782932@N06_f79dabf81b,49371900942,23782932@N06,f79dabf81b,65535,66,Vision of a realm apart,1,0,0
