,id,owner,secret,server,farm,title,ispublic,isfriend,isfamily,dateupload,ownername,iconserver,iconfarm,views,tags,latitude,longitude,accuracy,context,place_id,woeid,geo_is_public,geo_is_contact,geo_is_friend,geo_is_family,originalsecret,originalformat,machine_tags
0,49670375843,12820758@N04,bd7d8d713d,65535,66,... MUM ...,1,0,0,1585159380,Grandpops Woodlice,2836,3,2870,brownbear mum silversalmoncreek lakeclarknationalpark alaska gulfofalaska,59.984519,-152.648128,16,0,,5864796,1,0,0,0,,,
1,49369279608,12820758@N04,f80642bdbf,65535,66,... Now where's my wallet ...,1,0,0,1578944040,Grandpops Woodlice,2836,3,3610,hornedpuffin duckisland alaska gulfofalaska cookinlet puffin portrait,60.147588,-152.549700,16,0,,5870043,1,0,0,0,,,
2,49233694967,12820758@N04,e967454250,65535,66,... Fingertip control ...,1,0,0,1576597080,Grandpops Woodlice,2836,3,4169,eagle baldeagle juvenile alaska silversalmoncreek lakeclarknationalpark,59.984847,-152.652698,16,0,,5864796,1,0,0,0,,,
3,49184683111,12820758@N04,e6b3b91122,65535,66,... Tippy Toe ...,1,0,0,1575993480,Grandpops Woodlice,2836,3,4010,fox redfox alaska silversalmoncreek lakeclarknationalpark,59.988755,-152.647025,16,0,,5864796,1,0,0,0,,,
4,49131395431,12820758@N04,3c8ba17a7f,65535,66,... Vogue ...,1,0,0,1574869921,Grandpops Woodlice,2836,3,90701,alaska cookinlet brownbear silversalmoncreek beach,59.984911,-152.653923,16,0,,5864796,1,0,0,0,,,
5,49050743616,12820758@N04,3389a975e2,65535,66,... Mission not impossible ...,1,0,0,1573840140,Grandpops Woodlice,2836,3,4594,alaska cookinlet bear silversalmoncreek brownbear salmon coho,59.984188,-152.647298,16,0,,5864796,1,0,0,0,,,
6,49028913552,12820758@N04,f24f22010d,65535,66,... life on the Ocean Wave ...,1,0,0,1573149300,Grandpops Woodlice,2836,3,4549,alaska cookinlet duckisland puffin hornedpuffin,60.147811,-152.549887,16,0,,5870043,1,0,0,0,,,
7,48995781571,12820758@N04,a65bb48afa,65535,66,... Beach Bum ...,1,0,0,1572635220,Grandpops Woodlice,2836,3,6300,bear brownbear alaska cookinlet silversalmoncreek kenaipeninsula sunrise dawn,59.983313,-152.652498,16,0,,5864796,1,0,0,0,,,
8,48889884098,62539987@N05,c424b17aa6,65535,66,Curious Youngster,1,0,0,1570967240,endrunner,7311,8,602,dsc2573,60.813694,-152.296370,16,0,,5860978,1,0,0,0,eba26999c8,jpg,
9,48875561132,12820758@N04,8ce72a024a,65535,66,... auk-ward ...,1,0,0,1570716720,Grandpops Woodlice,2836,3,4417,alaska cookinlet gulfofalaska duckisland puffin hornedpuffin portrait,60.147597,-152.549653,16,0,,5870043,1,0,0,0,,,
10,48822069211,12820758@N04,89d5a4491f,65535,66,... SPLAT ...,1,0,0,1569863460,Grandpops Woodlice,2836,3,4742,alaska silversalmoncreek cookinlet,59.983444,-152.650642,16,0,,5864796,1,0,0,0,,,
11,48764522652,12820758@N04,580063bdef,65535,66,... A Blonde Moment ...,1,0,0,1568991360,Grandpops Woodlice,2836,3,4419,brown bear brownbear alaska silversalmoncreek lakeclarknationalpark,59.980433,-152.667439,16,0,,5864796,1,0,0,0,,,
12,44038046530,37247262@N03,3f510e99a5,1973,2,"2018 Brown Bears of Lake Clark National Park, Alaska (1)",1,0,0,1542080913,maskirovka77,0,0,784,brownbear bear coastalbrownbear lakeclark nationalpark tyonek alaska unitedstates us,59.996433,-152.639834,16,0,n1gD0_xQUL.I3Wh1Kg,12587564,1,0,0,0,,,
13,44312989541,37247262@N03,fc99d1c4f4,1869,2,2018 Lake Clark National Park- A Sow Named 'Blond Mom' (1),1,0,0,1535418491,maskirovka77,0,0,1004,tyonek alaska unitedstates us lakeclark nationalpark bear coastalbrownbear sow blondmom blondemom,59.981700,-152.664684,16,0,n1gD0_xQUL.I3Wh1Kg,12587564,1,0,0,0,,,
14,30086393058,37247262@N03,2eaace60b5,1833,2,"2018 A Wolf at Lake Clark National Park, Alaska (1)",1,0,0,1533859583,maskirovka77,0,0,946,tyonek alaska unitedstates us wolf wolves graywolf lakeclark nationalpark,59.994788,-152.650389,16,0,n1gD0_xQUL.I3Wh1Kg,12587564,1,0,0,0,,,
15,43003398754,37247262@N03,90e8c8b05e,935,1,If You Ever Wondered What a Bear Hug Looks Like...,1,0,0,1532893904,maskirovka77,0,0,186,tyonek alaska unitedstates us cub playing play bearhug brownbear coastalbrownbear bears hug hugging,59.982200,-152.660517,16,0,n1gD0_xQUL.I3Wh1Kg,12587564,1,0,0,0,,,
16,27558356278,42964440@N08,61f8dd1de5,901,1,Coastal Brown Bear Down Embankment (Ursus arctos horribilis),1,0,0,1523627991,Susan Roehl,65535,66,4813,alaska2014 lakeclarknationalpark southernalaska usa coastalbrownbear ursusarctoshorribilis animal mammal omnivore female downenbankment grizzlysubspecies verylarge 800to1200lbs eatsalmon berries grass sueroehl photographictours naturalexposures panasonic lumixdmcgh4 100300mmlens tripod slightlycropped coth5,59.901487,-152.794561,16,0,b_WIPQFTUb5YM9kc,2347560,1,0,0,0,,,
17,28243205769,62539987@N05,d052265870,4709,5,Caught,1,0,0,1517495992,endrunner,7311,8,4277,dsc2528 alittlebeauty coth coth5 pscc,60.813869,-152.305970,16,0,zT57i9lQUL_iaQbLBg,12524658,1,0,0,0,51894b4e5f,jpg,
18,38466855076,62539987@N05,3400a1317f,4567,5,Pro Guidance,1,0,0,1511109050,endrunner,7311,8,600,img0880copy,60.813661,-152.302395,16,0,zT57i9lQUL_iaQbLBg,12524658,1,0,0,0,8d5d6d7f83,jpg,
19,23524533468,93799642@N07,ab2f4093b2,4472,5,Sunrise,1,0,0,1506624890,LakeClarkNPS,5732,6,735,morning twin lakes uppertwin sunrise upper reflection twinlake lake twinlakes,60.647927,-153.819337,16,0,b_WIPQFTUb5YM9kc,2347560,1,0,0,0,49d34e274c,jpg,
20,36667697494,93799642@N07,962948399c,4404,5,Sunset,1,0,0,1506624892,LakeClarkNPS,5732,6,681,twin lakes ripples sunset uppertwin waves twinlake lake twinlakes evening,60.647972,-153.818973,16,0,b_WIPQFTUb5YM9kc,2347560,1,0,0,0,13d14122b8,jpg,
