,id,owner,secret,server,farm,title,ispublic,isfriend,isfamily
48352984607_93501325@N04_657a3b7b2f,48352984607,93501325@N04,657a3b7b2f,65535,66,Mammoth Cave Historic Entrance,1,0,0
48140912903_14723335@N05_f283abc619,48140912903,14723335@N05,f283abc619,65535,66,Sand Cave and a Forest of Trees (Mammoth Cave National Park),1,0,0
48111392407_14723335@N05_600e26950e,48111392407,14723335@N05,600e26950e,65535,66,Friends Are All Amongst in in the Trees of the Forest (Mammoth Cave National Park),1,0,0
48100551511_14723335@N05_ec126b74e1,48100551511,14723335@N05,ec126b74e1,65535,66,"As I Lay in My Bed, I Dreamt of Wild Places to Explore...",1,0,0
48083402237_14723335@N05_19081bf22b,48083402237,14723335@N05,19081bf22b,65535,66,Walking the Steps with Railing Leading Down to the Historical Cave Entrance (Mammoth Cave National Park),1,0,0
48076500653_14723335@N05_ceb2222627,48076500653,14723335@N05,ceb2222627,65535,66,Audubon Avenue and a Giant Canyon Passage (Mammoth Cave National Park),1,0,0
48064418777_14723335@N05_821dc61511,48064418777,14723335@N05,821dc61511,65535,66,On a Carpet of Fallen Leaves to Direct My Path... (Mammoth Cave National Park),1,0,0
48033838712_14723335@N05_496b4b7747,48033838712,14723335@N05,496b4b7747,65535,66,A Forest Wilderness and the River Styx (Mammoth Cave National Park),1,0,0
48021983152_14723335@N05_f862aa05bd,48021983152,14723335@N05,f862aa05bd,65535,66,A Setting of Wildflowers and Trees While Walking the Echo River Spring Trail (Mammoth Cave National Park),1,0,0
48004471056_14723335@N05_2c56309182,48004471056,14723335@N05,2c56309182,65535,66,I Will Not Rant When I Walk Amongst the Trees and Forest (Mammoth Cave National Park),1,0,0
47990034052_14723335@N05_df4c87c0c2,47990034052,14723335@N05,df4c87c0c2,65535,66,Walking Along the Echo River Spring Trail (Mammoth Cave National Park),1,0,0
47975893113_14723335@N05_854cab975a,47975893113,14723335@N05,854cab975a,65535,66,I Sought to Speak with the Elders Statesmen of the Woods While Listening to the Words with Each Passing Wind (Mammoth Cave National Park),1,0,0
47955542072_14723335@N05_399dcf1b5c,47955542072,14723335@N05,399dcf1b5c,65535,66,Love is All! But Being Around Some Tall Trees Is Also Pretty Sweet! (Mammoth Cave National Park),1,0,0
47939715533_14723335@N05_04dcfa4e82,47939715533,14723335@N05,04dcfa4e82,65535,66,Bring Me to Live Amongst the Trees and Hills (Mammoth Cave National Park),1,0,0
47932810118_14723335@N05_b8d53e9106,47932810118,14723335@N05,b8d53e9106,65535,66,A Forest Growing in Cedar Sink (Mammoth Cave National Park),1,0,0
46988706295_14723335@N05_b0ede7b769,46988706295,14723335@N05,b0ede7b769,65535,66,I Am Undertaking a Path That Leads Me Onward... (Mammoth Cave National Park),1,0,0
