,id,owner,secret,server,farm,title,ispublic,isfriend,isfamily
48580102607_59081381@N03_6730be0104,48580102607,59081381@N03,6730be0104,65535,66,"Canyon, Mesa Verde National Park, CO",1,0,0
48579959026_59081381@N03_eae13e34cc,48579959026,59081381@N03,eae13e34cc,65535,66,"Canyon, Mesa Verde National Park, CO",1,0,0
48379814442_8432336@N08_cfb578ea37,48379814442,8432336@N08,cfb578ea37,65535,66,Toxic Site,1,0,0
48322187827_8432336@N08_0389f9a7ee,48322187827,8432336@N08,0389f9a7ee,65535,66,Get In Line,1,0,0
48129438957_21307765@N02_382465f91f,48129438957,21307765@N02,382465f91f,65535,66,Cliff Palace,1,0,0
48690002447_90463382@N04_0579901015,48690002447,90463382@N04,0579901015,65535,66,IMG_4046,1,0,0
48689832501_90463382@N04_408f53d060,48689832501,90463382@N04,408f53d060,65535,66,IMG_4059,1,0,0
48689492068_90463382@N04_28e73fe854,48689492068,90463382@N04,28e73fe854,65535,66,IMG_4127,1,0,0
48675800683_37317281@N08_9857ac28fb,48675800683,37317281@N08,9857ac28fb,65535,66,"Far View House, Mesa Verde National Park, CO, April, 2017",1,0,0
48652195221_37317281@N08_26e2349453,48652195221,37317281@N08,26e2349453,65535,66,"Mesa Top Ruins Rd - Mesa Verde National Park, CO, April, 2017",1,0,0
48589042942_48148847@N04_2e68a41746,48589042942,48148847@N04,2e68a41746,65535,66,Pipe Shrine House,1,0,0
48589042157_48148847@N04_fe33109609,48589042157,48148847@N04,fe33109609,65535,66,Pueblo Tower,1,0,0
48581801376_92276249@N07_9530dee1ea,48581801376,92276249@N07,9530dee1ea,65535,66,IMG_0321,1,0,0
48581800611_92276249@N07_3b3d073e6b,48581800611,92276249@N07,3b3d073e6b,65535,66,IMG_0322,1,0,0
48581944862_92276249@N07_d9dc0d00a1,48581944862,92276249@N07,d9dc0d00a1,65535,66,IMG_0323,1,0,0
48581944392_92276249@N07_067cf821e8,48581944392,92276249@N07,067cf821e8,65535,66,IMG_0326,1,0,0
48581943812_92276249@N07_59b3e4a42c,48581943812,92276249@N07,59b3e4a42c,65535,66,IMG_0327,1,0,0
48581943312_92276249@N07_292c840be2,48581943312,92276249@N07,292c840be2,65535,66,IMG_0329,1,0,0
48581942682_92276249@N07_3cd6a5fd6c,48581942682,92276249@N07,3cd6a5fd6c,65535,66,IMG_0332,1,0,0
48581942032_92276249@N07_a29781de50,48581942032,92276249@N07,a29781de50,65535,66,IMG_0333,1,0,0
48581941327_92276249@N07_5b5890108d,48581941327,92276249@N07,5b5890108d,65535,66,IMG_0334,1,0,0
48580104367_59081381@N03_dfebedf421,48580104367,59081381@N03,dfebedf421,65535,66,"Cliff Palace, Mesa Verde National Park, CO",1,0,0
48579960526_59081381@N03_d64e315225,48579960526,59081381@N03,d64e315225,65535,66,"Cliff Palace, Mesa Verde National Park, CO",1,0,0
48580103152_59081381@N03_d7834be7d4,48580103152,59081381@N03,d7834be7d4,65535,66,"Cliff Palace, Mesa Verde National Park, CO",1,0,0
