,id,owner,secret,server,farm,title,ispublic,isfriend,isfamily
47956452678_18024068@N00_5f117bc0d2,47956452678,18024068@N00,5f117bc0d2,65535,66,Packera breweri,1,0,0
47956479686_18024068@N00_d369820fb1,47956479686,18024068@N00,d369820fb1,65535,66,True Blue,1,0,0
47932916666_33818785@N00_0fd1c5b4b0,47932916666,33818785@N00,0fd1c5b4b0,65535,66,"Fritillaria affinis (Checker Lily, Mission Bells)",1,0,0
47932905902_33818785@N00_c035db279e,47932905902,33818785@N00,c035db279e,65535,66,"Fritillaria affinis (Checker Lily, Mission Bells)",1,0,0
47070395894_33818785@N00_c6ef709db1,47070395894,33818785@N00,c6ef709db1,65535,66,Helvella dryophila (Oak-loving Elfin Saddle),1,0,0
40893288483_33818785@N00_26dd12ab2b,40893288483,33818785@N00,26dd12ab2b,65535,66,Helvella dryophila (Oak-loving Elfin Saddle),1,0,0
47070395414_33818785@N00_d4b31d7d3f,47070395414,33818785@N00,d4b31d7d3f,65535,66,Solanum umbelliferum (Blue Witch),1,0,0
47768740612_33818785@N00_38eb4312e8,47768740612,33818785@N00,38eb4312e8,65535,66,"Viola pedunculata (California Golden Violet, Johnny-jump-up)",1,0,0
47762617802_150169974@N02_2dd6fab212,47762617802,150169974@N02,2dd6fab212,65535,66,"Soledad, California",1,0,0
47745845722_33818785@N00_10e70c293a,47745845722,33818785@N00,10e70c293a,65535,66,Sialia mexicana (Western Bluebird) female,1,0,0
47794225351_33818785@N00_559cfd8605,47794225351,33818785@N00,559cfd8605,65535,66,Meleagris gallopavo ssp. intermedia (Rio Grande Wild Turkey),1,0,0
47640257872_8534722@N04_1a88056ea5,47640257872,8534722@N04,1a88056ea5,65535,66,Pinnacles - Driving Out from Pinnacles National Park,1,0,0
47606507401_66926252@N07_77d1d380d9,47606507401,66926252@N07,77d1d380d9,7882,8,Canopy of Oak Trees,1,0,0
47602501231_35900399@N07_bf7ee4e15a,47602501231,35900399@N07,bf7ee4e15a,7809,8,"Pinnacles National Park, CA",1,0,0
40617726233_22410928@N07_5ec8edee70,40617726233,22410928@N07,5ec8edee70,7879,8,Pinnacles National Park,1,0,0
32577134687_150169974@N02_0b008ef621,32577134687,150169974@N02,0b008ef621,7850,8,"Soledad, California",1,0,0
40546163713_33818785@N00_c4fdda29d0,40546163713,33818785@N00,c4fdda29d0,7824,8,Melanerpes formicivorus (Acorn Woodpecker) male,1,0,0
47317291342_33818785@N00_d470441d7b,47317291342,33818785@N00,d470441d7b,7897,8,Crotalus oreganus ssp. oreganus (Northern Pacific Rattlesnake),1,0,0
47943401116_132379675@N04_5d8b2c3f04,47943401116,132379675@N04,5d8b2c3f04,65535,66,20190524-DSCF3017-Pano-CO,1,0,0
47943395201_132379675@N04_67deb6ebfb,47943395201,132379675@N04,67deb6ebfb,65535,66,20190524-DSCF3009-CO,1,0,0
47943376108_132379675@N04_10fa5c90e2,47943376108,132379675@N04,10fa5c90e2,65535,66,20190524-DSCF2935-CO,1,0,0
47943372843_132379675@N04_b85c593525,47943372843,132379675@N04,b85c593525,65535,66,20190524-DSCF2912-CO,1,0,0
47943387601_132379675@N04_c5483197ca,47943387601,132379675@N04,c5483197ca,65535,66,20190524-DSCF2897-CO,1,0,0
47943367138_132379675@N04_60abff7148,47943367138,132379675@N04,60abff7148,65535,66,20190524-DSCF2958-CO,1,0,0
47932905967_33818785@N00_633a906b66,47932905967,33818785@N00,633a906b66,65535,66,"Fritillaria affinis (Checker Lily, Mission Bells)",1,0,0
47932912093_33818785@N00_373cec1a10,47932912093,33818785@N00,373cec1a10,65535,66,"Fritillaria affinis (Checker Lily, Mission Bells)",1,0,0
47932916536_33818785@N00_ea4621dc1b,47932916536,33818785@N00,ea4621dc1b,65535,66,"Fritillaria affinis (Checker Lily, Mission Bells)",1,0,0
47932916491_33818785@N00_44178f99f3,47932916491,33818785@N00,44178f99f3,65535,66,"Fritillaria affinis (Checker Lily, Mission Bells)",1,0,0
47930207497_132379675@N04_b833a79f7e,47930207497,132379675@N04,b833a79f7e,65535,66,20190524-DSCF3028-CO-B,1,0,0
47930214921_132379675@N04_4e9655391d,47930214921,132379675@N04,4e9655391d,65535,66,20190524-DSCF3028-CO-A,1,0,0
47927011811_33818785@N00_ece8815a86,47927011811,33818785@N00,ece8815a86,65535,66,Chalone Creek,1,0,0
33989955418_67636101@N00_d4810dff1b,33989955418,67636101@N00,d4810dff1b,65535,66,,1,0,0
32923083297_67636101@N00_96d9a4bf82,32923083297,67636101@N00,96d9a4bf82,65535,66,,1,0,0
33989950658_67636101@N00_3a82f9f7bc,33989950658,67636101@N00,3a82f9f7bc,65535,66,,1,0,0
32923080837_67636101@N00_5a81e17748,32923080837,67636101@N00,5a81e17748,65535,66,,1,0,0
47070395974_33818785@N00_d811b17830,47070395974,33818785@N00,d811b17830,65535,66,"Lupinus bicolor (Bicolored Lupine, Miniature Lupine)",1,0,0
46943621635_33818785@N00_80defffe13,46943621635,33818785@N00,80defffe13,65535,66,Blitum californicum (California Goosefoot),1,0,0
47070395744_33818785@N00_543ef12a6a,47070395744,33818785@N00,543ef12a6a,65535,66,Blitum californicum (California Goosefoot),1,0,0
40876358683_33818785@N00_1ee91783e6,40876358683,33818785@N00,1ee91783e6,65535,66,Adenostoma fasciculatum (Chamise) leaves,1,0,0
40876358613_33818785@N00_5dbf1e5895,40876358613,33818785@N00,5dbf1e5895,65535,66,Eriodictyon tomentosum (Woolly Yerba Santa),1,0,0
33950593658_33818785@N00_d070dc79a0,33950593658,33818785@N00,d070dc79a0,65535,66,"Pinnacles Campground, Pinnacles National Park",1,0,0
46904977255_33818785@N00_923c58048c,46904977255,33818785@N00,923c58048c,65535,66,Lupinus albifrons var. albifrons (Silver Bush Lupine),1,0,0
32877386097_33818785@N00_4bde681ab0,32877386097,33818785@N00,4bde681ab0,65535,66,The Pinnacles,1,0,0
40854585533_33818785@N00_d9b03ef7fb,40854585533,33818785@N00,d9b03ef7fb,65535,66,Ceanothus cuneatus (Buck Brush),1,0,0
33943649918_33818785@N00_6215ccec24,33943649918,33818785@N00,6215ccec24,65535,66,Stereum hirsutum (False Turkey Tail),1,0,0
33943649748_33818785@N00_135e3ec637,33943649748,33818785@N00,135e3ec637,65535,66,Marah fabaceus (California Man-root),1,0,0
47768740672_33818785@N00_066102437a,47768740672,33818785@N00,066102437a,65535,66,"Viola pedunculata (California Golden Violet, Johnny-jump-up)",1,0,0
47798024731_33818785@N00_ae97fac8d6,47798024731,33818785@N00,ae97fac8d6,65535,66,Sialia mexicana (Western Bluebird) female,1,0,0
46881802775_33818785@N00_6840e1528f,46881802775,33818785@N00,6840e1528f,65535,66,Sialia mexicana (Western Bluebird) female,1,0,0
47741918732_33818785@N00_456b55cba5,47741918732,33818785@N00,456b55cba5,65535,66,Odocoileus hemionus columbianus (Columbian Black-tailed Deer),1,0,0
47741918782_33818785@N00_be1b01fd49,47741918782,33818785@N00,be1b01fd49,65535,66,Corvus brachyrhynchos (American Crow),1,0,0
46969627514_33818785@N00_f77f4451a8,46969627514,33818785@N00,f77f4451a8,65535,66,Otospermophilus beecheyi (California Ground Squirrel),1,0,0
46969627404_33818785@N00_570a979a7b,46969627404,33818785@N00,570a979a7b,65535,66,Streptopelia decaocto (Eurasian Collared Dove),1,0,0
46842008235_33818785@N00_75cafbd5f3,46842008235,33818785@N00,75cafbd5f3,65535,66,Canis latrans (Coyote),1,0,0
40792032713_33818785@N00_ed31baf43a,40792032713,33818785@N00,ed31baf43a,65535,66,Canis latrans (Coyote),1,0,0
32803464697_132747890@N04_feaac3bf7a,32803464697,132747890@N04,feaac3bf7a,65535,66,DSCF8892,1,0,0
46830204855_132747890@N04_2e8b536bcd,46830204855,132747890@N04,2e8b536bcd,65535,66,DSCF8891,1,0,0
32713184867_8534722@N04_57c058c96f,32713184867,8534722@N04,57c058c96f,65535,66,"Pinnacles National Park, California USA",1,0,0
47581396892_8534722@N04_51d074368b,47581396892,8534722@N04,51d074368b,65535,66,Pinnacles National Park,1,0,0
46668270775_22410928@N07_4249e9e6b9,46668270775,22410928@N07,4249e9e6b9,7850,8,Pinnacles National Park,1,0,0
47530783712_22410928@N07_358a3e82b3,47530783712,22410928@N07,358a3e82b3,7873,8,Pinnacles National Park,1,0,0
46668268285_22410928@N07_e232449506,46668268285,22410928@N07,e232449506,7830,8,Pinnacles National Park,1,0,0
46668266215_22410928@N07_d0d208f94c,46668266215,22410928@N07,d0d208f94c,7839,8,Pinnacles National Park,1,0,0
46859754714_22410928@N07_6bdba4abdf,46859754714,22410928@N07,6bdba4abdf,7862,8,Pinnacles National Park,1,0,0
47530778382_22410928@N07_7803407080,47530778382,22410928@N07,7803407080,7922,8,Pinnacles National Park,1,0,0
46859752354_22410928@N07_856857bb51,46859752354,22410928@N07,856857bb51,7873,8,Pinnacles National Park,1,0,0
47530775522_22410928@N07_70eb6db41e,47530775522,22410928@N07,70eb6db41e,7921,8,Pinnacles National Park,1,0,0
33706808748_22410928@N07_9b690ef549,33706808748,22410928@N07,9b690ef549,7911,8,Pinnacles National Park,1,0,0
47530774162_22410928@N07_b2c8149528,47530774162,22410928@N07,b2c8149528,7915,8,Pinnacles National Park,1,0,0
40617720643_22410928@N07_523cfc813d,40617720643,22410928@N07,523cfc813d,7920,8,Pinnacles National Park,1,0,0
46859742344_22410928@N07_372189b1e4,46859742344,22410928@N07,372189b1e4,7886,8,Pinnacles National Park,1,0,0
40617718163_22410928@N07_bf2fc1a6a5,40617718163,22410928@N07,bf2fc1a6a5,7815,8,Pinnacles National Park,1,0,0
33706802318_22410928@N07_042a142413,33706802318,22410928@N07,042a142413,7843,8,Pinnacles National Park,1,0,0
32641135907_22410928@N07_555d581438,32641135907,22410928@N07,555d581438,7814,8,Pinnacles National Park,1,0,0
47583685131_22410928@N07_3a747a2d17,47583685131,22410928@N07,3a747a2d17,7893,8,Pinnacles National Park,1,0,0
47530762622_22410928@N07_9747cea17c,47530762622,22410928@N07,9747cea17c,7809,8,Pinnacles National Park,1,0,0
40617709583_22410928@N07_efe9ff98c0,40617709583,22410928@N07,efe9ff98c0,7885,8,Pinnacles National Park,1,0,0
47530759962_22410928@N07_87f62ca60b,47530759962,22410928@N07,87f62ca60b,7898,8,Pinnacles National Park,1,0,0
33706793978_22410928@N07_17552e6e23,33706793978,22410928@N07,17552e6e23,7842,8,Pinnacles National Park,1,0,0
46668237325_22410928@N07_1c26d96e59,46668237325,22410928@N07,1c26d96e59,7824,8,Pinnacles National Park,1,0,0
32641129417_22410928@N07_68b7e7db74,32641129417,22410928@N07,68b7e7db74,7899,8,Pinnacles National Park,1,0,0
33706787438_22410928@N07_e181f3f0d9,33706787438,22410928@N07,e181f3f0d9,7813,8,Pinnacles National Park,1,0,0
32641126597_22410928@N07_897b437b36,32641126597,22410928@N07,897b437b36,7863,8,Pinnacles National Park,1,0,0
46859729234_22410928@N07_2c6f6d7de5,46859729234,22410928@N07,2c6f6d7de5,7838,8,Pinnacles National Park,1,0,0
47583672031_22410928@N07_58754dd14d,47583672031,22410928@N07,58754dd14d,7807,8,Pinnacles National Park,1,0,0
46667679305_22410928@N07_e1cf5d1871,46667679305,22410928@N07,e1cf5d1871,7817,8,Pinnacles National Park,1,0,0
46667676585_22410928@N07_856ff6408e,46667676585,22410928@N07,856ff6408e,7907,8,"Pinnacles National Park, rappelling down from the Cidedal",1,0,0
46666163555_22410928@N07_62b14e90cb,46666163555,22410928@N07,62b14e90cb,7826,8,Climbing in Pinnacles National Park,1,0,0
47581699461_22410928@N07_1c693498bd,47581699461,22410928@N07,1c693498bd,7878,8,"Climbing to the top of the Cidedal, Pinnacles National Park",1,0,0
40615631993_22410928@N07_5116a89412,40615631993,22410928@N07,5116a89412,7838,8,Climbing the Cidedal in Pinnacles National Park,1,0,0
47569346301_22410928@N07_81587d6a5e,47569346301,22410928@N07,81587d6a5e,7867,8,Pinnacles National Park,1,0,0
47437299442_98221808@N04_11b4f5be57,47437299442,98221808@N04,11b4f5be57,7903,8,IMG_3908,1,0,0
47490167371_98221808@N04_59cdf4cca4,47490167371,98221808@N04,59cdf4cca4,7859,8,IMG_3909,1,0,0
47437299282_98221808@N04_983914ca0c,47437299282,98221808@N04,983914ca0c,7846,8,IMG_3910,1,0,0
47490167021_98221808@N04_5ff59ee42b,47490167021,98221808@N04,5ff59ee42b,7809,8,IMG_3911,1,0,0
47490166751_98221808@N04_a0f60358cf,47490166751,98221808@N04,a0f60358cf,7823,8,IMG_3912,1,0,0
47490166541_98221808@N04_a066e82586,47490166541,98221808@N04,a066e82586,7830,8,IMG_3913,1,0,0
47490166351_98221808@N04_31265cd60e,47490166351,98221808@N04,31265cd60e,7900,8,IMG_3914,1,0,0
47490166221_98221808@N04_5d9a425eaf,47490166221,98221808@N04,5d9a425eaf,7805,8,IMG_3915,1,0,0
47490166091_98221808@N04_6f3c8356a5,47490166091,98221808@N04,6f3c8356a5,7899,8,IMG_3916,1,0,0
47490166031_98221808@N04_77ba876a8e,47490166031,98221808@N04,77ba876a8e,7877,8,IMG_3917,1,0,0
47490165491_98221808@N04_ddeb3e6623,47490165491,98221808@N04,ddeb3e6623,7871,8,IMG_3920,1,0,0
47490165191_98221808@N04_864ba4f4ab,47490165191,98221808@N04,864ba4f4ab,7889,8,IMG_3921,1,0,0
47490164991_98221808@N04_99396e29b1,47490164991,98221808@N04,99396e29b1,7863,8,IMG_3922,1,0,0
47490164771_98221808@N04_5121d5fc22,47490164771,98221808@N04,5121d5fc22,7824,8,IMG_3923,1,0,0
47490164631_98221808@N04_b032ca9f74,47490164631,98221808@N04,b032ca9f74,7864,8,IMG_3924,1,0,0
47490164341_98221808@N04_6865cddf97,47490164341,98221808@N04,6865cddf97,7818,8,IMG_3925,1,0,0
47490164271_98221808@N04_cf5bf0edf3,47490164271,98221808@N04,cf5bf0edf3,7923,8,IMG_3926,1,0,0
47490164161_98221808@N04_028dd84dee,47490164161,98221808@N04,028dd84dee,7856,8,IMG_3927,1,0,0
47490164031_98221808@N04_57d692e981,47490164031,98221808@N04,57d692e981,7919,8,IMG_3928,1,0,0
47490163931_98221808@N04_88b12dcbbd,47490163931,98221808@N04,88b12dcbbd,7882,8,IMG_3929,1,0,0
