,id,owner,secret,server,farm,title,ispublic,isfriend,isfamily
48861918743_92028184@N04_088849275a,48861918743,92028184@N04,088849275a,65535,66,California Gull - Adult - September,1,0,0
48784832756_14579552@N04_2d5fd42e29,48784832756,14579552@N04,2d5fd42e29,65535,66,California coastline south of Crescent City,1,0,0
48762369312_24537422@N02_028ce328da,48762369312,24537422@N02,028ce328da,65535,66,2019_07_18_Redwoods and Lassen National Parks trip (291),1,0,0
48762182021_24537422@N02_8e32425fa0,48762182021,24537422@N02,8e32425fa0,65535,66,2019_07_18_Redwoods and Lassen National Parks trip (292),1,0,0
48901521372_44150996@N06_98150dd7c0,48901521372,44150996@N06,98150dd7c0,65535,66,Migratory Grasshopper (Melanoplus sanguinipes) - Male,1,0,0
48839898686_44150996@N06_a80fcffbbf,48839898686,44150996@N06,a80fcffbbf,65535,66,Migratory Grasshopper (Melanoplus sanguinipes) - Male,1,0,0
48839407723_44150996@N06_1290ab4bbf,48839407723,44150996@N06,1290ab4bbf,65535,66,Migratory Grasshopper (Melanoplus sanguinipes) - Female,1,0,0
48862647857_92028184@N04_63e8f12966,48862647857,92028184@N04,63e8f12966,65535,66,Western Gull - Possible 4th Year occidentalis - September,1,0,0
48862443661_92028184@N04_e58e308b8a,48862443661,92028184@N04,e58e308b8a,65535,66,Western Gull - Adult - September,1,0,0
48862645252_92028184@N04_ec0e050d44,48862645252,92028184@N04,ec0e050d44,65535,66,Glaucous-winged Gull - 1st Year - September,1,0,0
48861919808_92028184@N04_d51a8ee0e0,48861919808,92028184@N04,d51a8ee0e0,65535,66,California Gull - Adult - September,1,0,0
48861917633_92028184@N04_412c1150b3,48861917633,92028184@N04,412c1150b3,65535,66,Western Gull (possible occidentalis) -Adult - September,1,0,0
48862640672_92028184@N04_504c5b4a3c,48862640672,92028184@N04,504c5b4a3c,65535,66,California Gull - Adult - September,1,0,0
48862436136_92028184@N04_05f53659ea,48862436136,92028184@N04,05f53659ea,65535,66,California Gull - Adult - September,1,0,0
48862637882_92028184@N04_bfee15e9c2,48862637882,92028184@N04,bfee15e9c2,65535,66,Western Gull - 2nd Year - September,1,0,0
48862433956_92028184@N04_8fe903a3c8,48862433956,92028184@N04,8fe903a3c8,65535,66,Western Gull - 2nd Year? - September,1,0,0
48861911178_92028184@N04_3ca4c88875,48861911178,92028184@N04,3ca4c88875,65535,66,Western Gull - 2nd Year? - September,1,0,0
48862634732_92028184@N04_b3c2073c7c,48862634732,92028184@N04,b3c2073c7c,65535,66,Western Gull (possible occidentalis) -Adult - September,1,0,0
48862633742_92028184@N04_1a5047c6ef,48862633742,92028184@N04,1a5047c6ef,65535,66,Western Gull - 3rd Year (?) - September,1,0,0
48862632427_92028184@N04_cfc54cc60b,48862632427,92028184@N04,cfc54cc60b,65535,66,Western Gull - 3rd Year - September,1,0,0
48862428576_92028184@N04_88c1091afa,48862428576,92028184@N04,88c1091afa,65535,66,Western Gull - 2nd Year? - September,1,0,0
48862427526_92028184@N04_cc0460c8e0,48862427526,92028184@N04,cc0460c8e0,65535,66,Western Gull - 3rd Year - September,1,0,0
48861904128_92028184@N04_62cff9e3ff,48861904128,92028184@N04,62cff9e3ff,65535,66,Western Gull - 3rd Year - September,1,0,0
48861903078_92028184@N04_493ed4f81d,48861903078,92028184@N04,493ed4f81d,65535,66,Western Gull - 3rd Year - September,1,0,0
48862626232_92028184@N04_37af5c84f1,48862626232,92028184@N04,37af5c84f1,65535,66,Western Gull - 3rd Year - September,1,0,0
48862624927_92028184@N04_7237294cfa,48862624927,92028184@N04,7237294cfa,65535,66,Western Gull - 3rd Year - September,1,0,0
48862623717_92028184@N04_9b97c4ef6e,48862623717,92028184@N04,9b97c4ef6e,65535,66,Western Gull - 2nd Year (?) - September,1,0,0
48862420821_92028184@N04_bac0aaa1b9,48862420821,92028184@N04,bac0aaa1b9,65535,66,Western Gull - 3rd Year - September,1,0,0
