,id,owner,secret,server,farm,title,ispublic,isfriend,isfamily
49739857048_66855284@N03_492b241752,49739857048,66855284@N03,492b241752,65535,66,Wet,1,0,0
49737106992_66855284@N03_dec4956b59,49737106992,66855284@N03,dec4956b59,65535,66,Span The Gap,1,0,0
49734788412_66855284@N03_a888cb1a6d,49734788412,66855284@N03,a888cb1a6d,65535,66,Still Standing,1,0,0
49732031886_9631607@N08_afbe2f43f4,49732031886,9631607@N08,afbe2f43f4,65535,66,Tawny Point Panorama - John Muir Trail,1,0,0
49731011462_66855284@N03_6d8e259763,49731011462,66855284@N03,6d8e259763,65535,66,Three Rivers,1,0,0
49728765131_66855284@N03_9b92ff13c7,49728765131,66855284@N03,9b92ff13c7,65535,66,Lazy J Ranch Motel,1,0,0
49625499212_36845939@N03_07540ebbca,49625499212,36845939@N03,07540ebbca,65535,66,Ensatina (Ensatina eschscholtzii),1,0,0
49624706488_36845939@N03_3255a7de02,49624706488,36845939@N03,3255a7de02,65535,66,Ensatina (Ensatina eschscholtzii),1,0,0
49624704273_36845939@N03_a0934a76c5,49624704273,36845939@N03,a0934a76c5,65535,66,Ensatina (Ensatina eschscholtzii),1,0,0
49619863058_36845939@N03_b9914a7dd7,49619863058,36845939@N03,b9914a7dd7,65535,66,Pacific Newt (Taricha torosa or sierrae),1,0,0
49620643927_36845939@N03_179a7277fd,49620643927,36845939@N03,179a7277fd,65535,66,Sequoia Slender Salamander (Batrachoseps kawia),1,0,0
49614522018_9631607@N08_2a6580238e,49614522018,9631607@N08,2a6580238e,65535,66,Mt Whitney Panorama East - John Muir Trail,1,0,0
49592999451_132770804@N07_eb7949c06c,49592999451,132770804@N07,eb7949c06c,65535,66,"General Sherman Tree, Sequoia National Park  7/24/2015",1,0,0
49422173811_50676087@N04_d5074b8494,49422173811,50676087@N04,d5074b8494,65535,66,"571 The morning of our third day on the trek arrived with clouds, which we hoped wouldn't lead to rain later on",1,0,0
49421710013_50676087@N04_19bdfaa02d,49421710013,50676087@N04,19bdfaa02d,65535,66,"575 We were slow and it took us nearly two hours to pack up camp, and by then the sun was warm and shining",1,0,0
49422173641_50676087@N04_5a21209c97,49422173641,50676087@N04,5a21209c97,65535,66,579 Hiking down from the Rocky Basin Lakes on the foot trail,1,0,0
49422168451_50676087@N04_4b63de29a7,49422168451,50676087@N04,4b63de29a7,65535,66,"572 The lowest of the Rocky Basin Lakes at dawn, from our campsite",1,0,0
49422168266_50676087@N04_e0d1f07b1f,49422168266,50676087@N04,e0d1f07b1f,65535,66,580 There was no outflow from the lower Rocky Basin Lake but Barigan Stringer (creek) was flowing down below,1,0,0
49422394427_50676087@N04_cba25221e9,49422394427,50676087@N04,cba25221e9,65535,66,585 Barigan Stringer and lush grasses as we head downhill from the Rocky Basin Lakes,1,0,0
49417314852_50676087@N04_e641daba24,49417314852,50676087@N04,e641daba24,65535,66,498 Trail signs where the Rocky Basin Lakes Trail intersects the Big-to-Little Whitney Meadow Trail,1,0,0
49417314792_50676087@N04_13d0404e06,49417314792,50676087@N04,13d0404e06,65535,66,522 Hiking uphill through the forest toward the Rocky Basin Lakes,1,0,0
49416626503_50676087@N04_f70fa633c2,49416626503,50676087@N04,f70fa633c2,65535,66,525 Sign on the Rocky Basin Lakes Trail where the foot trail diverges from the longer horse trail - we took the short way,1,0,0
49417101596_50676087@N04_5fae636559,49417101596,50676087@N04,5fae636559,65535,66,534 Hiking the final mile on the foot trail toward the Rocky Basin Lakes - lots of boulders and talus,1,0,0
49417314597_50676087@N04_bc02120bf3,49417314597,50676087@N04,bc02120bf3,65535,66,542 Climbing uphill in the sun with some route-finding over granite boulders on the way to the Rocky Basin Lakes,1,0,0
49416626338_50676087@N04_0b07c1fc69,49416626338,50676087@N04,0b07c1fc69,65535,66,543 This last bit of climbing was a tough way to end a long day of hiking - so we took a rest in the shade,1,0,0
49417101456_50676087@N04_db3828ccce,49417101456,50676087@N04,db3828ccce,65535,66,545 We made it to the lowest of the Rocky Basin Lakes and decided to camp nearby,1,0,0
49417101411_50676087@N04_4d41cf1a7d,49417101411,50676087@N04,4d41cf1a7d,65535,66,550 My Big Agnes Copper Spur UL1 tent on a sandy spot near the lowest of the Rocky Basin Lakes,1,0,0
49417101371_50676087@N04_e0556a68e9,49417101371,50676087@N04,e0556a68e9,65535,66,552 It's still early afternoon but these two are hungry for dinner - but we'd need more water soon,1,0,0
49417314282_50676087@N04_2b496c8967,49417314282,50676087@N04,2b496c8967,65535,66,557 There were lines along the shore where the pine pollen marked the season's lake level on the boulders,1,0,0
49417314177_50676087@N04_fc1f6ef13d,49417314177,50676087@N04,fc1f6ef13d,65535,66,560 This is the main lake in the Rocky Basin Lakes - very pretty with great water for drinking,1,0,0
49416626033_50676087@N04_0d622dc8dc,49416626033,50676087@N04,0d622dc8dc,65535,66,564 Keven filled our water bags from a big boulder along the shore of the main lake in the Rocky Basin Lakes,1,0,0
49417101146_50676087@N04_0d9b713b3b,49417101146,50676087@N04,0d9b713b3b,65535,66,566 Evan's duty was squeezing the lake water through the Sawyer filter into the gallon jugs,1,0,0
49416624533_50676087@N04_444fa8b8b5,49416624533,50676087@N04,444fa8b8b5,65535,66,506 The Rocky Basin Lakes Trail was much more traveled in this final section and we had no trouble following it,1,0,0
49416624488_50676087@N04_8da3b5b9ae,49416624488,50676087@N04,8da3b5b9ae,65535,66,520 Tall pines and green grassy meadows on the trail to the Rocky Basin Lakes,1,0,0
49416624408_50676087@N04_c10de8e7e3,49416624408,50676087@N04,c10de8e7e3,65535,66,535 The foot trail roughly followed the outlet from the lowest of the Rocky Basin Lakes,1,0,0
49417312472_50676087@N04_b8684a1a2c,49417312472,50676087@N04,b8684a1a2c,65535,66,553 We headed off to explore near the Rocky Basin Lakes and filter some water for the next day's hike,1,0,0
49417312067_50676087@N04_a7781a59cb,49417312067,50676087@N04,a7781a59cb,65535,66,567 A cloudless sunset at the Rocky Basin Lakes - it had been a long day of hiking and we hit the sack right afterward,1,0,0
49363147743_10016118@N04_37cb73e7b1,49363147743,10016118@N04,37cb73e7b1,65535,66,A Land Of Giants,1,0,0
