,id,owner,secret,server,farm,title,ispublic,isfriend,isfamily,dateupload,ownername,iconserver,iconfarm,views,tags,originalsecret,originalformat,latitude,longitude,accuracy,context,place_id,woeid,geo_is_public,geo_is_contact,geo_is_friend,geo_is_family,machine_tags
0,50026061953,64476893@N00,dd358b128e,65535,66,IMG_4186,1,0,0,1592676107,FOREVERJEFF,5545,6,14,,b105e9a48c,jpg,43.637666,-103.476000,16,0,,5763684,1,0,0,0,
1,50026061898,64476893@N00,ccb464cb54,65535,66,IMG_4187,1,0,0,1592676108,FOREVERJEFF,5545,6,13,,7f9b16f9aa,jpg,43.637666,-103.476000,16,0,,5763684,1,0,0,0,
2,49993182486,37072297@N06,58fdf776bf,65535,66,Black-tailed Prairie dog,1,0,0,1591830199,Lepphotos,5334,6,272,southdakota windcavenatlpark nb0613a,58ac953ba9,jpg,43.575063,-103.491715,16,0,,5763684,1,0,0,0,
3,49963964688,8599745@N08,7e881797f6,65535,66,Wind Cave National Park- Custer County SD (6),1,0,0,1591127685,kevystew,3742,4,87,southdakota nationalpark cave us395 windcave custercounty nationalregister nationalregisterofhistoricalplaces,4921793a26,jpg,43.557750,-103.479025,16,0,,5763684,1,0,0,0,
4,49963963553,8599745@N08,459807c36d,65535,66,Wind Cave National Park- Custer County SD (5),1,0,0,1591127685,kevystew,3742,4,71,southdakota custercounty windcave nationalpark us395 cave,c7b0e502fa,jpg,43.558083,-103.479823,16,0,,5763684,1,0,0,0,
5,49964747502,8599745@N08,5cde8a509d,65535,66,Wind Cave National Park- Custer County SD (4),1,0,0,1591127684,kevystew,3742,4,64,southdakota custercounty windcave nationalpark us395 cave,37be24545b,jpg,43.558083,-103.479823,16,0,,5763684,1,0,0,0,
6,49963961043,8599745@N08,f85c9cfed8,65535,66,Wind Cave National Park- Custer County SD (3),1,0,0,1591127684,kevystew,3742,4,60,southdakota custercounty windcave nationalpark us395 cave,dbd6fe1a70,jpg,43.558083,-103.479823,16,0,,5763684,1,0,0,0,
7,49963750808,8599745@N08,619155c814,65535,66,Beaver Creek Bridge- Custer County SD (3),1,0,0,1591123721,kevystew,3742,4,133,southdakota custercounty bridge windcave nationalregister nationalregisterofhistoricplaces nationalpark blackhills,8e38234479,jpg,43.571111,-103.486945,16,0,,5763684,1,0,0,0,
8,49964249991,8599745@N08,d8397fb0a0,65535,66,Beaver Creek Bridge- Custer County SD (2),1,0,0,1591123721,kevystew,3742,4,206,southdakota custercounty bridge windcave nationalregister nationalregisterofhistoricplaces nationalpark blackhills,540df4bf62,jpg,43.571377,-103.487128,16,0,,5763684,1,0,0,0,
9,49963725026,8599745@N08,e36db4db80,65535,66,Beaver Creek Valley- Custer County SD,1,0,0,1591113501,kevystew,3742,4,66,southdakota custercounty blackhillsnationalforest nationalforest blackhills,e0a046a172,jpg,43.585394,-103.485270,16,0,,5763684,1,0,0,0,
