,id,owner,secret,server,farm,title,ispublic,isfriend,isfamily,dateupload,ownername,iconserver,iconfarm,views,tags,originalsecret,originalformat,latitude,longitude,accuracy,context,place_id,woeid,geo_is_public,geo_is_contact,geo_is_friend,geo_is_family,machine_tags
0,50026861686,40929712@N07,71622ae30e,65535,66,Alaska,1,0,0,1592682111,Sue Powell,904,1,13,alaska,31f79b901c,jpg,61.432747,-142.923112,16,0,,5868505,1,0,0,0,
1,50026323443,40929712@N07,ee8b43d3b9,65535,66,Alaska,1,0,0,1592682112,Sue Powell,904,1,10,alaska,e3b95656a4,jpg,61.483711,-142.887528,16,0,,5866086,1,0,0,0,
2,50026324176,40929712@N07,6056b582ef,65535,66,Alaska,1,0,0,1592670402,Sue Powell,904,1,28,alaska,47115caf9f,jpg,61.515636,-144.439392,16,0,,5859304,1,0,0,0,
3,50023621526,40929712@N07,1d703ff1bc,65535,66,"McCarthy, Alaska",1,0,0,1592596322,Sue Powell,904,1,15,mccarthy alaska,ea155ce488,jpg,61.445550,-142.916231,16,0,,5868505,1,0,0,0,
4,50023621186,40929712@N07,479cc81337,65535,66,"McCarthy, Alaska",1,0,0,1592596323,Sue Powell,904,1,12,mccarthy alaska,83b7e5db3b,jpg,61.432666,-142.923492,16,0,,5868505,1,0,0,0,
5,49979190836,105314487@N06,d79756f221,65535,66,Hubbard Glacier Detail,1,0,0,1591499966,paweesit,3912,4,600,alaska glacier hubbardglacier nature ice cold blue upclose landscape calving dense snow compact polar crevasses cirque fracture cracks geology iceberg freeze crack paweesit interesting interestingness photography photo photograph wow photos weesit pat outdoor pweesit ©paweesit scenery view perspective scene digital camera retrato picture shot capture travel travelphotography,,,60.039396,-139.547760,15,0,,5558618,1,0,0,0,
6,49979126806,105314487@N06,af931998a0,65535,66,Hubbbard Glacier Panorama,1,0,0,1591498101,paweesit,3912,4,4717,alaska glacier hubbardglacier panorama ice blue cold calving dense snow compact polar crevasses cirque fracture cracks geology iceberg freeze crack paweesit interesting interestingness photography photo photograph wow photos weesit pat outdoor nature pweesit ©paweesit landscape scenery view perspective scene digital camera retrato picture shot capture travel travelphotography,,,60.039246,-139.547073,15,0,,5558618,1,0,0,0,
7,49801252896,53502512@N04,753446b586,65535,66,IMG_7820,1,0,0,1587469879,Marco Panebianco,7428,8,2,,9d499de60f,jpg,62.302169,-145.302628,16,0,,5862648,1,0,0,0,
8,49800704553,53502512@N04,3cc081a1cb,65535,66,IMG_7821,1,0,0,1587469880,Marco Panebianco,7428,8,2,,1ef5a7acd1,jpg,62.302186,-145.302628,16,0,,5862648,1,0,0,0,
9,49784046832,147405332@N04,3ebfd525bb,65535,66,Under the deck,1,0,0,1587111424,Gaw',351,1,315,pont bridge monochrome architecture alaska usa deck metal old contreplongée,b19e25e5ea,jpg,61.488729,-144.015719,15,0,,5875280,1,0,0,0,
10,49767195792,32005048@N06,9f607cb79f,65535,66,"Rocky Mountains, Alaska",1,0,0,1586734998,Arthur Chapman,65535,66,35,rockymountains geo:country=unitedstatesofamerica geocode:method=googleearth geocode:accuracy=100000meters usa alaska,46f1dba1ff,jpg,60.118900,-140.410600,16,0,,5558615,1,0,0,0,
11,49766332983,32005048@N06,c6912d66de,65535,66,"Rocky Mountains, Alaska, USA",1,0,0,1586734999,Arthur Chapman,65535,66,35,rockymountains geo:country=unitedstatesofamerica geocode:method=googleearth geocode:accuracy=100000meters alaska usa,3986c59ccf,jpg,60.118900,-140.410600,16,0,,5558615,1,0,0,0,
12,49758154043,32005048@N06,2b03d96fe3,65535,66,"Mountains between Juneau and Anchorage, Alaska, USA",1,0,0,1586561229,Arthur Chapman,65535,66,16,alaska usa geocode:accuracy=50000meters geocode:method=googlemaps geo:country=unitedstatesofamerica,84563c65d3,jpg,60.378600,-140.588700,16,0,,5558615,1,0,0,0,
13,49758684436,32005048@N06,88bedfdbc1,65535,66,"Mountains between Juneau and Anchorage, Alaska, USA",1,0,0,1586561229,Arthur Chapman,65535,66,16,alaska usa geocode:accuracy=50000meters geocode:method=googlemaps geo:country=unitedstatesofamerica,aa0a9965f9,jpg,60.378600,-140.588700,16,0,,5558615,1,0,0,0,
14,49759011257,32005048@N06,50f06b1d07,65535,66,"Mountains between Juneau and Anchorage, Alaska, USA",1,0,0,1586561229,Arthur Chapman,65535,66,21,alaska usa geocode:accuracy=50000meters geocode:method=googlemaps geo:country=unitedstatesofamerica glacier,052f131a5e,jpg,60.378600,-140.588700,16,0,,5558615,1,0,0,0,
15,49758153453,32005048@N06,5685bcf5c9,65535,66,"Mountains near Juneau, Alaska, USA",1,0,0,1586561230,Arthur Chapman,65535,66,25,alaska usa geocode:accuracy=50000meters geocode:method=googlemaps geo:country=unitedstatesofamerica,f5fa7d7910,jpg,60.523000,-140.383000,16,0,,5558615,1,0,0,0,
16,49747209953,13879794@N04,988b7fce8a,65535,66,Willow lake in b\w,1,0,0,1586302119,Tiigra,3784,4,209,2011 coppercenter alaska unitedstates bw forest lake landscape nature panorama reflection tree usa,6dbbec8c10,jpg,61.778333,-145.180278,16,0,,5878140,1,0,0,0,
17,49747752271,13893079@N06,a3291364a5,65535,66,Willow lake in b\w,1,0,0,1586302115,Tigra K,3714,4,115,alaska unitedstates 2011 coppercenter bw panorama usa lake reflection tree nature forest landscape,038695e8ec,jpg,61.778333,-145.180278,16,0,,5878140,1,0,0,0,
18,49667918291,52071064@N00,7587820f1a,65535,66,Sailing towards Hubbard Glacier,1,0,0,1584407320,Allison Gregor,65535,66,44,disenchantmentbay cruise easternalaska usa tidewatermountainglacier alaska russellfjord hubbardglacier yukon canada may yakutatcity 2017 hollandamericacruiseline noordam ribbety allisongregor,9a9a3bee5b,jpg,59.957219,-139.540445,16,0,,5558618,1,0,0,0,
19,49634668482,27518428@N00,e0d6105cc0,65535,66,"Shattered. McCarthy, Alaska 102056010",1,0,0,1583672177,vambo25,65535,66,873,monochrome blackandwhite bw film leicar62 35mm mccarthy alaska windshield,,,61.432402,-142.924661,16,0,,5868505,1,0,0,0,
20,49619140702,50830796@N04,6c04e796f5,65535,66,Electrifying Experience . .,1,0,0,1583351005,JLS Photography - Alaska,65535,66,651,decorations lodge decor mantle light art artwork fireplace interior digitalart manipulation digitalmanipulation jlsphotographyalaska,e7cdd7d8f9,jpg,62.012222,-145.354448,16,0,,7263005,1,0,0,0,
21,49267100226,166814634@N04,31dccb7029,65535,66,AK Gravel Drone (2),1,0,0,1577157569,Renaissance Cyclist,65535,66,4,,0f16567ec6,jpg,61.487777,-144.016667,16,0,,5875280,1,0,0,0,
22,49266640848,166814634@N04,3dfef735c1,65535,66,AK Gravel Drone (3),1,0,0,1577157570,Renaissance Cyclist,65535,66,4,,885b2d8595,jpg,61.487777,-144.016667,16,0,,5875280,1,0,0,0,
23,49266640573,166814634@N04,c2ca1f73b4,65535,66,AK Gravel Drone (4),1,0,0,1577157571,Renaissance Cyclist,65535,66,4,,079e5c6376,jpg,61.487777,-144.016667,16,0,,5875280,1,0,0,0,
24,49266640278,166814634@N04,f548fa0875,65535,66,AK Gravel Drone (5),1,0,0,1577157572,Renaissance Cyclist,65535,66,8,,9da2ff3375,jpg,61.487777,-144.016667,16,0,,5875280,1,0,0,0,
25,49267293592,166814634@N04,0d68bc358a,65535,66,AK Gravel Drone (6),1,0,0,1577157572,Renaissance Cyclist,65535,66,4,,5e8675163b,jpg,61.487777,-144.016667,16,0,,5875280,1,0,0,0,
26,49267098756,166814634@N04,4b17e5b35b,65535,66,AK Gravel Drone (7),1,0,0,1577157573,Renaissance Cyclist,65535,66,4,,1cf456b2f5,jpg,61.487777,-144.016389,16,0,,5875280,1,0,0,0,
27,49266639433,166814634@N04,d8f5fa8479,65535,66,AK Gravel Drone (8),1,0,0,1577157574,Renaissance Cyclist,65535,66,3,,c3ebfbf205,jpg,61.433611,-142.943334,16,0,,5868505,1,0,0,0,
28,49267098191,166814634@N04,bcf4b1374d,65535,66,AK Gravel Drone (9),1,0,0,1577157574,Renaissance Cyclist,65535,66,3,,88d71cf5e9,jpg,61.433611,-142.943334,16,0,,5868505,1,0,0,0,
29,49267292327,166814634@N04,0ee6a7b62d,65535,66,AK Gravel Drone (12),1,0,0,1577157574,Renaissance Cyclist,65535,66,3,,48d438ca40,jpg,61.433611,-142.943334,16,0,,5868505,1,0,0,0,
30,49267291977,166814634@N04,010c1e5091,65535,66,AK Gravel Drone (14),1,0,0,1577157575,Renaissance Cyclist,65535,66,3,,d81ae22979,jpg,61.433611,-142.943334,16,0,,5868505,1,0,0,0,
31,49267173437,166814634@N04,ca4f2a8777,65535,66,AK Gravel Drone (2),1,0,0,1577155333,Renaissance Cyclist,65535,66,10,bikepacking adventure glacier summer alaska mccarthy nationalpark gravel touring steelisreal mtb cycling,79184ec05e,jpg,61.487777,-144.016667,16,0,,5875280,1,0,0,0,
