,key,id,owner,secret,server,farm,title,ispublic,isfriend,isfamily,dateposted,tags,longitude,latitude,url
0,49782395663_40243520@N02_0ffc8a423e,49782395663,www78,0ffc8a423e,65535,66,Jordan Pond from North Bubble,1,0,0,2019-11-01 21:40:24,"['Eagle', 'Lake', 'from', 'North', 'Bubble', 'Bubbles', 'Acadia', 'National', 'Park', 'Maine', 'Bar', 'Harbor']",-68.25664,44.343869,https://www.flickr.com/photos/whsieh78/49782395663/
1,49783256857_40243520@N02_f726ddd4e8,49783256857,www78,f726ddd4e8,65535,66,Bubble Rock Trail 2,1,0,0,2019-09-13 07:35:44,"['Bubble', 'Rock', 'Trail', 'Bubbles', 'Acadia', 'National', 'Park', 'Maine', 'Bar', 'Harbor']",-68.253775,44.338237,https://www.flickr.com/photos/whsieh78/49783256857/
2,49783256297_40243520@N02_211c4bf61f,49783256297,www78,211c4bf61f,65535,66,Jordan Pond from South Bubble,1,0,0,2019-09-13 07:44:08,"['Jordan', 'Pond', 'from', 'South', 'Bubble', 'Bubbles', 'Acadia', 'National', 'Park', 'Maine', 'Bar', 'Harbor']",-68.253582,44.338613,https://www.flickr.com/photos/whsieh78/49783256297/
3,49783256007_40243520@N02_3a0b7d693b,49783256007,www78,3a0b7d693b,65535,66,Jordan Pond from South Bubble,1,0,0,2019-09-13 07:45:18,"['Jordan', 'Pond', 'from', 'South', 'Bubble', 'Bubbles', 'Acadia', 'National', 'Park', 'Maine', 'Bar', 'Harbor']",-68.25355,44.338882,https://www.flickr.com/photos/whsieh78/49783256007/
4,49783255482_40243520@N02_90249902ef,49783255482,www78,90249902ef,65535,66,North Bubble from South Bubble,1,0,0,2019-09-13 07:49:06,"['North', 'Bubble', 'from', 'South', 'Bubbles', 'Acadia', 'National', 'Park', 'Maine', 'Bar', 'Harbor']",-68.253443,44.339688,https://www.flickr.com/photos/whsieh78/49783255482/
5,49782933236_40243520@N02_63e352ce08,49782933236,www78,63e352ce08,65535,66,Bubble Rock,1,0,0,2019-09-13 07:51:16,"['Bubble', 'Rock', 'Bubbles', 'Acadia', 'National', 'Park', 'Maine', 'Bar', 'Harbor']",-68.25325,44.339649,https://www.flickr.com/photos/whsieh78/49782933236/
6,49781795267_31608341@N02_7f713fdede,49781795267,Greg from Maine,7f713fdede,65535,66,Twilight before the Dawn,1,0,0,2012-08-14 05:07:28,"['acadia national park', 'acadia', 'twilight', 'sunrise', 'sunset', 'maine', 'bar harbor', 'bar harbor maine', 'mdi', 'mount desert island', 'reflections', 'morning', 'morning mist', 'fog', 'foggy', 'hancock county', 'trees', 'mt desert narrows', 'mount desert narrows', 'ocean', 'water', 'bay', 'calm', 'peace', 'peaceful', 'nature', 'landscape', 'national park', 'dawn']",-68.364808,44.424294,https://www.flickr.com/photos/acadia-maine/49781795267/
7,49778671768_40243520@N02_3d46538de1,49778671768,www78,3d46538de1,65535,66,Bubble Rock Trail,1,0,0,2019-09-13 07:30:11,"['Bubble', 'Rock', 'Trail', 'Acadia', 'National', 'Park', 'Bar', 'Harbor', 'Maine']",-68.253411,44.336603,https://www.flickr.com/photos/whsieh78/49778671768/
8,49779533107_40243520@N02_fb0ba59c50,49779533107,www78,fb0ba59c50,65535,66,Jordan Pond,1,0,0,2019-09-13 06:51:32,"['Jordan', 'Pond', 'Acadia', 'National', 'Park', 'Bar', 'Harbor', 'Maine']",-68.254258,44.322566,https://www.flickr.com/photos/whsieh78/49779533107/
9,49778671008_40243520@N02_03fddc82ca,49778671008,www78,03fddc82ca,65535,66,Jordan Pond 2,1,0,0,2019-09-13 06:54:33,"['Jordan', 'Pond', 'Acadia', 'National', 'Park', 'Bar', 'Harbor', 'Maine']",-68.250042,44.323656,https://www.flickr.com/photos/whsieh78/49778671008/
