parkunit,official_website,alltrails_website
acad,https://www.nps.gov/acad/index.htm,https://www.alltrails.com/parks/us/maine/acadia-national-park
npsa,https://www.nps.gov/npsa/index.htm,https://www.alltrails.com/parks/american-samoa/national-park-of-american-samoa
arch,https://www.nps.gov/arch/index.htm,https://www.alltrails.com/parks/us/utah/arches-national-park
badl,https://www.nps.gov/badl/index.htm,https://www.alltrails.com/parks/us/south-dakota/badlands-national-park
bibe,https://www.nps.gov/bibe/index.htm,https://www.alltrails.com/parks/us/texas/big-bend-national-park
bisc,https://www.nps.gov/bisc/index.htm,https://www.alltrails.com/parks/us/florida/biscayne-national-park
blca,https://www.nps.gov/blca/index.htm,https://www.alltrails.com/parks/us/colorado/black-canyon-of-the-gunnison-national-park
brca,https://www.nps.gov/brca/index.htm,https://www.alltrails.com/parks/us/utah/bryce-canyon-national-park
cany,https://www.nps.gov/cany/index.htm,https://www.alltrails.com/parks/us/utah/canyonlands-national-park
care,https://www.nps.gov/care/index.htm,https://www.alltrails.com/parks/us/utah/capitol-reef-national-park
cave,https://www.nps.gov/cave/index.htm,https://www.alltrails.com/parks/us/new-mexico/carlsbad-caverns-national-park
chis,https://www.nps.gov/chis/index.htm,https://www.alltrails.com/parks/us/california/channel-islands-national-park
cong,https://www.nps.gov/cong/index.htm,https://www.alltrails.com/parks/us/south-carolina/congaree-national-park
crla,https://www.nps.gov/crla/index.htm,https://www.alltrails.com/parks/us/oregon/crater-lake-national-park
cuva,https://www.nps.gov/cuva/index.htm,https://www.alltrails.com/parks/us/ohio/cuyahoga-valley-national-park
deva,https://www.nps.gov/deva/index.htm,https://www.alltrails.com/parks/us/california/death-valley-national-park
dena,https://www.nps.gov/dena/index.htm,https://www.alltrails.com/parks/us/alaska/denali-national-park
drto,https://www.nps.gov/drto/index.htm,https://www.alltrails.com/parks/us/florida/dry-tortugas-national-park
ever,https://www.nps.gov/ever/index.htm,https://www.alltrails.com/parks/us/florida/everglades-national-park
gaar,https://www.nps.gov/gaar/index.htm,https://www.alltrails.com/parks/us/alaska/gates-of-the-arctic-national-park-and-preserve
jeff,https://www.nps.gov/jeff/index.htm,https://www.alltrails.com/parks/us/missouri/gateway-arch-national-park
glac,https://www.nps.gov/glac/index.htm,https://www.alltrails.com/parks/us/montana/glacier-national-park
glba,https://www.nps.gov/glba/index.htm,https://www.alltrails.com/parks/us/alaska/glacier-bay-national-park-and-preserve
grca,https://www.nps.gov/grca/index.htm,https://www.alltrails.com/parks/us/arizona/grand-canyon-national-park
grte,https://www.nps.gov/grte/index.htm,https://www.alltrails.com/parks/us/wyoming/grand-teton-national-park
grba,https://www.nps.gov/grba/index.htm,https://www.alltrails.com/parks/us/nevada/great-basin-national-park
