id,_id,context,core,dateupload,farm,iconfarm,iconserver,in_park,labels,owner,ownername,parkunit,secret,server,tags,title,views,latitude,longitude
15233847267,5ef9105c74346de8ce450662,0,True,-107,4,8,7349,True,0,10725258@N00,rovingmagpie,blca,7754007877,3930,rockies colorado southrim blackcanyonofthegunnison blackcanyon blackcanyonofthegunnisonnationalpark gunnisonriver gettinghigh2014,lowlighting Black Canyon,1147,38.566824,-107.752146
15397276236,5ef9105c74346de8ce450663,0,True,-107,4,8,7349,True,0,10725258@N00,rovingmagpie,blca,35ffd6dc61,3927,colorado delta southrim blackcanyonofthegunnison blackcanyon grandmesa blackcanyonofthegunnisonnationalpark gunnisonriver gettinghigh2014,from Warner Point,1013,38.566824,-107.752146
9487370789,5ef9105c74346de8ce450a26,0,True,-107,4,5,4414,True,0,44124370018@N01,daveynin,blca,9ab6727b9d,3807,nationalpark nps canyon overlook blackcanyonofgunnison deaftalent deafoutsidetalent deafoutdoortalent,Gunnison River flowing to north,707,38.566555,-107.75178100000001
27938023796,5ef9105c74346de8ce45042f,0,True,-107,8,9,8451,True,0,10160899@N03,MikeMcGowan,blca,7cd8f525ec,7265,mountains canon river nationalpark colorado canyon valley montrose gunnison blackcanyon 50d warnerpoint,Black Canyon of the Gunnison National Park,546,38.566614,-107.75168500000001
27938024246,5ef9105c74346de8ce45042d,0,True,-107,8,9,8451,True,0,10160899@N03,MikeMcGowan,blca,4858a0126e,7325,canon nationalpark colorado reptile lizard montrose eastern gunnison collared blackcanyon 50d,Eastern Collared Lizard,349,38.566614,-107.75168500000001
27895045571,5ef9105c74346de8ce45042c,0,True,-107,8,9,8451,True,0,10160899@N03,MikeMcGowan,blca,77a3551b04,7448,mountains canon river nationalpark colorado canyon valley montrose gunnison blackcanyon 50d warnerpoint,Black Canyon Warner Point,399,38.566614,-107.75168500000001
7383937378,5ef9105c74346de8ce450c07,0,True,-107,8,8,7284,True,0,94531530@N00,gmeador,blca,f4f2a9d0eb,7083,colorado blackcanyonofthegunnison blackcanyon,"South Rim Foreground, North Rim Background",94,38.566811,-107.751442
8102595018,5ef9105c74346de8ce450b64,0,True,-107,9,7,6179,True,0,62800450@N03,DaylilyFan,blca,6f4ea0dd25,8194,nationalpark colorado geology blackcanyonofthegunnison coloradoplateau warnerpoint,Warner Point,141,38.566333,-107.751333
44912856164,5ef9105c74346de8ce44ff4a,0,True,-107,2,8,7364,True,0,76882919@N07,WxTonyD,blca,44a2df1635,1932,,Black Canyon National Park in Colorado. July 2018.,3,38.566596999999994,-107.75131200000001
45587215802,5ef9105c74346de8ce44ff44,0,True,-107,2,8,7364,True,0,76882919@N07,WxTonyD,blca,f1495a2f37,1951,,Black Canyon National Park in Colorado. July 2018.,2,38.566686,-107.75131200000001
21885186242,5ef9105c74346de8ce4504e5,0,True,-107,1,4,3848,True,0,36729225@N08,jodybagdonas,blca,35776a65a3,690,colorado unitedstates crawford blackcanyonofthegunnison,Clark's Nutcracker at Black Canyon,72,38.566738,-107.751278
21885186242,5ef9105c74346de8ce450529,0,True,-107,1,4,3848,True,0,36729225@N08,jodybagdonas,blca,35776a65a3,690,colorado unitedstates crawford blackcanyonofthegunnison,Clark's Nutcracker at Black Canyon,72,38.566738,-107.751278
7383933648,5ef9105c74346de8ce450c09,0,True,-107,6,8,7284,True,0,94531530@N00,gmeador,blca,f03d4e6082,5323,colorado blackcanyonofthegunnison blackcanyon,Looking Southwest at Montrose from Warner Point,79,38.566677,-107.75126200000001
26295936604,5ef9105c74346de8ce450464,0,True,-107,8,0,0,True,0,31137251@N04,goingforfun,blca,cb1ef26f08,7421,park black mountains canyon national co gunnison blackcanyonofthegunnison blackcanyon,Black Canyon of the Gunnison,71,38.566486,-107.751198
37198750945,5ef9105c74346de8ce4501a8,0,True,-107,5,4,3672,True,0,133753799@N04,tonyfernandezz,blca,16ed80b8ee,4372,colorado stream cliff canyon blackcanyonofthegunnison,Black Canyon of the Gunnison NP,147,38.566604999999996,-107.75115900000002
37198750945,5ef9105c74346de8ce4500ed,0,True,-107,5,4,3672,True,0,133753799@N04,tonyfernandezz,blca,16ed80b8ee,4372,colorado stream cliff canyon blackcanyonofthegunnison,Black Canyon of the Gunnison NP,147,38.566604999999996,-107.75115900000002
30696943997,5ef9105c74346de8ce44ff26,0,True,-107,2,8,7364,True,0,76882919@N07,WxTonyD,blca,4a1637751d,1916,,Black Canyon National Park in Colorado. July 2018.,9,38.565883,-107.751145
44932925324,5ef9105c74346de8ce44ff0f,0,True,-107,2,7,6182,True,0,66288373@N05,RoamingTogether,blca,7de00a027d,1928,283003563 blackcanyonnationalpark blackcanyonofthegunnison blackandwhite canyon colorado gunnison hdr nationalpark nikon nikond700 tamron,Big Blue,83,38.56665,-107.75114099999999
29117616178,5ef9105c74346de8ce45000b,0,True,-107,2,6,5334,True,0,77293861@N06,DaveGifford,blca,794fed04e1,1812,colorado blackcanyonofthegunnison,1F8A7613,11,38.566399,-107.751139
23407853350,5ef9105c74346de8ce4504c5,0,True,-107,1,8,7380,True,0,33499543@N08,markbyzewski,blca,9011e558b5,638,colorado blackcanyon blackcanyonofthegunnisonnationalpark,IMG_3724a,77,38.56578,-107.75110600000001
23407841790,5ef9105c74346de8ce4504c6,0,True,-107,6,8,7380,True,0,33499543@N08,markbyzewski,blca,37b57a4862,5639,colorado blackcanyon blackcanyonofthegunnisonnationalpark,IMG_3727a,70,38.565783,-107.751098
42271383464,5ef9105c74346de8ce45000a,0,True,-107,2,6,5334,True,0,77293861@N06,DaveGifford,blca,60ce9604a2,1817,colorado blackcanyonofthegunnison,1F8A7612,10,38.566286,-107.751098
37056500181,5ef9105c74346de8ce4501a9,0,True,-107,5,4,3672,True,0,133753799@N04,tonyfernandezz,blca,c47a578e94,4429,colorado stream canyon blackcanyonofthegunnison,Black Canyon of the Gunnison NP,72,38.566783,-107.75109499999999
37056500181,5ef9105c74346de8ce4500ee,0,True,-107,5,4,3672,True,0,133753799@N04,tonyfernandezz,blca,c47a578e94,4429,colorado stream canyon blackcanyonofthegunnison,Black Canyon of the Gunnison NP,72,38.566783,-107.75109499999999
32784569018,5ef9105c74346de8ce44fed0,0,True,-107,5,8,7364,True,0,76882919@N07,WxTonyD,blca,73577c4f09,4808,,Colorado USA,3,38.566883000000004,-107.751084
