id,_id,context,core,dateupload,farm,iconfarm,iconserver,in_park,labels,owner,ownername,parkunit,secret,server,tags,title,views,latitude,longitude
30351671971,5f01fc67f726a9c76d85b1d1,0,True,1476921657,6,8,7406,True,0,13604127@N06,darthjenni,grba,ec3243562f,5515,basinandrangeprovince greatbasindesert lake nationalparkservice nevada nps whitepinecounty baker unitedstates us,"Great Basin National Park, Alpine Lakes Trail, Stella Lake",433,39.006044,-114.319406
15525581730,5f01fc67f726a9c76d85b2d2,0,True,1415119834,4,8,7409,True,0,86755183@N04,Fred Moore 1947,grba,e08e64a805,3937,lake rocks baker unitedstates nevada greatbasinnp stellalake,"Stella Lake, Great Basin NP, Nevada",5012,39.006002,-114.31940300000001
9534558182,5f01fc67f726a9c76d85b46d,0,True,1376781718,6,4,3317,True,0,37995181@N05,Serendipitous Light,grba,ddd336ba46,5532,greatbasinnatlpark,Stella Lake,275,39.005897,-114.319375
9508073288,5f01fc67f726a9c76d85b472,0,True,1376456303,8,4,3795,True,0,31715949@N00,Vox Sciurorum,grba,51d0ff101b,7319,pond nevada greatbasinnationalpark tse24mmf35ii,Stella Lake,150,39.006002,-114.31900900000001
36737092906,5f01fc67f726a9c76d85b172,0,True,1503614023,5,2,1926,True,0,66727626@N00,James Marvin Phelps,grba,dd911f2964,4347,jamesmarvinphelpsphotography bakernevada greatbasinnationalpark greatbasin landscapephotography 2017 nevada photography â€œjamesmarvinphelpsâ€œstella lakeâ€â€œwheeler peakâ€“james marvin phelps “stellalake” “wheelerpeak”,Stella Lake Reflection,1096,39.006085999999996,-114.318964
48674062713,5f01fc67f726a9c76d85b04e,0,True,1567555213,66,66,65535,True,0,58457330@N05,isaac.borrego,grba,4f7713ee6e,65535,nevada unitedstates america usa nationalparks nationalparksystem nps findyourpark,Clouds above Stella Lake,34,39.006095,-114.318956
48674214123,5f01fc67f726a9c76d85b04d,0,True,1567557907,66,66,65535,True,0,58457330@N05,isaac.borrego,grba,0b0edb2e4d,65535,nevada unitedstates america usa nationalparks nationalparksystem nps findyourpark,Stella Lake Ripples,64,39.006095,-114.318956
33096027345,5f01fc67f726a9c76d85b1a6,0,True,1487973367,1,6,5647,True,0,47843990@N05,adzamba,grba,df3b6fe0a5,662,2016 baker nevada unitedstates usa alpinelakelooptrial greatbasinnp lago lake stellalake wheelerpeak,"Great Basin NP - Stella Lake and Wheeler Peak (10,147ft / 3.950 m)",455,39.006161,-114.318867
3782760870,5f01fc67f726a9c76d85b727,0,True,1249248126,3,9,8278,True,0,90835531@N00,akseez,grba,d5b65deb99,2454,wood sky usa lake mountains reflection tree nature water baker nv hdr greatbasinnationalpark,Stella Lake,211,39.006159999999994,-114.31883
744311371,5f01fc67f726a9c76d85b7f0,0,True,1183783181,2,9,8269,True,0,43068201@N00,surgeprotector24,grba,73a0466156,1193,mountain lake landscape alpine glacial mountainscape wheelerpeak greatbasinnationalpark stellalake,wheeler peak,293,39.006316,-114.318805
35438877834,5f01fc67f726a9c76d85b178,0,True,1501447625,5,2,1926,True,0,66727626@N00,James Marvin Phelps,grba,7c7f833c19,4308,jamesmarvinphelpsphotography bakernevada greatbasinnationalpark greatbasin landscapephotography 2017 nevada photography â€œjamesmarvinphelpsâ€œstella lakeâ€â€œwheeler peakâ€“james marvin phelps “stellalake” “wheelerpeak” ngc,Stella Lake Reflection,3077,39.006019,-114.31875600000001
44347299752,5f01fc67f726a9c76d85b090,0,True,1535772920,2,3,2899,True,0,25497340@N05,NYHikerJohn,grba,5c4a6fc254,1897,spikes rochesterredwings stellalake wheelerpeak nevada greatbasinnationalpark nyhikerjohn johnridge johnaridge johnaustinridge august 2018,Spikes wants to take a dip in Stella Lake.,28,39.006252,-114.31875600000001
41872899692,5f01fc67f726a9c76d85b0eb,0,True,1525566012,1,6,5574,True,0,8904060@N06,ctofcsco,grba,ec1fae7150,952,5095 analog asa100 canon canoscan canoscan9000fmarkii colornegative ef35105mmf3545 eos eos620 explore explored film ga goldplus100 iso100 kodacolorvrgold100 kodak processc41 scanned standardbase unitedstates usa baker geo:lat=3900520100 geo:lon=11431872910 geotagged hogum nevada esplora portrait pretty renown 9000f photo pic,Stella Lake,3569,39.0052,-114.31872800000001
14355276004,5f01fc67f726a9c76d85b3f0,0,True,1402021088,4,3,2854,True,0,79103037@N07,tr0mbley,grba,09718b556f,3869,park stella camping mountain lake snow pine nikon loop snake nevada great lakes trails peak basin alpine national wheeler range bristlecone greatbasinnationalpark grba d3100,"Stella Lake, Great Basin NP",2420,39.00647,-114.31872
2727274980,5f01fc67f726a9c76d85b789,0,True,1217734911,4,6,5565,True,0,46419706@N00,zach.wise,grba,f3e044a8b4,3143,unitedstates nevada 10kmseofhogum,Mt. Wheeler,154,39.006111,-114.318703
30140768700,5f01fc67f726a9c76d85b1d0,0,True,1476921657,6,8,7406,True,0,13604127@N06,darthjenni,grba,82e63f9743,5601,basinandrangeprovince greatbasindesert lake nationalparkservice nevada nps whitepinecounty baker unitedstates us,"Great Basin National Park, Alpine Lakes Trail, Stella Lake",372,39.006236,-114.318703
30528862118,5f01fc67f726a9c76d85b092,0,True,1535772922,2,3,2899,True,0,25497340@N05,NYHikerJohn,grba,2b61e5fb69,1887,wheelerpeak nevada greatbasinnationalpark nyhikerjohn johnridge johnaridge johnaustinridge august 2018 clouds snoopy,Maybe Snoopy on the left?,29,39.006091,-114.31868100000001
9812069303,5f01fc67f726a9c76d85b449,0,True,1379562826,6,8,7318,True,0,93997827@N07,colinLmiller,grba,7e58bb8d3c,5495,us nps nationalparkservice 2012 doi greatbasinnationalpark departmentoftheinterior teresaalpinelake,E9074889 Panoramic stitch - Teresa Alpine Lake,77,39.006303,-114.31867700000001
32939706452,5f01fc67f726a9c76d85b1aa,0,True,1487972687,4,6,5647,True,0,47843990@N05,adzamba,grba,10299f6b91,3665,2016 alpinelakelooptrial baker butterfly farfalla insetto nevada nymphalidae unitedstates usa greatspangledfritillary speyeriacybele,Great Basin NP - Great spangled fritillary,208,39.006391,-114.318673
44347299242,5f01fc67f726a9c76d85b093,0,True,1535772922,2,3,2899,True,0,25497340@N05,NYHikerJohn,grba,4e879824b5,1864,wheelerpeak nevada greatbasinnationalpark nyhikerjohn johnridge johnaridge johnaustinridge august 2018 stellalake,Stella Lake,45,39.006038000000004,-114.31865
14982006001,5f01fc67f726a9c76d85b2d8,0,True,1408581517,4,1,661,True,0,34644396@N08,photoev,grba,91b2eb7422,3846,sky silhouette night stars landscape nevada ngc grandkids moment magical milkyway nv614 stellalakemtwheeler,"Stella Lake - Mt. Wheeler, NV 6-14",2416,39.005983,-114.31864499999999
15542884297,5f01fc67f726a9c76d85b387,0,True,1415318265,8,1,661,True,0,34644396@N08,photoev,grba,f6c085b5c2,7562,mt nevada wheeler greatbasinnationalpark,"Mt. Wheeler, Nevada 8-14",4365,39.005983,-114.31864499999999
35933464683,5f01fc67f726a9c76d85b173,0,True,1503435969,5,2,1926,True,0,66727626@N00,James Marvin Phelps,grba,7b1025cfc8,4339,jamesmarvinphelpsphotography bakernevada greatbasinnationalpark greatbasin landscapephotography 2017 nevada photography â€œjamesmarvinphelpsâ€œstella lakeâ€â€œwheeler peakâ€“james marvin phelps “stellalake” “wheelerpeak”,Stella Lake,1471,39.006127,-114.318625
2595929960,5f01fc67f726a9c76d85b7c0,0,True,1213983436,4,6,5565,True,0,46419706@N00,zach.wise,grba,f61403aebe,3271,park stella mountain lake baker nevada great basin national,Stella Lake at Midnight,703,39.006238,-114.318623
229111581,5f01fc67f726a9c76d85b803,0,True,1156941268,1,1,67,True,0,81116336@N00,sirrobot,grba,3d158b7dc9,95,,P1010551.JPG,29,39.006676,-114.318623
30528859688,5f01fc67f726a9c76d85b017,0,True,1535772926,2,3,2899,True,0,25497340@N05,NYHikerJohn,grba,7b75a81f1c,1865,wheelerpeak nevada greatbasinnationalpark nyhikerjohn johnridge johnaridge johnaustinridge august 2018,IMG_3966,33,39.006144,-114.31861200000002
30321558122,5f01fc67f726a9c76d85b1cf,0,True,1476921656,9,8,7406,True,0,13604127@N06,darthjenni,grba,3cfe18ea49,8682,basinandrangeprovince greatbasindesert nationalparkservice nevada nps whitepinecounty baker unitedstates us,"Great Basin National Park, Alpine Lakes Trail, Wall",295,39.006275,-114.31861200000002
8183096710,5f01fc67f726a9c76d85b4c9,0,True,1352838016,9,8,7349,True,0,10725258@N00,rovingmagpie,grba,87518ca881,8065,panorama lake baker nevada greatbasin gnarlytree greatbasinnationalpark stellalake alpinelakeslooptrail cdtw2011,gnarly tree divided,416,39.006245,-114.318602
7910173644,5f01fc67f726a9c76d85b4ed,0,True,1346550164,9,8,7309,True,0,13709281@N00,BY Chu,grba,0d08f6359e,8321,nationalpark nevada wheelerpeak greatbasinnp stellalake alpinelakestrail,120826 Stella Lake,57,39.00605,-114.318533
41885082502,5f01fc67f726a9c76d85b0ea,0,True,1525617057,1,6,5574,True,0,8904060@N06,ctofcsco,grba,e49334338d,865,5095 analog asa100 baker canon canoscan canoscan9000fmarkii colornegative ef35105mmf3545 ef50mmf18 eos eos620 explore explored film ga goldplus100 iso100 kodacolorvrgold100 kodak processc41 scanned standardbase unitedstates usa geo:lat=3900619938 geo:lon=11431852793 geotagged hogum nevada esplore renown pretty pic digital photo image landscape 9000f esplora,Wheeler Peak,2832,39.0062,-114.318528
48674405672,5f01fc67f726a9c76d85b04f,0,True,1567552512,66,66,65535,True,0,58457330@N05,isaac.borrego,grba,0c1fa8a270,65535,nevada unitedstates america usa nationalparks nationalparksystem nps findyourpark,Return to Timber Line,51,39.007796,-114.318344
7576761426,5f01fc67f726a9c76d85b515,0,True,1342379318,8,2,1240,True,0,10014489@N02,Jim Jenson,grba,8d20ae4efc,7253,public may 2012 greatbasinnationalpark ef1635mmf28liiusm,,44,39.007476000000004,-114.318175
6946718065,5f01fc67f726a9c76d85b56e,0,True,1330707090,8,8,7349,True,0,10725258@N00,rovingmagpie,grba,e3fc863165,7183,panorama lake geotagged baker nevada greatbasin greatbasinnationalpark stellalake alpinelakeslooptrail cdtw2011 geo:lat=3900558918887681 geo:lon=11431814469891356,Stella Lake,227,39.005589,-114.31814399999999
32968893731,5f01fc67f726a9c76d85b1a9,0,True,1487972686,3,6,5647,True,0,47843990@N05,adzamba,grba,bb17af137b,2514,2016 alpinelakelooptrial baker butterfly farfalla insetto nevada nymphalidae unitedstates usa vanessaannabella westcoastlady,Great Basin NP - Mormon Fritillary,213,39.007315999999996,-114.31810300000001
29021091944,5f01fc67f726a9c76d85b203,0,True,1473742160,9,6,5531,True,0,119872227@N08,jon.webb1,grba,b797b2f10a,8435,baker nevada unitedstates us,50mm Test,715,39.005844,-114.318067
229111347,5f01fc67f726a9c76d85b804,0,True,1156941244,1,1,67,True,0,81116336@N00,sirrobot,grba,6771e50bab,96,,P1010550.JPG,29,39.005,-114.318026
7576755904,5f01fc67f726a9c76d85b516,0,True,1342379272,9,2,1240,True,0,10014489@N02,Jim Jenson,grba,1c3f808193,8282,public may 2012 greatbasinnationalpark ef1635mmf28liiusm,,57,39.005942,-114.31772
7576750758,5f01fc67f726a9c76d85b517,0,True,1342379228,9,2,1240,True,0,10014489@N02,Jim Jenson,grba,e2448615b9,8288,public may 2012 greatbasinnationalpark ef1635mmf28liiusm,,54,39.005942,-114.31772
7576746078,5f01fc67f726a9c76d85b518,0,True,1342379187,9,2,1240,True,0,10014489@N02,Jim Jenson,grba,78f2e70b88,8282,public may 2012 greatbasinnationalpark ef1635mmf28liiusm,,62,39.005942,-114.31772
15582162350,5f01fc67f726a9c76d85b383,0,True,1415731448,4,8,7340,True,0,48122549@N00,thefuton,grba,a1b2108149,3948,trees lake snow nature water cloudy nevada aspens alpinelake greatbasinnationalpark stellalake,Stella Lake,223,39.003869,-114.317434
28866476294,5f01fc67f726a9c76d85b215,0,True,1473137469,9,6,5531,True,0,119872227@N08,jon.webb1,grba,0f7972fd64,8256,baker nevada unitedstates us,In the heart of darkness,2267,39.006477000000004,-114.31733700000001
30510916021,5f01fc67f726a9c76d85b1c4,0,True,1477574934,6,4,3477,True,0,38034842@N06,ElvinC,grba,ca076f4b93,5475,greatbasinnationalpark stellalake jeffdavispeak infraredphotography,Stella Lake_0461s,105,39.005499,-114.317324
30510915791,5f01fc67f726a9c76d85b1c5,0,True,1477574935,6,4,3477,True,0,38034842@N06,ElvinC,grba,be1c38429a,5346,greatbasinnationalpark stellalake jeffdavispeak,Stellla Lakle 5877s,92,39.005499,-114.317324
30319341490,5f01fc67f726a9c76d85b1bf,0,True,1477664008,6,6,5531,True,0,119872227@N08,jon.webb1,grba,3af8648e8c,5739,baker nevada unitedstates us,Wheeler Mtn Pano,734,39.005444,-114.316992
20911137670,5f01fc67f726a9c76d85b32d,0,True,1441240552,6,8,7582,True,1,128296691@N07,lanleyc,grba,a60b50a0d2,5803,square squareformat lark iphoneography instagramapp uploaded:by=instagram,"Summit Party 🎉   Baker Peak, Nevada",17,38.970224,-114.31694099999999
35666562611,5f01fc67f726a9c76d85b17c,0,True,1499529322,5,5,4376,True,2,22364077@N00,cubedude27,grba,de4b73ccc4,4242,greatbasin nevada wheelerpeak nps nationalparkservice,Great Basin,156,38.988021999999994,-114.316631
7576741636,5f01fc67f726a9c76d85b519,0,True,1342379148,9,2,1240,True,0,10014489@N02,Jim Jenson,grba,f11bdf36be,8021,public may 2012 greatbasinnationalpark ef1635mmf28liiusm,,35,39.008292,-114.31626000000001
