id,_id,context,core,dateupload,farm,iconfarm,iconserver,in_park,labels,owner,ownername,parkunit,secret,server,tags,title,views,latitude,longitude
31737148918,5f1b850f7547241674906791,0,True,-155,2,3,2766,True,0,47458193@N02,Ike Fitz,katm,bce442e3c0,1933,katmainationalpark brookscamp,looking west from Dumpling Mountain_09092018_3,203,58.578702,-155.867639
31737151198,5f1b850f754724167490678e,0,True,-155,2,3,2766,True,0,47458193@N02,Ike Fitz,katm,c5e859819d,1976,katmainationalpark brookscamp,Lake Brooks seen from Dumpling Mountain_06092018,199,58.572,-155.86143700000005
44695648075,5f1b850f754724167490678c,0,True,-155,2,3,2766,True,0,47458193@N02,Ike Fitz,katm,761a4d797f,1955,katmainationalpark brookscamp,Iliuk Arm and Brooks River area seen from Dumpling Mountain_06092018,218,58.57200200000001,-155.86143700000005
30668499997,5f1b850f7547241674906770,0,True,-155,2,3,2766,True,0,47458193@N02,Ike Fitz,katm,9a90c755cd,1979,katmainationalpark brookscamp,above the clouds on Dumpling Mountain_07012018_6,313,58.571943999999995,-155.861325
31737180198,5f1b850f754724167490677f,0,True,-155,2,3,2766,True,0,47458193@N02,Ike Fitz,katm,1893e1db08,1923,katmainationalpark brookscamp,Dumpling Mountain summit area_7_06092018,199,58.583293999999995,-155.861214
25293162343,5f1b850f7547241674906ed6,0,True,-155,2,3,2766,True,0,47458193@N02,Ike Fitz,katm,90b16d7777,1456,katmainationalparkandpreserve,fall foliage on Dumpling Mountain_02_09072015,206,58.5733,-155.85955900000005
45609423191,5f1b850f7547241674906780,0,True,-155,2,3,2766,True,0,47458193@N02,Ike Fitz,katm,d95ee5c315,1976,katmainationalpark brookscamp,Dumpling Mountain summit area_06092018,202,58.580727,-155.859331
25289162804,5f1b850f7547241674906ed7,0,True,-155,2,3,2766,True,0,47458193@N02,Ike Fitz,katm,401fa65f16,1710,katmainationalparkandpreserve,fall foliage on Dumpling Mountain_06_09072015,205,58.573436,-155.85910900000005
25289157724,5f1b850f7547241674906ed8,0,True,-155,2,3,2766,True,0,47458193@N02,Ike Fitz,katm,d54fca00d0,1512,berry katmainationalparkandpreserve,fall foliage on Dumpling Mountain_11_09072015,210,58.573085999999996,-155.854348
25794090854,5f1b850f7547241674906e72,0,True,-155,2,3,2766,True,0,47458193@N02,Ike Fitz,katm,7f93ef8397,1692,bird wildlife katmai brooksriver brookscamp katmainationalpark,arctic tern on island on Lake Brooks_01_06142015,596,58.536894,-155.847103
25801143752,5f1b850f7547241674906ed2,0,True,-155,2,3,2766,True,0,47458193@N02,Ike Fitz,katm,2223ebdfc0,1658,berry katmainationalparkandpreserve,blueberries on Dumpling Mountain_2_08162015,210,58.571985999999995,-155.845731
25293041463,5f1b850f7547241674906ee2,0,True,-155,2,3,2766,True,0,47458193@N02,Ike Fitz,katm,fef2048756,1682,katmainationalparkandpreserve,tundra on upper slopes of Dumpling Mountain_1_08222015,155,58.57186899999999,-155.845067
45609421991,5f1b850f7547241674906781,0,True,-155,2,3,2766,True,0,47458193@N02,Ike Fitz,katm,469ac941b7,1964,katmainationalpark brookscamp,Dumpling Mountain Trail_6_07012018,202,58.571852,-155.842123
25289131454,5f1b850f7547241674906edd,0,True,-155,2,3,2766,True,0,47458193@N02,Ike Fitz,katm,a4f9afb534,1548,katmainationalparkandpreserve,looking east and south from upper slopes of Dumpling Mountain Panorama_0822015,169,58.571966,-155.841748
31737167058,5f1b850f7547241674906785,0,True,-155,2,3,2766,True,0,47458193@N02,Ike Fitz,katm,901e2c39af,1948,katmainationalpark brookscamp,"fall colors, Dumpling Mountain_09092018_2",198,58.571911,-155.841689
25826907801,5f1b850f7547241674906ed9,0,True,-155,2,3,2766,True,0,47458193@N02,Ike Fitz,katm,4414ba890a,1577,katmainationalparkandpreserve,fall foliage on Dumpling Mountain_32_09072015,210,58.571727,-155.841159
44695656235,5f1b850f7547241674906787,0,True,-155,2,3,2766,True,0,47458193@N02,Ike Fitz,katm,36b840d842,1946,katmainationalpark brookscamp,"fog bow, Dumpling Mountain_09092018_10",293,58.570766000000006,-155.831173
45609412271,5f1b850f7547241674906786,0,True,-155,2,3,2766,True,0,47458193@N02,Ike Fitz,katm,95ffe2f0e4,1901,katmainationalpark brookscamp,"fog bow, Dumpling Mountain_09092018_7",195,58.570752,-155.83094499999999
45609419421,5f1b850f7547241674906782,0,True,-155,2,3,2766,True,0,47458193@N02,Ike Fitz,katm,69554753c1,1961,katmainationalpark brookscamp,Dumpling Mountain_06252018,205,58.57073000000001,-155.830242
36007861395,5f1b850f7547241674906916,0,True,-155,5,8,7252,True,0,72063229@N00,jpmckenna - Plotting 2020 Adventures,katm,d96ef21dc8,4320,,2017 Day 189 - Hiking Dumpling Mountain,128,58.57055500000001,-155.829723
25921905575,5f1b850f7547241674906ed1,0,True,-155,2,3,2766,True,0,47458193@N02,Ike Fitz,katm,5bdec50713,1557,katmainationalparkandpreserve,bear trail on Dumpling Mountain_3_06062015,851,58.587371999999995,-155.828592
10106317146,5f1b850f75472416749071df,0,True,-155,8,0,0,True,0,78904630@N08,Christoph Strässler,katm,2c4593edf5,7298,usa alaska 169 brookslake brookscamp katmainationalpark alaska2013 dumplingmountaintrail,"View from Dumpling Mountain Trail, Katmai National Park",1527,58.569166,-155.824333
6156683623,5f1b850f754724167490738d,0,True,-155,7,4,3831,True,0,82199457@N00,t i g,katm,b692ee2ae2,6178,alaska fishing aviation beaver flyfishing brooks arl,ARL 2011,119,58.543482999999995,-155.82370600000004
7625926990,5f1b850f75472416749072bb,0,True,-155,9,6,5467,True,0,52494799@N00,valeski,katm,d4ea58d1be,8013,,Floatplane Crew,34,58.548373,-155.819349
7625926682,5f1b850f75472416749072bc,0,True,-155,9,6,5467,True,0,52494799@N00,valeski,katm,652a54020f,8001,,Beach,25,58.548373,-155.819349
7625926136,5f1b850f75472416749072bd,0,True,-155,9,6,5467,True,0,52494799@N00,valeski,katm,16739d891a,8430,,Dominant Male,59,58.548373,-155.819349
7625925538,5f1b850f75472416749072be,0,True,-155,9,6,5467,True,0,52494799@N00,valeski,katm,ba19b9e6c0,8159,,Yea! I caught it!,22,58.548373,-155.819349
7625915810,5f1b850f75472416749072bf,0,True,-155,9,6,5467,True,0,52494799@N00,valeski,katm,d36f36e20e,8142,,Snap!,23,58.548373,-155.819349
7625915422,5f1b850f75472416749072c0,0,True,-155,8,6,5467,True,0,52494799@N00,valeski,katm,e89716e918,7119,salmon,Skinning,37,58.548373,-155.819349
7625915052,5f1b850f75472416749072c1,0,True,-155,9,6,5467,True,0,52494799@N00,valeski,katm,fed62c423c,8150,salmon,Catch,75,58.548373,-155.819349
7625914546,5f1b850f75472416749072c2,0,True,-155,8,6,5467,True,0,52494799@N00,valeski,katm,ddaa6b68bf,7140,salmon brownbear,Salmon Jump (So Close!),411,58.548373,-155.819349
7625914198,5f1b850f75472416749072c3,0,True,-155,9,6,5467,True,0,52494799@N00,valeski,katm,3ee7b75d9d,8421,,Bounding (miss),40,58.548373,-155.819349
7625913738,5f1b850f75472416749072c4,0,True,-155,8,6,5467,True,0,52494799@N00,valeski,katm,513a1f2108,7124,,Perched,25,58.548373,-155.819349
7625912654,5f1b850f75472416749072c5,0,True,-155,9,6,5467,True,0,52494799@N00,valeski,katm,933fe87d01,8027,,Setting up,23,58.548373,-155.819349
7625912244,5f1b850f75472416749072c6,0,True,-155,8,6,5467,True,0,52494799@N00,valeski,katm,e7c7795ebe,7118,,Relaxing meal,23,58.548373,-155.819349
7625911882,5f1b850f75472416749072c7,0,True,-155,9,6,5467,True,0,52494799@N00,valeski,katm,cfa7425127,8426,,Teeth,25,58.548373,-155.819349
7625906032,5f1b850f75472416749072c8,0,True,-155,9,6,5467,True,0,52494799@N00,valeski,katm,61ceaf67c8,8155,,Youth,32,58.548373,-155.819349
6588682017,5f1b850f754724167490732e,0,True,-155,8,3,2766,True,0,47458193@N02,Ike Fitz,katm,9dbc13d09b,7035,katmainationalparkandpreserve,brooks river from Dumpling Mtn. Tral,486,58.571346999999996,-155.80775
10106308676,5f1b850f75472416749071e0,0,True,-155,8,0,0,True,0,78904630@N08,Christoph Strässler,katm,24410c7327,7335,usa alaska 169 brookscamp katmainationalpark alaska2013 dumplingmountaintrail,"View from Dumpling Mountain Trail, Katmai National Park",1825,58.56966600000001,-155.80766599999995
24754609997,5f1b850f75472416749068ec,0,True,-155,5,5,4743,True,0,158661726@N06,Mike4Trees,katm,c81ea3349b,4674,greenalder alder tree trees,female flowers_3 Alnus viridis,21,58.571022,-155.80541200000005
44695645885,5f1b850f754724167490678d,0,True,-155,2,3,2766,True,0,47458193@N02,Ike Fitz,katm,69654cefc6,1972,katmainationalpark brookscamp,Lake Brooks seen from Dumpling Mountain trail_06092018,205,58.569238,-155.799373
25801139522,5f1b850f7547241674906ed3,0,True,-155,2,3,2766,True,0,47458193@N02,Ike Fitz,katm,1353a1c0d2,1590,katmainationalparkandpreserve,Brooks River_07072015,209,58.56904399999999,-155.798948
31737143108,5f1b850f754724167490670b,0,True,-155,2,3,2766,True,0,47458193@N02,Ike Fitz,katm,f62fe1196b,1951,katmainationalpark brookscamp brooks river,Naknek Lake and Iliuk Arm seen from Dumpling Mountain Overlook_06092018,298,58.56898,-155.798673
35334334450,5f1b850f75472416749069b8,0,True,-155,5,4,3353,True,0,39333584@N03,favonius81,katm,74b2a2e88d,4070,katmainationalpark alaska usa us,Alaska2016,115,58.569038,-155.798653
48492219036,5f1b850f7547241674906728,0,True,-155,66,8,7746,True,0,116488457@N08,megansnyder3,katm,57f8048929,65535,,IMG_3094,67,58.568996999999996,-155.7986
35552576122,5f1b850f75472416749069b9,0,True,-155,5,4,3353,True,0,39333584@N03,favonius81,katm,e66e2b7685,4018,katmainationalpark alaska usa us,Alaska2016,104,58.56904399999999,-155.798589
35334329530,5f1b850f75472416749069ba,0,True,-155,5,4,3353,True,0,39333584@N03,favonius81,katm,46c61b3543,4112,katmainationalpark alaska usa us,Alaska2016,65,58.569038,-155.798581
31737181828,5f1b850f754724167490677e,0,True,-155,2,3,2766,True,0,47458193@N02,Ike Fitz,katm,e831d0e75e,1938,katmainationalpark brookscamp,"Drosera anglica, english sundew_2_06062018",193,58.54918000000001,-155.798306
44695642505,5f1b850f754724167490678f,0,True,-155,2,3,2766,True,0,47458193@N02,Ike Fitz,katm,fe346cb10b,1938,katmainationalpark brookscamp,large bog near head of Brooks River_06062018,204,58.54919399999999,-155.798284
48443437377,5f1b850f7547241674906733,0,True,-155,66,6,5468,True,0,58839349@N02,Tom Fenske Photography,katm,2973250365,65535,dumpling katmai brookscamp brooksfalls alaska hiking bears fireweed summer naknek lakebrooks brooksriver,Katmai National Park,1141,58.56889399999999,-155.797989
25826799321,5f1b850f7547241674906ee3,0,True,-155,2,3,2766,True,0,47458193@N02,Ike Fitz,katm,02b5bb9908,1636,katmainationalparkandpreserve,upper Brooks River_2_05312015,160,58.54988,-155.796817
6156675393,5f1b850f7547241674907396,0,True,-155,7,4,3831,True,0,82199457@N00,t i g,katm,d20589e1de,6083,alaska fishing flyfishing arl alaskarainbowlodge,Roll Cast,182,58.548593999999994,-155.79672
48492383487,5f1b850f7547241674906729,0,True,-155,66,8,7746,True,0,116488457@N08,megansnyder3,katm,f4b1f20bf9,65535,,IMG_3099,19,58.56890799999999,-155.79669199999995
