id,_id,context,core,dateupload,farm,iconfarm,iconserver,in_park,labels,owner,ownername,parkunit,secret,server,tags,title,views,latitude,longitude
10003700163,5f1b851075472416749106be,0,True,-154,6,5,4368,True,0,69389163@N07,Marc Farré,lacl,107eecbcea,5444,,2013-07 Alaska 0648,19,60.196059,-154.654381
10003639086,5f1b851075472416749106bd,0,True,-154,8,5,4368,True,0,69389163@N07,Marc Farré,lacl,17cccf132a,7304,,2013-07 Alaska 0667,23,60.18235,-154.58298200000004
10003594196,5f1b851075472416749106c4,0,True,-154,4,5,4368,True,0,69389163@N07,Marc Farré,lacl,91d6e8146a,3736,,2013-07 Alaska 0479,19,60.178380000000004,-154.573354
10003687876,5f1b851075472416749106b7,0,True,-154,6,5,4368,True,0,69389163@N07,Marc Farré,lacl,97b6887a2b,5499,,2013-07 Alaska 0847,20,60.17824399999999,-154.573173
10003536234,5f1b851075472416749106c2,0,True,-154,3,5,4368,True,0,69389163@N07,Marc Farré,lacl,f6a19c64f2,2862,,2013-07 Alaska 0522,44,60.17815600000001,-154.572969
10003596566,5f1b851075472416749106c3,0,True,-154,8,5,4368,True,0,69389163@N07,Marc Farré,lacl,664b77a8a3,7342,,2013-07 Alaska 0494,17,60.178098999999996,-154.572457
10003691546,5f1b851075472416749106b6,0,True,-154,8,5,4368,True,0,69389163@N07,Marc Farré,lacl,df0e0b2188,7398,,2013-07 Alaska 0863,22,60.176566,-154.57218799999995
10003528634,5f1b851075472416749106c5,0,True,-154,8,5,4368,True,0,69389163@N07,Marc Farré,lacl,82523054fd,7314,,2013-07 Alaska 0471,30,60.176761,-154.567724
10003628835,5f1b851075472416749106b8,0,True,-154,6,5,4368,True,0,69389163@N07,Marc Farré,lacl,5034536c47,5510,dehavillanddhc2beaver,2013-07 Alaska 0800,58,60.180004000000004,-154.555137
10003626355,5f1b851075472416749106b9,0,True,-154,4,5,4368,True,0,69389163@N07,Marc Farré,lacl,bff9df28ff,3808,oiseaux pygargueàtêteblanche,2013-07 Alaska 0786,25,60.180004000000004,-154.555137
10003679046,5f1b851075472416749106ba,0,True,-154,6,5,4368,True,0,69389163@N07,Marc Farré,lacl,69f180a423,5494,oiseaux pygargueàtêteblanche,2013-07 Alaska 0780,26,60.180004000000004,-154.555137
10003672816,5f1b851075472416749106bb,0,True,-154,8,5,4368,True,0,69389163@N07,Marc Farré,lacl,98df746295,7363,oiseaux pygargueàtêteblanche,2013-07 Alaska 0770,26,60.180004000000004,-154.555137
10003605455,5f1b851075472416749106bc,0,True,-154,4,5,4368,True,0,69389163@N07,Marc Farré,lacl,4c2393cd22,3782,,2013-07 Alaska 0717,20,60.181912,-154.547518
10003687583,5f1b851075472416749106c0,0,True,-154,4,5,4368,True,0,69389163@N07,Marc Farré,lacl,16909efafc,3740,,2013-07 Alaska 0595,15,60.19351800000001,-154.525817
10003556994,5f1b851075472416749106c1,0,True,-154,3,5,4368,True,0,69389163@N07,Marc Farré,lacl,1df987f3bd,2814,,2013-07 Alaska 0575,15,60.19351800000001,-154.525817
48152538986,5f1b851075472416749104a7,0,True,-154,66,2,1466,True,0,16979731@N04,Alice Pettway,lacl,30321ab4f4,65535,,Kayak Camping in Chulitna Bay,17,60.19661600000001,-154.508042
10003625606,5f1b851075472416749106bf,0,True,-154,3,5,4368,True,0,69389163@N07,Marc Farré,lacl,e50d45a71c,2879,,2013-07 Alaska 0602,17,60.190863,-154.48886299999995
48152585302,5f1b851075472416749104a9,0,True,-154,66,2,1466,True,1,16979731@N04,Alice Pettway,lacl,4b51442991,65535,,Wild Onion,16,60.235746999999996,-154.391831
29708392608,5f1b851075472416749104f0,0,True,-154,1,0,0,True,1,31065672@N03,jrucker94,lacl,4996332a67,927,alaska outdoors nature rustsflyingservice,DSC06885,90,60.202861,-154.344984
34275790273,5f1b85107547241674910512,0,True,-154,5,2,1769,True,1,94344415@N05,sleepyjoshua,lacl,71c544f4c0,4242,,,6,60.200393999999996,-154.338653
34955445171,5f1b85107547241674910510,0,True,-154,5,2,1769,True,1,94344415@N05,sleepyjoshua,lacl,67ea0e4a2c,4242,,,7,60.200430000000004,-154.338578
34921948082,5f1b8510754724167491050e,0,True,-154,5,2,1769,True,1,94344415@N05,sleepyjoshua,lacl,3bb2f8082c,4221,,,9,60.200430000000004,-154.33856200000002
34699055090,5f1b8510754724167491050f,0,True,-154,5,2,1769,True,1,94344415@N05,sleepyjoshua,lacl,0ed10445b0,4245,,,15,60.200430000000004,-154.33856200000002
34250953543,5f1b8510754724167491057b,0,True,-154,5,2,1769,True,1,94344415@N05,sleepyjoshua,lacl,bb87f94735,4259,,,8,60.200630000000004,-154.338378
34674238240,5f1b8510754724167491057d,0,True,-154,1,2,1769,True,1,94344415@N05,sleepyjoshua,lacl,c40dee7d2d,751,,,6,60.200722,-154.337801
34218008254,5f1b85107547241674910584,0,True,-154,5,2,1769,True,1,94344415@N05,sleepyjoshua,lacl,84abae9b24,4269,,,5,60.195083,-154.335648
35061734705,5f1b85107547241674910583,0,True,-154,5,2,1769,True,1,94344415@N05,sleepyjoshua,lacl,e9a13086c7,4260,,,5,60.195102,-154.33561699999996
35021542666,5f1b85107547241674910580,0,True,-154,5,2,1769,True,1,94344415@N05,sleepyjoshua,lacl,20d9f3f570,4246,,,5,60.195083,-154.335587
35061729895,5f1b85107547241674910585,0,True,-154,1,2,1769,True,1,94344415@N05,sleepyjoshua,lacl,14935fb46b,751,,,5,60.195083,-154.335587
30209404588,5f1b851075472416749104d7,0,True,-154,2,2,1926,True,1,147650293@N05,22flyingnorm,lacl,10c8d5490e,1800,,IMG-9244,22,60.200363,-154.335573
34897545252,5f1b85107547241674910581,0,True,-154,5,2,1769,True,1,94344415@N05,sleepyjoshua,lacl,6b1021a17b,4245,,,5,60.195202,-154.335526
34674016130,5f1b85107547241674910582,0,True,-154,5,2,1769,True,1,94344415@N05,sleepyjoshua,lacl,30da76a0b4,4195,,,5,60.195147,-154.33548100000004
34897555012,5f1b8510754724167491057e,0,True,-154,5,2,1769,True,1,94344415@N05,sleepyjoshua,lacl,c460012156,4211,,,6,60.19624399999999,-154.335267
