id,_id,context,core,dateupload,farm,iconfarm,iconserver,in_park,labels,owner,ownername,parkunit,secret,server,tags,title,views,latitude,longitude
35365188942,5f01fc66f726a9c76d84800d,0,True,1498423650,5,5,4235,True,0,21227803@N06,rickcameron,redw,6e4ff5dfe5,4281,blackoystercatcher tidepool bird mollusk endertsbeach jedediahsmithredwoodsstatepark redwoodnationalandstateparks crescentcity california goosebarnacle aggregatinganemone californiamussel gooseneckbarnacle,The Oystercatcher,380,41.705236,-124.144678
29707775768,5f01fc66f726a9c76d847c4e,0,True,1532305580,1,6,5524,True,0,28698026@N05,henskechristine,redw,bd1679f5f4,834,,Starfish at Enderts Beach @ Redwoods NP,47,41.707438,-124.144631
29707778988,5f01fc66f726a9c76d847c4c,0,True,1532305595,2,6,5524,True,0,28698026@N05,henskechristine,redw,ce1950fd49,1828,,Starfish at Enderts Beach @ Redwoods NP,52,41.707408,-124.14458400000001
29707608088,5f01fc66f726a9c76d847c52,0,True,1532304862,1,6,5524,True,0,28698026@N05,henskechristine,redw,627e0f1eb8,846,,Willa at Enderts Beach @ Redwoods NP,46,41.707710999999996,-124.14458400000001
29707607968,5f01fc66f726a9c76d847c53,0,True,1532304862,1,6,5524,True,0,28698026@N05,henskechristine,redw,c00034d8b1,836,,Willa at Enderts Beach @ Redwoods NP,59,41.707716,-124.14458400000001
42860660914,5f01fc66f726a9c76d847c51,0,True,1532304863,2,6,5524,True,0,28698026@N05,henskechristine,redw,a7de54f801,1761,,Enderts Beach @ Redwoods NP,36,41.707722,-124.14458400000001
29707775968,5f01fc66f726a9c76d847c4d,0,True,1532305581,1,6,5524,True,0,28698026@N05,henskechristine,redw,11f6c302cc,926,,Starfish at Enderts Beach @ Redwoods NP,32,41.707415999999995,-124.14457800000001
29707775798,5f01fc66f726a9c76d847c4f,0,True,1532305580,1,6,5524,True,0,28698026@N05,henskechristine,redw,f041a16255,855,,Starfish at Enderts Beach @ Redwoods NP,53,41.707344,-124.144531
34311788605,5f01fc66f726a9c76d8480d3,0,True,1493343524,3,5,4235,True,0,21227803@N06,rickcameron,redw,e2f960cc34,2859,tidepool starfish giantgreenanemone californiamussel endertsbeach crescentcity california jedediahsmithredwoodsstatepark redwoodnationalandstateparks ochreseastar,Here Comes the Tide,235,41.704685999999995,-124.14448700000001
42663172915,5f01fc66f726a9c76d847c75,0,True,1532270541,1,6,5524,True,0,28698026@N05,henskechristine,redw,320d7ec3ed,858,,Enderts Beach @ Redwoods NP,33,41.707485999999996,-124.144448
43568508451,5f01fc66f726a9c76d847c76,0,True,1532270539,2,6,5524,True,0,28698026@N05,henskechristine,redw,8d1d0e9433,1823,,Bill schooling us at Enderts Beach @ Redwoods NP,64,41.707833,-124.14440900000001
42860663314,5f01fc66f726a9c76d847c50,0,True,1532304872,1,6,5524,True,0,28698026@N05,henskechristine,redw,b7f70a1c86,835,,Bill at Enderts Beach @ Redwoods NP,51,41.707827,-124.144403
4395287699,5f01fc66f726a9c76d84a1b9,0,True,1267387183,3,2,1941,True,0,47969773@N03,Jillian Kern,redw,ba0b7cf2b8,2758,beach,Foam,49,41.706857,-124.144392
4396056690,5f01fc66f726a9c76d84a1b7,0,True,1267387204,5,2,1941,True,0,47969773@N03,Jillian Kern,redw,56a8de4245,4033,beach sand,Sand,42,41.706857,-124.144392
