id,_id,context,core,dateupload,farm,iconfarm,iconserver,in_park,labels,owner,ownername,parkunit,secret,server,tags,title,views,latitude,longitude
22972189550,5f1b851575472416749bebb2,0,True,-111,6,9,8579,True,0,13983694@N06,djryan78,sagu,d6cce3f143,5769,travel autumn arizona cactus sky usa moon hot fall cacti landscape nationalpark succulent unitedstates desert tucson outdoor dry clear saguaro pricklypear saguaronationalpark sonorandesert tucsonmountains pimacounty saguaroparkwest,Desert Sessions,3867,32.274152,-111.21953400000001
23874113385,5f1b851575472416749beb4f,0,True,-111,6,6,5647,True,0,47843990@N05,adzamba,sagu,6f84fa8104,5810,sunset arizona cactus usa tramonto unitedstates tucson saguaro 2015 wmanvillerd,tramonto con Saguari,219,32.291688,-111.21948700000002
26524944841,5f1b851575472416749be932,0,True,-111,2,3,2207,True,0,52798516@N00,littleshechen,sagu,8c5bfe528b,1675,,All Photos-4241,9,32.273616,-111.21889399999999
28862270230,5f1b851575472416749be839,0,True,-111,9,8,7408,True,0,50449338@N02,4 Corners Photo,sagu,4b49e68691,8331,4cornersphoto arizona cactus clouds color dusk landscape monsoon northamerica pimacounty pricklypear rain rural saguaronationalpark saguarocactus scenery sky sonorandesert storm summer sunset thunderstorm unitedstates weather tucson us,"Thunderstorm and Cacti, Saguaro National Park, AZ",518,32.276036,-111.21888100000001
13985971212,5f1b851575472416749bef48,0,True,-111,3,3,2902,True,0,123443334@N07,aboutmytripdotcom,sagu,d48a17d618,2930,arizona usa unitedstates roadtrip pimacounty aboutmytripdotcom nsandarioroad,"Arizona, Pima County",4,32.273583,-111.218864
14009174753,5f1b851575472416749bef49,0,True,-111,8,3,2902,True,0,123443334@N07,aboutmytripdotcom,sagu,3efcf60236,7317,arizona usa unitedstates roadtrip pimacounty aboutmytripdotcom nsandarioroad,"Arizona, Pima County",24,32.273175,-111.218728
13985968282,5f1b851575472416749bef4a,0,True,-111,8,3,2902,True,0,123443334@N07,aboutmytripdotcom,sagu,a67d00c62f,7187,arizona usa unitedstates roadtrip pimacounty aboutmytripdotcom nsandarioroad,"Arizona, Pima County",4,32.273088,-111.218667
39960087242,5f1b851575472416749be441,0,True,-111,5,3,2870,True,0,30689048@N00,Marina Castillo,sagu,1952b7499f,4650,saguaronationalpark marinacastillophotography marinacastillonavarro arizona,#saguaronationalpark #marinacastillophotography #marinacastillonavarro #arizona,103,32.274116,-111.21862
44990704055,5f1b851575472416749be38a,0,True,-111,5,4,3701,True,0,35042004@N00,rickpawl,sagu,ec26025a3a,4916,,"Saguaro NP, AZ",1689,32.312655,-111.21862
13989180825,5f1b851575472416749bef4b,0,True,-111,3,3,2902,True,0,123443334@N07,aboutmytripdotcom,sagu,4a6224c718,2918,arizona usa unitedstates roadtrip pimacounty aboutmytripdotcom nsandarioroad,"Arizona, Pima County",10,32.273002000000005,-111.21860600000001
30964679857,5f1b851575472416749be38b,0,True,-111,5,4,3701,True,0,35042004@N00,rickpawl,sagu,cfb3beba75,4827,,"Saguaro NP, AZ",1481,32.312644,-111.218598
44990703875,5f1b851575472416749be38c,0,True,-111,5,4,3701,True,0,35042004@N00,rickpawl,sagu,9ea16aa6dc,4882,,"Saguaro NP, AZ",1851,32.312661,-111.21855900000001
13989179215,5f1b851575472416749bef4c,0,True,-111,6,3,2902,True,0,123443334@N07,aboutmytripdotcom,sagu,851dfd6b82,5147,arizona usa unitedstates roadtrip pimacounty aboutmytripdotcom nsandarioroad,"Arizona, Pima County",4,32.272811,-111.218484
13941527683,5f1b851575472416749bf015,0,True,-111,3,3,2199,True,0,25718534@N05,bsstahl,sagu,55e309f7c6,2912,,WP_20140418_10_11_06_Pro,88,32.272527000000004,-111.218478
13941526993,5f1b851575472416749bf019,0,True,-111,3,3,2199,True,0,25718534@N05,bsstahl,sagu,4506b7b9c2,2916,,WP_20140418_10_11_18_Pro,36,32.272527000000004,-111.218478
30964678167,5f1b851575472416749be38e,0,True,-111,5,4,3701,True,0,35042004@N00,rickpawl,sagu,4faf9a2cff,4849,,"Saguaro NP, AZ",1345,32.312715999999995,-111.21846200000002
