,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank,top_tags
0,0,0,44.22199575885622,-68.33692156867647,1609,True,acad,4,forest;america;squareformat;instagramapp;fall;square;iphoneography;travel;autumn;vacation;mdi;nikon;trees;road;film;england;panorama;new;united;states
1,1,1,44.362198873831794,-68.33442642056083,214,True,acad,13,forest;harbor;ocean;rocks;squareformat;iphoneography;instagramapp;america;square;nationalpark;autumn;fall;national;travel;landscape;nikon;coast;road;light;acadianp
2,2,2,44.22779145375,-68.31722091374985,800,True,acad,6,nikon;autumn;square;squareformat;iphoneography;instagramapp;trees;fall;forest;mdi;travel;landscape;water;vacation;america;hancockcounty;fog;green;panorama;atlanticocean
3,3,3,44.240672329809755,-68.30013045665936,473,True,acad,8,autumn;fall;trees;nikon;travel;forest;mdi;square;squareformat;iphoneography;instagramapp;us;water;rocks;acadianp;hancockcounty;unitedstatesofamerica;light;clouds;film
4,4,4,44.338563695555706,-68.27333779999951,450,True,acad,9,
5,5,5,44.32666131070147,-68.25366267041335,2224,True,acad,3,mdi;america;squareformat;instagramapp;travel;square;iphoneography;forest;autumn;rocks;landscape;ocean;trees;harbor;light;road;unitedstatesofamerica;green;outdoors;atlantic
6,6,6,44.37674397833938,-68.25087294223816,277,True,acad,11,ocean;america;rocks;forest;us;instagramapp;square;squareformat;iphoneography;nikon;harbor;travel;trees;green;atlantic;film;england;hdr;acadianp;light
7,7,7,44.353019148406275,-68.22501940041147,4865,True,acad,2,forest;america;nikon;instagramapp;squareformat;travel;square;iphoneography;fall;autumn;water;nature;landscape;road;light;green;film;united;states;hdr
8,8,8,44.362679095779285,-68.20798142532445,616,True,acad,7,rocks;squareformat;iphoneography;instagramapp;square;america;autumn;landscape;travel;water;nikon;us;forest;mdi;ocean;me;nature;vacation;mtdesertisland;summer
9,9,9,44.321859542670985,-68.18739246357043,6890,True,acad,1,instagramapp;squareformat;iphoneography;square;forest;nikon;mdi;america;fall;travel;autumn;landscape;trees;road;panorama;light;green;unitedstatesofamerica;summer;film
10,10,10,44.349772153846146,-68.18985686813198,273,True,acad,12,america;forest;travel;harbor;me;ocean;us;nikon;water;unitedstates;square;squareformat;instagramapp;united;states;green;outdoors;light;rock;clouds
11,11,11,44.34005488151662,-68.1769452985781,422,True,acad,10,forest;america;nikon;mdi;fall;national;travel;us;usa;landscape;trees;instagramapp;square;squareformat;iphoneography;light;road;mount;new;england
12,12,12,44.332582464155614,-68.060702055893,823,True,acad,5,forest;nikon;us;instagramapp;square;squareformat;iphoneography;travel;vacation;nature;landscape;mdi;barharbor;america;unitedstates;national;park;trees;fall;me
