,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank,top_tags
0,0,0,38.78477774535122,-109.59973953219786,10917,True,arch,1,hdr;lasalmountains;sunset;canon;mountains;roadtrip;unitedstatesofamerica;redrock;southwest;red;clouds;nikon;travel;sky;outdoors;america;ut;archesnp;may;redrocks
1,1,1,38.61654253049145,-109.61883263081772,1525,True,arch,7,hdr;canon;mountains;lasalmountains;unitedstatesofamerica;roadtrip;outdoors;southwest;america;sandstone;hiking;us;clouds;nikon;redrock;sky;rock;archesnp;travel;red
2,2,2,38.630314464427244,-109.59864066091122,6311,True,arch,4,hdr;lasalmountains;canon;sunset;hiking;redrock;arch;clouds;nikon;red;unitedstatesofamerica;southwest;outdoors;sky;mountains;archesnp;america;ut;delicatearch;view
3,3,3,38.670391189655156,-109.58762541896543,580,True,arch,10,nature;hdr;southwest;canon;sky;clouds;red;archesnp;nikon;arch;redrock;travel;outdoors;lasalmountains;unitedstatesofamerica;hiking;mountains;america;us;sandstone
4,4,4,38.719382760655996,-109.58850028852542,305,True,arch,12,canyonlands;delicatearch;balancedrock;navajo;bw;northwindow;signs;wildlife;august;window;parkavenue;bridge;portrait;calendar;southwindow;pinetreearcharches;favorites;bentelauvstad;imhaus;homepage
5,5,5,38.74296846188592,-109.56454065045185,1994,True,arch,6,hdr;unitedstatesofamerica;redrock;nikon;clouds;lasalmountains;sky;archesnp;red;southwest;mountains;sunset;arch;canon;sandstone;hiking;america;ut;redrocks;moabutah
6,6,6,38.70068919914379,-109.5663840391558,3269,True,arch,5,hdr;lasalmountains;unitedstatesofamerica;hiking;canon;redrock;outdoors;roadtrip;nikon;southwest;clouds;arch;america;archesnp;travel;sky;sunset;ut;sign;delicatearch
7,7,7,38.72469432318438,-109.56300510773,854,True,arch,8,hdr;nature;park;national;sunset;red;redrock;lasalmountains;sky;southwest;america;canon;us;ut;unitedstatesofamerica;outdoors;mountains;clouds;rock;hiking
8,8,8,38.71896850389609,-109.55392623896095,385,True,arch,11,hdr;nikon;canon;america;redrock;hiking;red;unitedstatesofamerica;southwest;archesnp;sky;sandstone;sunset;rock;arch;lasalmountains;clouds;grandcounty;photomatix;night
9,9,9,38.697479047499925,-109.55011808500021,800,True,arch,9,hdr;hiking;canon;lasalmountains;redrock;sky;southwest;nikon;red;clouds;ut;outdoors;arch;sunset;roadtrip;archesnp;square;tonemapped;sign;canyonlands
10,10,10,38.68720990950101,-109.53592700627682,9083,True,arch,2,hdr;lasalmountains;unitedstatesofamerica;mountains;hiking;canon;redrock;nikon;archesnp;outdoors;america;southwest;travel;roadtrip;clouds;sky;red;sunset;us;tonemapped
11,11,11,38.741399502468674,-109.50271283882486,7495,True,arch,3,hdr;lasalmountains;unitedstatesofamerica;canon;outdoors;redrock;mountains;archesnp;america;red;nikon;clouds;roadtrip;sky;travel;hiking;southwest;balancedrock;redstone;tonemapped
