,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank,top_tags
0,0,0,43.701816743119224,-102.57150149999944,218,True,badl,12,roadtrip;stars
1,1,1,43.872292775956275,-102.24387643169395,183,True,badl,16,landscape;dakota;nature;desert;geology;geotagged;sky;rock;grass;stars;natural;badland;buttes;america;night;sedimentary;milkyway;spires;animal;bighornsheep
2,2,2,43.88464911282062,-102.23901776923066,195,True,badl,15,dakota;nps;sd;badlandsnp;nationalparks;south;geotagged;united;states;nationalparkservice;snow;grasslands;storm;landscapes;iphonexs;fuji;signs;lumix;panasonic;fujifilm
3,3,3,43.86936599827754,-102.23379911455685,1161,True,badl,2,badlandsnp;roadtrip;travel;sky;hills;united;interior;canon;desert;states;city;rapid;nature;black;geotagged;clouds;west;rocks;grass;trip
4,4,4,43.86595083146064,-102.22713297752802,178,True,badl,17,landscape;national;dakota;park;roadtrip;nature;badlandsnp;sky;sd;road;america;clouds;summer;west;panorama;september;nationalparkservice;grass;natural;np
5,5,5,43.84303251959367,-102.19300593904164,689,True,badl,5,badlandsnp;geotagged;sky;desert;travel;canon;hills;interior;rapid;city;nature;scenic;black;rock;united;sunset;west;rocks;states;pinnacles
6,6,6,43.821959768166074,-102.1756494740487,289,True,badl,11,landscape;dakota;national;sky;nature;badlandsnp;park;south;desert;united;states;travel;geology;scenic;interior;sd;clouds;hills;sunset;summer
7,7,7,43.803788568720385,-102.13666008056872,211,True,badl,13,dakota;sky;sd;canon;united;states;geotagged;badlandsnp;travel;nationalparks;hills;desert;scenic;south;sunset;road;trip;rocks;rapid;nature
8,8,8,43.79562126055047,-102.06089189357763,545,True,badl,7,national;dakota;badlandsnp;sky;canon;scenic;geotagged;south;desert;clouds;united;states;nationalparks;sd;grass;black;rapid;nature;travel;scenery
9,9,9,43.78885796633667,-102.0329764594058,505,True,badl,8,nature;sky;hills;artistinresidence;geotagged;badlandsnp;canon;nationalparks;clouds;desert;grass;greatplains;outside;trip;scenery;west;travel;rock;city;black
10,10,10,43.771499831460645,-102.00455786017471,801,True,badl,4,badlandsnp;nationalparks;desert;united;states;nature;canon;geotagged;city;black;rapid;artistinresidence;outside;west;pinnacles;greatplains;nationalparkservice;rocks;unitedstatesofamerica;trip
11,11,11,43.75825342857135,-101.97425799047596,210,True,badl,14,nationalparks;wall;roadtrip;badlandsnp;artistinresidence;scenic;road;rapid;city;desert;geotagged;vacation;trip;united;summer;rocks;america;greatplains;outside;view
12,12,12,43.74875476098421,-101.94340043409521,569,True,badl,6,wall;nationalparks;roadtrip;national;dakota;badlandsnp;sd;sky;united;states;scenic;desert;canon;hills;travel;artistinresidence;abookmadeofsoil;rocks;city;rapid
13,13,13,43.75102495348843,-101.93035584566614,473,True,badl,9,wall;roadtrip;us;badlandsnp;dakota;nationalparks;desert;sd;artistinresidence;scenic;clouds;rocks;south;pinnacles;city;rapid;grass;road;trip;black
14,14,14,43.7621402774193,-101.92631664451568,1550,True,badl,1,wall;sky;badlandsnp;nps;desert;artistinresidence;abookmadeofsoil;united;scenic;nature;canon;clouds;road;west;httporebodycomwrit;states;america;black;grass;scenery
15,15,15,43.775416000000256,-101.92001499999974,300,True,badl,10,deer
16,16,16,43.78530889068098,-101.90074001523287,1116,True,badl,3,wall;nationalparks;badlandsnp;travel;hills;united;geotagged;trip;sunset;city;black;rapid;road;artistinresidence;abookmadeofsoil;scenic;states;south;nps;west
