,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank,top_tags
0,0,0,29.165943257320443,-103.61172096983034,1127,True,bibe,2,usa;chisosmountains;big;bend;travel;vacation;america;cactus;bigbendnp;chihuahuandesert;brewstercounty;westtexas;scenery;clouds;west;bird;chihuahuan;mountains;nikon;sky
1,1,1,29.13622141509428,-103.5204136320753,636,True,bibe,5,usa;chisosmountains;desert;landscape;travel;national;big;bend;vacation;america;chihuahuandesert;cactus;scenery;nationalparks;bigbendnp;fall;clouds;west;mountains;nikon
2,2,2,29.14997900000001,-103.48775458192085,177,True,bibe,14,america;chisosmountains;travel;vacation;cactus;nationalparks;westtexas;chihuahuandesert;bigbendnp;west;clouds;mountains;fall;nature;mountain;outdoors;hdr;sign;wildlife;nikon
3,3,3,29.214704371134022,-103.37718747079036,291,True,bibe,11,america;national;nps;big;bend;vacation;travel;brewstercounty;bigbendnp;scenery;nationalparkservice;westtexas;cactus;west;nature;chihuahuan;mountain;nikon;rio;grande
4,4,4,29.27937637499999,-103.37011025277799,360,True,bibe,9,chisosmountains;park;travel;vacation;america;big;bend;national;us;nationalparks;chihuahuandesert;westtexas;cactus;bigbendnp;brewstercounty;fall;clouds;hiking;mountain;nikon
5,5,5,29.278444520140084,-103.32547849562185,571,True,bibe,6,nps;travel;america;us;scenery;cactus;nationalparks;nationalparkservice;brewstercounty;fall;clouds;west;chihuahuan;mountain;flowers;rio;grande;bird;hdr;hiking
6,6,6,29.271326952036986,-103.30159301340828,1939,True,bibe,1,national;park;travel;vacation;america;nationalparks;brewstercounty;cactus;bigbendnp;chihuahuandesert;west;fall;clouds;chihuahuan;nature;hiking;nikon;hdr;rio;canyon
7,7,7,29.270728029574872,-103.27683271719042,541,True,bibe,8,national;park;travel;vacation;america;bigbendnp;nationalparks;cactus;chihuahuandesert;fall;west;clouds;bird;chihuahuan;nature;nikon;canyon;hdr;flowers;terlingua
8,8,8,29.328170035190592,-103.20594246627572,341,True,bibe,10,chisosmountains;travel;vacation;america;landscape;scenery;bigbendnp;cactus;chihuahuandesert;fall;west;clouds;mountains;chihuahuan;mountain;hiking;desertlandscape;colorefexpro;usbiospherereserve;canyon
9,9,9,29.39940146400001,-103.20268947599978,250,True,bibe,12,chisosmountains;travel;vacation;america;us;big;bend;national;cactus;bigbendnp;nationalparks;brewstercounty;fall;clouds;nikon;bird;hdr;sign;wildlife;hiking
10,10,10,29.272116251082316,-103.13608595238104,231,True,bibe,13,park;travel;vacation;america;chisosmountains;big;bend;national;nationalparks;bigbendnp;westtexas;brewstercounty;fall;west;chihuahuan;nikon;hiking;mountain;sign;flowers
11,11,11,29.178267028520516,-102.99761989661364,561,True,bibe,7,chisosmountains;landscape;park;travel;national;america;vacation;bigbendnp;chihuahuandesert;scenery;clouds;fall;west;mountains;nature;chihuahuan;mountain;nikon;bird;photostream
12,12,12,29.178309741791054,-102.95332204626831,670,True,bibe,3,chisosmountains;travel;america;usa;vacation;nationalparks;bigbendnp;cactus;fall;clouds;west;hiking;chihuahuan;nikon;nature;sky;flowers;photostream;canon;canyon
13,13,13,29.199229893583716,-102.91851600625994,639,True,bibe,4,chisosmountains;vacation;travel;america;bigbendnp;cactus;westtexas;chihuahuandesert;west;fall;mountain;bird;mountains;chihuahuan;hiking;hdr;outdoors;canon;terlingua;sky
