,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank,top_tags
0,0,0,25.46401260186913,-80.33398013271056,535,True,bisc,1,boating;species;us;atlanticocean;day;environment;fl;ocean;sunrise;xproii;landscape;trees;blue;bay;beach;water;photography;sky;nature;hudson
1,1,1,25.5061992,-80.3351934,10,True,bisc,13,
2,2,2,25.53387081481481,-80.31827356481485,108,True,bisc,3,us;miamidadecounty;clouds;sea;blue;bird;wildlife;trees;usa;landscape;bay;skyline;city;hdr;portrait;stone;rocks;birding;bw;awv
3,3,3,25.387228125,-80.283798875,8,True,bisc,16,
4,4,4,25.397308,-80.23454533333334,9,True,bisc,15,
5,5,5,25.448048230769228,-80.21200269230769,13,True,bisc,11,
6,6,6,25.46487004347825,-80.20820247826089,46,True,bisc,6,
7,7,7,25.66643836363636,-80.19904690909091,22,True,bisc,9,
8,8,8,25.45286656363638,-80.19488470909086,55,True,bisc,5,ocean;biscaynenationalpark;nature;water;atlanticocean;coast;shoreline;shore;sailing
9,9,9,25.486729763157893,-80.18851368421052,38,True,bisc,7,
10,10,10,25.651340144927534,-80.17323337681161,69,True,bisc,4,fieldscope;beach;landscape;day;environment;xproii;atlanticocean;nature;marina;wildlife;sea;travel;vacation;yellow;fall;sierra;miamidade;framed;landmarks;lifestyles
11,11,11,25.50514213333333,-80.18083659999998,15,True,bisc,10,
12,12,12,25.524574436619726,-80.1754055492958,142,True,bisc,2,us;nature;keybiscayne;atlanticocean;landscape;nikon;day;xproii;ocean;square;squareformat;iphoneography;instagramapp;boat;sunset;photography;hudson;mangroves;fl;marina
13,13,13,25.389175421052627,-80.16357926315794,38,True,bisc,8,
14,14,14,25.59034500000001,-80.161001,8,True,bisc,17,
15,15,15,25.366115000000004,-80.13768300000002,10,True,bisc,14,
16,16,16,25.590491499999995,-80.09693016666667,12,True,bisc,12,
