,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank,top_tags
0,0,0,38.56645748672565,-107.75090235398224,113,True,blca,9,river;co;blackcanyonofgunnison;gunnisonriver;cliff;deaftalent;deafoutsidetalent;deafoutdoortalent;hdr;overlook;black;national;geology;geotagged;lujane;roadtrip;southrim;nikon;landscapes;signs
1,1,1,38.562838230000025,-107.74348734999998,100,True,blca,11,river;nps;canyons;co;nationalparks;travel;landscape;summer;america;vacation;cliff;hdr;lujane;nationalparkservice;nikon;rockymountains;nature;outdoor;blackcanyonnationalpark;montrosecolorado
2,2,2,38.56904802597405,-107.73354816883123,154,True,blca,5,canyons;co;cliff;blackcanyonofgunnison;nationalparks;us;deaftalent;deafoutsidetalent;deafoutdoortalent;summer;america;lujane;rockymountains;rock;geology;hdr;geotagged;crawford;paintedwall;gorge
3,3,3,38.57474843703705,-107.72517728148134,135,True,blca,7,river;cliff;co;landscape;blackcanyonofgunnison;lujane;montrose;us;nikon;southrim;hdr;mountains;landscapes;clouds;nationalparkservice;sky;view;canon;autumn;westelkmountains
4,4,4,38.57706994696966,-107.72247224999991,132,True,blca,8,co;canyons;black;national;nationalparks;montrose;summer;vacation;america;southrim;blackcanyonofgunnison;landscapes;roadtrip;deaftalent;deafoutsidetalent;deafoutdoortalent;rocks;view;outdoors;outdoor
5,5,5,38.587154307692344,-107.7207782692308,52,True,blca,15,canyon;river;blackcanyonofthegunnisonnp;bird;peter
6,6,6,38.58108704826256,-107.71631204054032,518,True,blca,2,blackcanyonofgunnison;deafoutsidetalent;deafoutdoortalent;deaftalent;cliff;lujane;america;vacation;us;hdr;overlook;nikon;geotagged;blackcanyonofthegunnisonnp;stream;rockymountains;blackcanyonnp;view;mountains;trees
7,7,7,38.58776699999999,-107.71690200000009,112,True,blca,10,
8,8,8,38.58386425114156,-107.70998091780862,219,True,blca,4,unitedstates;montrose;us;nationalparkservice;nikon;rural;cliffs;rocks;blackcanyonofthegunnisonnp;geology;rock;montrosecolorado;crawford;blackcanyonnationalpark;rockformation;autumn;paintedwall;stream;overlook;gorge
9,9,9,38.573444090909106,-107.7050273636364,99,True,blca,12,river;gunnison;gunnisonriver;us;geology;black;national;paintedwall;rock;cliffs;mountains;rocks;blackcanyonofthegunnisonnp;clouds;water;trees;lichen;americanwest;coloradoriverbasin;scenicviews
10,10,10,38.57110976351346,-107.70199399324301,148,True,blca,6,nationalparks;travel;co;gunnisonriver;blackcanyonofgunnison;us;cliff;geology;deaftalent;deafoutsidetalent;deafoutdoortalent;geotagged;lujane;overlook;rockymountains;nikon;southrim;cliffs;paintedwall;mountains
11,11,11,38.54039300000001,-107.70112899999997,39,True,blca,17,
12,12,12,38.56525494117663,-107.69945201534522,391,True,blca,3,canyons;travel;nationalparks;summer;vacation;america;blackcanyonofgunnison;deaftalent;deafoutsidetalent;deafoutdoortalent;lujane;us;southrim;mountains;geotagged;hdr;paintedwall;blackcanyonofthegunnisonnp;landscapes;overlook
13,13,13,38.561405243902435,-107.68836792682924,41,True,blca,16,
14,14,14,38.55344565616047,-107.68657849188163,1047,True,blca,1,canyons;river;cliff;blackcanyonofgunnison;lujane;summer;america;deaftalent;deafoutsidetalent;deafoutdoortalent;mountains;hdr;paintedwall;overlook;blackcanyonofthegunnisonnp;nikon;geology;stream;geotagged;southrim
15,15,15,38.540089000000044,-107.68605800000016,74,True,blca,14,
16,16,16,38.561792255319155,-107.67783542553184,94,True,blca,13,co;landscape;geotagged;lujane;gorge;rural;nature;scenery;view;stream;steep;chasm;vista;rugged;scenic;rocky;sheer;lichens;sign;infrared
