,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank,top_tags
0,1,0,37.50689154501861,-112.261292213639,1877,True,brca,3,sunset;outdoors;clouds;hoodoos;geology;scenic;mountain;harryandrowenaphotos;usaselfdrive;sunrise;nature;wildlife;panorama;outside;view;square;photography;sign;southwest;nationalparks
1,2,1,37.531908615151636,-112.26025604040385,990,True,brca,5,sunset;outdoors;geology;photography;harryandrowenaphotos;usaselfdrive;tree;stone;canon;outside;sign;ut;clouds;mountain;beautiful;scenic;panorama;photo;wildlife;color
2,3,2,37.47530056601881,-112.2403035499316,2984,True,brca,2,outdoors;sunset;geology;clouds;harryandrowenaphotos;usaselfdrive;scenic;stone;erosion;wildlife;mountain;west;nationalparks;hoodoos;sign;canon;southwest;photography;road;sony
3,4,3,37.5447791586867,-112.24665717783842,731,True,brca,6,sunset;photography;outdoors;geology;scenic;sunrise;wildlife;parks;nationalparks;west;nature;rock;beautiful;photo;sign;southwest;view;harryandrowenaphotos;usaselfdrive;trip
4,5,4,37.563096077922076,-112.23982912987015,77,True,brca,10,ut;geology;hoodoos;cliffs;forest;snow;clouds;hoodoo;black;nationalparkservice;hiking;canon;square;brycenationalpark;sign;rock;scenic;america;stone;erosion
5,6,5,37.582756120879104,-112.2250685164835,91,True,brca,8,
6,7,6,37.5874309821882,-112.21327363104318,393,True,brca,7,sunset;mountain;clouds;west;geology;ut;nature;travel;sky;stone;panorama;scenic;parks;snow;nationalparks;beautiful;erosion;harryandrowenaphotos;usaselfdrive;wildlife
7,8,7,37.59863616666666,-112.20843966666668,18,True,brca,16,
8,9,8,37.62054622672904,-112.1639196438343,42716,True,brca,1,geology;sunset;mountain;trip;photography;sign;usaselfdrive;clouds;harryandrowenaphotos;wildlife;outside;photo;forest;stone;west;view;beautiful;black;mossycavetrail;road
9,10,9,37.58483063157895,-112.19566478947365,19,True,brca,14,
10,11,10,37.58296593181823,-112.19087081818195,88,True,brca,9,animal;paysage;brown;rocher;ciel;montagne
11,12,11,37.570464837837854,-112.18396740540535,37,True,brca,12,usa;nature;zionnationalpark;wather
12,13,12,37.56669545714284,-112.18323308571422,35,True,brca,13,
13,14,13,37.68271898275863,-112.12619150000003,58,True,brca,11,brycecanyon;outdoors;hoodoos;mountain;bw;black;portrait;white;arizona;grantmatticeimages;wasserfall;fun;joey;old;man;face;beard;redsandstone;mature;had
14,15,14,37.670386,-112.12767000000002,18,True,brca,15,
15,16,15,37.66524555113105,-112.11283266968306,1105,True,brca,4,sunset;photography;west;mountain;geology;forest;nationalparks;panorama;sign;harryandrowenaphotos;usaselfdrive;outside;stone;photo;wildlife;square;cliffs;geotagged;outdoors;canon
