,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank,top_tags
0,0,0,38.456308577669894,-110.20498616019418,206,True,cany,7,greenriver;landscape;us;travel;nature;blackandwhite;trail;wilderness;outdoor;panorama;red;tree;park;clouds;southwest;camping;sky;plant;southernutah;nikon
1,1,1,38.39166446788993,-110.0330320642202,109,True,cany,12,
2,2,2,38.366157896907225,-110.01348145360814,97,True,cany,13,
3,3,3,38.441310105633825,-110.01005770422537,142,True,cany,11,panorama;ut;arch;lizard;mesa;plant;milkyway;fall;stars;mountain;blackwhite;flowers;flower;night;moody;cliffsmith;macro;nightshoot;milkeyway;mtb
4,4,4,38.22956074742266,-109.99904016494841,194,True,cany,8,sandstone;unitedstates;usa;us;canyonlandsnp;clouds;erosion;rock;geology;hdr;bluesky;american;rockart;redrockcountry;fisheye;wideangle;scene;wwwjohngetchelcom;painting;native
5,5,5,38.15794283045972,-109.93974310057457,348,True,cany,6,sandstone;desert;canyon;nationalpark;snow;water;wilderness;canon;fuji;needles;maze;publiclandforpublicuse;needle;spire;mazedistrict;mounttukuhnikivatz;mountmellenthin;mountpeale;theneedlesdistrict;ridge
6,6,6,38.425905545695855,-109.92374019872477,1882,True,cany,4,greenriver;sandstone;blackandwhite;arch;canon;trail;erosion;canyon;outdoor;canyonlandsnp;southernutah;bw;scenic;lizard;lasalmountains;coloradoplateau;travel;nikon;panorama;snow
7,7,7,38.235400680851015,-109.91860231914913,188,True,cany,9,
8,8,8,38.35316770791505,-109.86563008070401,9665,True,cany,1,sandstone;greenriver;blackandwhite;wilderness;trail;hiking;lizard;camping;coloradoplateau;vacation;bw;erosion;fall;plant;canon;water;outdoor;travel;panorama;clouds
9,9,9,38.24191472320248,-109.87876762143897,737,True,cany,5,sandstone;desert;greenriver;canyon;arch;outdoor;vacation;red;trail;america;blackandwhite;travel;erosion;nationalpark;clouds;panorama;roadtrip;southernutah;butte;bw
10,10,10,38.14660866118976,-109.8106589948107,4625,True,cany,2,greenriver;sandstone;blackandwhite;islandinthesky;canon;wilderness;canyonlandsnp;clouds;canyon;red;vacation;erosion;fall;outdoor;bw;water;arch;lizard;lasalmountains;snow
11,11,11,38.45343929538701,-109.8133595807293,2688,True,cany,3,greenriver;sandstone;wilderness;hiking;blackandwhite;erosion;arch;lizard;water;southernutah;plant;butte;fall;trail;bw;camping;panorama;scenic;coloradoplateau;america
12,12,12,37.98554671584707,-109.74369909289587,183,True,cany,10,sandstone;unitedstates;nationalpark;desert;moab;travel;nature;red;vacation;rock;america;erosion;islandinthesky;arch;usa;landscape;us;butte;scenic;geology
