,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank,top_tags
0,0,0,38.48705278775504,-111.34370249999992,490,True,care,3,tree;us;clouds;storm;canyon;capitol;reef;day;road;nikon;erosion;outdoor;travel;light;trip;panorama;mountains;rock;clear;roadtrip
1,1,1,38.2741756865897,-111.23737637619232,11946,True,care,1,tree;clouds;storm;day;redrock;panorama;capitol;road;night;mountains;clear;redrocks;cloud;nabs;light;sunrise;snow;bw;winter;outdoor
2,2,2,38.378308436363625,-111.26212945454536,55,True,care,7,capitolreefnationalpark;tree;road;landscape;panorama;nature;bw;blackwhite;blackandwhite;dirtroad;vista;plant;cliff;trees;monochrome;rugged;arid;backroad;dry;texture
3,3,3,38.45002075000001,-111.19134980932208,236,True,care,4,us;clouds;capitol;reef;storm;day;mountains;park;road;panorama;nikon;trip;roadtrip;bw;national;erosion;redrocks;nabs;cloud;night
4,4,4,38.40309549549549,-111.20748588288292,111,True,care,6,capitol;reef;park;national;outdoor;netbros;internetbrothers;pano;south;reddesert;exhibition
5,5,5,38.10453968292683,-111.14036982926828,41,True,care,8,light;slotcanyon;painted;mud;chunkybar;shade;canyonshade;reflectedlight
6,6,6,38.064631233576726,-111.1535721751824,137,True,care,5,unitedstates;us;desert;capitol;reef;tree;storm;sandstone;redrock;america;day;night;nps;clear;canon;cloud;unitedstatesofamerica;sunrise;road;nature
7,7,7,38.181938227272724,-111.12533186363636,22,True,care,10,
8,8,8,37.8721964283186,-111.04160428495591,565,True,care,2,tree;clouds;capitol;storm;day;reef;redrock;panorama;mountains;clear;bw;roadtrip;winter;snow;night;erosion;cloud;nabs;light;canon
9,9,9,37.71787492,-110.93534952,25,True,care,9,capitolreef;tree;mountains;day;clear;wilderness;november;colorado;naturalarch;arches;sanrafaelreef;alcove;desertvarnish;gnats;jonmikelspictures;plat;hallscreektrail;desertshrubcommunity;amphibian;toad
