,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank,top_tags
0,0,0,32.12287957943925,-104.6014217009347,107,True,cave,7,john;sign;favorite;blackandwhite;barbara;jenn;raychinkpallan;raypallan;thechink;thechinkster
1,1,1,32.13233000000002,-104.585106,22,True,cave,10,
2,2,2,32.12457878260871,-104.57603695652172,23,True,cave,9,
3,3,3,32.13526500000029,-104.57020899999969,453,True,cave,3,
4,4,4,32.114005485875566,-104.56553721468956,354,True,cave,4,nationalpark;lizard;tree;eddycounty;canyon;cactus;bird;peaceonearthorg;convolvulus;convolvulusequitans;cholla;vireo;passerine;hike;permian;holocene;guano;excavation;section;christmas
5,5,5,32.14842653015868,-104.55684352380982,315,True,cave,5,nationalpark;carlsbadcavernsnationalpark;nps;travel;cactus;black;desert;guadalupemountains;landscape;blackandwhite;bw;cloud;birds;hole;unitedstatesofamerica;stalactite;chandelier;natural;scenic;nationalparks
6,6,6,32.13007700000001,-104.553873,16,True,cave,11,
7,7,7,32.17137068571429,-104.4986045357143,140,True,cave,6,travel;nps;vacation;nationalparks;lizard;cave;park;fall;america;worldheritagesite;carlsbadcavernsnp;nouveaumexique;canyons;squamata;reptile;verbenaceae;crotaphytidae;crotaphytus;crotaphytuscollaris;easterncollaredlizard
8,8,8,32.180150804878046,-104.46739456097563,41,True,cave,8,
9,9,9,32.11005932985389,-104.4696715762006,479,True,cave,2,newmexico;carlsbad;us;unitedstates;travel;bw;lizard;black;tree;old;trees;holiday;classic;clouds;vacances;travels;holidays;day;afternoon;random
10,10,10,32.17658857174538,-104.44088053850844,9025,True,cave,1,lizard;eddyco;wildflower;flower;carlsbadcavern;bw;black;tree;bird;rosids;cactus;blackandwhite;hdr;travel;canyon;yucca;columns;sheep;peaceonearthorg;barbara
