,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank,top_tags
0,0,0,34.032388851851856,-120.44100074074076,27,True,chis,13,
1,1,1,34.01952638709677,-120.39132122580645,31,True,chis,12,california;island;pacific;nationalpark;water;dorid;santabarbaracounty;rockfish;olympus;family;clownnudibranch;triophacatalinae;dslr;zuiko;zd;macro;inon;coldwater;anemone;cowrie
2,2,2,34.04901147674417,-120.3517137034885,172,True,chis,8,channelislandsnationalpark;ocean;santarosaisland;rock;pacific;ca;santabarbarachannel;clouds;fog;landscape;bird;square;squareformat;iphoneography;instagramapp;geocoded;black;west;seagull;purple
3,3,3,33.997844723478174,-120.03732843130423,575,True,chis,4,color;nationalpark;sea;pacific;rock;ventura;reef;sanmiguelisland;santabarbara;santacruzisland;water;channel;santabarbaracounty;clouds;anacapa;anacapaisland;underwater;underwaterphotography;marine;ca
4,4,4,34.07878375829386,-119.87842834597174,211,True,chis,7,island;nationalpark;rock;ca;islands;channel;film;nature;boat;analog;fog;nudibranch;seaslug;aeolid;sand;nikon;macro;inon;coldwater;santa
5,5,5,33.950105285714265,-119.82267805714292,35,True,chis,11,california;islands;santabarbarachannel;limaciamcdonaldi;mcdonaldsnudibranch;triophacatalanae;clowndorid;gullislands
6,6,6,34.02510364035101,-119.6958775582145,1254,True,chis,3,color;pacific;sea;rock;water;sanmiguelisland;chrisgrossman;clouds;reef;film;aeolid;islands;olympus;rocks;blue;channel;nature;nudibranch;seaslug;underwaterphotography
7,7,7,34.01819587681162,-119.77497647101437,138,True,chis,9,channel;park;fox;santa;national;cruz;californie;renard
8,8,8,33.98339552925532,-119.7189615904256,376,True,chis,5,island;nationalpark;chrisgrossman;film;aeolid;analog;dorid;square;squareformat;iphoneography;instagramapp;nikon;kelp;fox;sunset;blackandwhite;bw;black;peace;polyceraatra
9,9,9,34.043712574428824,-119.56312192704588,2714,True,chis,2,rock;clouds;film;chrisgrossman;analog;water;seascape;olympus;santabarbarachannel;rocks;kelp;fog;aeolid;blue;islands;boat;fish;photography;sand;rockfish
10,10,10,34.01351102215366,-119.3942117319998,3250,True,chis,1,island;rock;pacific;water;nationalpark;film;chrisgrossman;clouds;santabarbaracounty;analog;islands;seascape;channel;rocks;olympus;blue;santabarbarachannel;nature;ca;boat
11,11,11,34.248094401083996,-119.26690418428194,369,True,chis,6,ocean;color;sea;santacruzisland;pacific;rock;anacapa;anacapaisland;film;chrisgrossman;islands;channel;seascape;analog;blue;santabarbarachannel;fish;clouds;rocks;fog
12,12,12,33.474264719999994,-119.03942185333337,75,True,chis,10,ocean;color;nationalpark;reef;santabarbara;pacific;water;rock;marine;underwaterphotography;clouds;blue;seascape;analog;olympus;park;fish;chrisgrossman;channel;dslr
