,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank,top_tags
0,1,0,33.82477946511641,-80.8228349518842,1247,True,cong,1,canoe;bark;cedarcreek;moss;usc;flora;hdr;bottomland;cypressknees;fall;autumn;dark;cedar;roja;xylem;phloem;mosquitometer;river;tupelo;shadow
1,2,1,33.8049606,-80.8103512,5,True,cong,12,
2,3,2,33.799119000000005,-80.79242799999999,15,True,cong,4,
3,4,3,33.810418,-80.78775925,4,True,cong,13,
4,5,4,33.818592833333334,-80.78780133333333,6,True,cong,9,
5,6,5,33.79612283333333,-80.78567783333334,6,True,cong,10,
6,7,6,33.81137456521739,-80.78172895652173,23,True,cong,3,tree;water;bottomland;usc;bark;moss;wet;quiet;flowers;spring;red;roja;panoramio;earlyspring;maple;cold;winter;branch;sapindaceae;acer
7,8,7,33.796579,-80.77686100000003,12,True,cong,6,
8,9,8,33.788341,-80.776628,15,True,cong,5,
9,10,9,33.80049899999997,-80.77490200000008,40,True,cong,2,
10,11,10,33.808833285714286,-80.76142671428572,7,True,cong,8,
11,12,11,33.805601,-80.730961,6,True,cong,11,
12,13,12,33.753759,-80.64471200000001,9,True,cong,7,
