,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank,top_tags
0,0,0,42.94534017803251,-122.16982394508123,1657,True,crla,2,sky;september;nikon;nationalparks;landscape;mountains;trees;mountain;cascades;clouds;mountmazama;klamathcounty;parks;landscapes;forest;rimvillage;plants;tree;geotagged;nps
1,1,1,42.93328786147194,-122.16956549783569,231,True,crla,13,volcano;vacation;mountains;sky;nikon;nationalparks;usa;trees;september;summer;cascades;us;mountain;clouds;mountmazama;snow;landscapes;klamath;rimvillage;plants
2,2,2,42.92021015834617,-122.16223075741031,1282,True,crla,3,vacation;sky;nikon;mountain;mountains;trees;nationalparks;cascades;us;landscape;september;clouds;mountmazama;forest;or;caldera;craterlakenp;national;klamath;northamerica
3,3,3,42.964272261524904,-122.15260813120591,1128,True,crla,4,sky;nikon;trees;nationalparks;mountains;mountmazama;clouds;mountain;water;landscape;september;craterlakenp;forest;landscapes;rimvillage;cascades;geotagged;plants;snow;klamathcounty
4,4,4,42.91159028268415,-122.14500286493859,4857,True,crla,1,september;nikon;travel;mountain;nationalparks;cascades;mountains;landscape;us;mountmazama;landscapes;craterlakenp;nps;geotagged;plants;summer;parks;northamerica;panorama;klamathcounty
5,5,5,42.91646063583822,-122.14977572254372,173,True,crla,17,
6,6,6,42.8966235031447,-122.13411708176106,159,True,crla,19,vacation;volcano;nikon;september;sky;summer;cascades;park;nationalparks;national;mountmazama;clouds;blue;america;nps;hiking;forest;klamath;tree;klamathcounty
7,7,7,42.89286065782507,-122.13069258090248,377,True,crla,7,nationalpark;usa;september;snow;tree;trail;animal;tourist;www;conifer;woods;stream;flowers;branches;butterfly;insect;wildflower;flora;valerian;hiker
8,8,8,42.92830275949352,-122.12799819409278,237,True,crla,12,volcano;craterlakenationalpark;vacation;sky;water;landscape;mountain;nikon;trees;island;caldera;panorama;mazama;day;clear;outdoors;flower;outdoor;morning;craterlakelodge
9,9,9,42.97996240225564,-122.11468350751888,266,True,crla,11,vacation;volcano;sky;travel;nikon;mountains;mountain;september;trees;water;us;nationalparks;landscape;cascades;clouds;landscapes;caldera;forest;island;geotagged
10,10,10,42.8843054086021,-122.09952124193545,186,True,crla,16,vacation;volcano;sky;mountain;mountains;clouds;trees;nikon;nationalparks;september;snow;us;mountmazama;cascades;summer;landscapes;rimvillage;nps;tree;plants
11,11,11,42.90215552014654,-122.096669820513,273,True,crla,10,vacation;travel;sky;september;nikon;trees;mountain;summer;mountains;clouds;nature;snow;caldera;landscapes;geotagged;rimvillage;craterlakenp;plants;tree;parks
12,12,12,42.97751926276472,-122.08716171232919,803,True,crla,5,vacation;sky;travel;september;nikon;mountain;clouds;nationalparks;summer;landscape;nature;island;us;snow;landscapes;craterlakenp;klamathcounty;pacificnorthwest;tree;panorama
13,13,13,42.91419728978617,-122.07142565558192,421,True,crla,6,vacation;sky;nikon;nationalparks;september;clouds;mountains;mountain;landscapes;snow;craterlakenp;plants;america;klamathcounty;national;panorama;rimvillage;parks;nps;cascades
14,14,14,42.927529150602396,-122.05583796987949,166,True,crla,18,volcano;sky;mountain;mountains;september;nikon;trees;snow;island;mountmazama;blue;or;panorama;plants;national;caldera;rimvillage;klamathcounty;landscapes;craterlakenp
15,15,15,42.935049257894725,-122.04878150526335,190,True,crla,14,vacation;trees;september;sky;landscape;mountains;park;nature;us;clouds;water;landscapes;craterlakenp;island;national;parks;blue;or;forest;panorama
16,16,16,42.94871546560843,-122.0487865873017,189,True,crla,15,vacation;unitedstates;nikon;nationalparks;us;summer;clouds;panorama;or;pacificnorthwest;landscapes;northamerica;roadtrip;wizardisland;parks;cliff;day;photo;plants;places
17,17,17,42.92194190145981,-122.01755269708056,274,True,crla,9,vacation;sky;mountains;us;travel;nationalparks;nikon;national;park;clouds;water;september;mountain;nature;forest;blue;mountmazama;summer;or;tree
18,18,18,42.85001371076925,-122.00581073846149,325,True,crla,8,volcano;sky;september;nationalparks;landscape;mountain;mountains;nikon;trees;clouds;cascades;northamerica;mountmazama;landscapes;nps;forest;or;craterlakenp;plants;tree
