,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank,top_tags
0,0,0,41.3930253121693,-81.6304905238096,189,True,cuva,13,us;nikon;fall;oh;park;cvnp;trees;green;cuyahogavalley;nationalpark;geotagged;akron;color;people;iphone;amaro;nationalparkservice;nps;path;history
1,1,1,41.3185377919999,-81.61723479999998,250,True,cuva,11,cuyahogavalleynationalpark;fall;trees;autumn;green;cvnp;landscape;cuyahogavalley;bridge;parks;leaves;outside;forest;family;iphone;creek;robvaughnphoto;amaro;photography;film
2,2,2,41.372998999999965,-81.61399513775491,196,True,cuva,12,cleveland;nikon;fall;square;squareformat;iphoneography;instagramapp;park;trees;snow;autumn;outdoors;akron;landscape;parks;cvnp;people;river;valley;trail
3,3,3,41.19400958942165,-81.58454276669292,3819,True,cuva,1,cleveland;nikon;oh;square;squareformat;iphoneography;instagramapp;park;fall;cuyahoga;trees;outdoors;nature;snow;outside;green;people;summer;travel;geotagged
4,4,4,41.175050399999826,-81.59129494117616,170,True,cuva,15,cuyahogavalleynationalpark;square;squareformat;iphoneography;instagramapp;nature;cvnp;nationalpark;summitcounty;northeastohio;sierra;texture;fungus;closeup;quote;ford;farm;thanksgiving;turkey;pickup
5,5,5,41.320015361333354,-81.58794133200024,750,True,cuva,6,us;cleveland;nikon;square;squareformat;iphoneography;instagramapp;oh;outdoors;green;akron;nature;nps;clouds;people;parks;outside;snow;nationalparkservice;canon
6,6,6,41.35751103207004,-81.58109699125356,343,True,cuva,10,night;camera;grandma;music;car;iron;moon;photographer;entrance;veil;mirror;table;bottle;bell;dance;automobile;choirrobe;gazebo;piano;gailwilliamson
7,7,7,41.26694172644388,-81.56589735562272,1645,True,cuva,3,us;nikon;fall;square;squareformat;iphoneography;instagramapp;park;trees;akron;nature;green;outdoors;outside;geotagged;summer;people;clouds;snow;travel
8,8,8,41.373397338709715,-81.57619226612904,124,True,cuva,17,fall;trees;nature;outdoors;autumn;snow;parks;clouds;outside;blackandwhite;sky;sony;explore;bedford;reservation;trix;grave;exploration;lonelytree;december
9,9,9,41.19059353288599,-81.56120583758396,745,True,cuva,7,us;unitedstates;cuyahogavalleynationalpark;fall;square;squareformat;iphoneography;instagramapp;oh;clouds;people;summer;sky;bw;family;architecture;flowers;xproii;road;blackwhite
10,10,10,41.24023461357939,-81.55002929253978,1193,True,cuva,4,us;cleveland;nikon;squareformat;iphoneography;instagramapp;square;fall;oh;park;outdoors;trees;nature;outside;green;landscape;clouds;summer;people;leaves
11,11,11,41.37287142245991,-81.54973574331542,187,True,cuva,14,us;nikon;unitedstates;cuyahoga;cvnp;snow;outdoors;akron;trees;green;summer;clouds;nps;winter;bridge;parks;cuyahogavalley;travel;iphone;hike
12,12,12,41.18086895683465,-81.55104573381297,139,True,cuva,16,nikon;nature;iphone;afternoon;snapseed;concert;evening;jazz;pureshot;phish;mike;concerts;morgan;sarahsvineyard;olloclip;pixlrexpress;mextures;andrewbayliss;jamieholm;bodypaint
13,13,13,41.27708456499485,-81.5398118968073,1754,True,cuva,2,us;cleveland;nikon;iphoneography;instagramapp;square;squareformat;outdoors;akron;green;outside;people;snow;summer;bridge;architecture;metroparks;parks;bw;blackandwhite
14,14,14,41.38426932790682,-81.53321675348882,430,True,cuva,8,us;cuyahogavalleynationalpark;square;squareformat;iphoneography;instagramapp;cuyahoga;fall;trees;akron;outdoors;green;bridge;snow;travel;valley;hike;nationalparkservice;amaro;landscape
15,15,15,41.21908726162786,-81.52717418604647,344,True,cuva,9,cleveland;us;cuyahoga;nikon;park;fall;instagramapp;square;squareformat;iphoneography;snow;unitedstates;akron;green;outdoors;cuyahogavalley;people;water;clouds;valley
16,16,16,41.22492322715619,-81.5116964884716,1171,True,cuva,5,cleveland;nikon;square;squareformat;iphoneography;instagramapp;cuyahoga;outdoors;outside;green;snow;summer;water;clouds;bridge;travel;parks;people;iphone;family
