,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank,top_tags
0,0,0,63.743800991004065,-151.59439858920553,667,True,dena,3,vacation;cruise;birds;sign;favorite;baldeagle;princesscruises;best;sue;raw
1,1,1,63.07837328813557,-151.0539445508475,118,True,dena,17,
2,2,2,63.06949213924086,-151.00706071518962,316,True,dena,8,denalinationalpark;usa;travel;outdoors;clouds;nationalpark;vacation;geotagged;day;canon;grizzly;bear;alaskarange;mountainside;fall;glacier;mountmckinley;tour;sky;snow
3,3,3,63.525096830508645,-150.95990171186457,118,True,dena,16,wildlife;landscape;national;us;canon;nikon;moose;water;iphone;hdr;denalinp;family;wwwzivkovcom;places;airplane;parks;bushpilot;baby;airport;airstrip
4,4,4,63.45370768794322,-150.8614573475178,141,True,dena,13,travel;us;wildlife;caribou;national;denalinationalparkandpreserve;mtmckinley;bus;urlaub;grizzly;denalinationalparkpreserve;snowcapped;colorefexpro;cloudsabove;blueskies;mountmckinley;wonderlakeshuttleride;hiking;me;people
5,5,5,63.64099911730165,-150.84599388269862,341,True,dena,7,mountains;clouds;mountain;caribou;mtmckinley;road;bear;moose;wild;sky;hdr;grizzlybear;tree;animals;brownbear;ursusarctos;sheep;antlers;grass;mushrooms
6,6,6,62.9676390283688,-150.7470363049647,141,True,dena,14,denalinationalpark;nature;unitedstates;clouds;snow;ak;mtmckinley;ice;airplane;fog;view;mist;taxi;air;by;photostream;damian;floring
7,7,7,63.32934099999989,-150.48104780000003,135,True,dena,15,
8,8,8,63.43092508035716,-150.31374644791663,672,True,dena,2,wildlife;travel;caribou;mountain;clouds;geotagged;national;outdoors;day;grizzly;trees;canon;cloudy;denalinationalparkandpreserv;bus;bear;vereinigtestaaten;alaskarange;green;mountainside
9,9,9,63.45714025471693,-150.2278450424528,212,True,dena,11,clouds;travel;cloudy;day;nikon;glacier;canon;bus;denalistatepark;urlaub;mountain;snow;national;mountainside;eosrebel;geotagged;denalinationalparkandpreserv;panorama;sunny;hdr
10,10,10,63.521345840294934,-150.04218293611802,407,True,dena,5,wildlife;denalinationalparkandpreserve;geotagged;clouds;nikon;cloudy;mtmckinley;mountain;travel;vereinigtestaaten;alaskarange;moose;glacier;canon;bear;caribou;bus;grizzly;mountainside;green
11,11,11,63.53578297074007,-149.82533105507758,581,True,dena,4,clouds;wildlife;trees;day;grizzly;denalinationalparkandpreserv;national;mtmckinley;nikon;glacier;bus;green;outdoors;alaskarange;mountmckinley;road;moose;travel;cloudy;denalistatepark
12,12,12,63.654394884615385,-149.56801206410256,156,True,dena,12,clouds;wildlife;mountain;travel;caribou;park;outdoors;day;cloudy;geotagged;denalinationalparkandpreserve;vacation;mountmckinley;alaskarange;denalistatepark;bus;summer;unitedstatesofamerica;water;vereinigtestaaten
13,13,13,63.73976987771729,-149.2930830353261,368,True,dena,6,geotagged;clouds;cloudy;denalistatepark;denalinationalparkandpreserv;denalinationalparkandpreserve;bus;grizzly;day;vereinigtestaaten;mountainside;mountmckinley;outside;northamerica;vacation;glacier;caribou;eosrebel;national;trees
14,14,14,63.72000342358061,-148.9675921441045,229,True,dena,10,nationalpark;travel;caribou;grizzly;denalistatepark;urlaub;vereinigtestaaten;healy;trees;cloudsabove;animals;autostitch;west;nikon;moose;denalipark;nationalparkservice;denalinationalparkpreserve;blueskies;flowers
15,15,15,63.73544203153731,-148.90558380748982,1522,True,dena,1,clouds;day;glacier;caribou;nationalpark;grizzly;outdoors;mtmckinley;travel;snow;road;eosrebel;trip;mountmckinley;bear;northamerica;geotagged;green;healy;denalistatepark
16,16,16,63.65564443589747,-148.83274146153832,273,True,dena,9,mountains;clouds;wildlife;nationalpark;national;outdoors;cloudy;mountain;bear;trees;sky;wilderness;green;outside;fall;blue;sunset;lake;water;river
