,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank,top_tags
0,0,0,37.10402579186221,-117.67312155086078,639,True,deva,14,nature;nationalpark;usa;geotagged;inyocounty;sign;dry;clouds;canon;square;iphoneography;nevada;panorama;blue;dvnp;us;unitedstatesofamerica;mojavedesert;night;roadtrip
1,1,1,36.35469771740538,-117.54689012973705,1557,True,deva,7,sky;geotagged;landscape;nationalpark;mountains;inyocounty;nature;dvnp;sign;blue;trip;square;iphoneography;dry;clouds;travel;panorama;nevada;ca;national
2,2,2,36.676404582969475,-117.56379843740828,1374,True,deva,8,nature;mountains;sky;geotagged;inyocounty;sign;square;iphoneography;nevada;dvnp;blue;trip;panorama;ca;national;park;clouds;dry;travel;canon
3,3,3,36.338949576687156,-117.4642288527605,489,True,deva,16,nature;nationalpark;mountains;inyocounty;sky;clouds;blue;panorama;trip;sign;dvnp;travel;nevada;canon;deathvalleynp;mountain;unitedstatesofamerica;sand;nps;film
4,4,4,37.009779500467744,-117.45394723573442,1069,True,deva,11,inyocounty;mountains;sky;nature;square;iphoneography;canon;dry;dvnp;blue;sign;trip;us;ca;panorama;nevada;clouds;travel;film;hot
5,5,5,36.34061710301508,-117.40584170100507,398,True,deva,18,sky;nature;inyocounty;square;clouds;nevada;trip;iphoneography;travel;sign;panorama;national;canon;dry;dvnp;bw;nps;deathvalleynp;film;mountain
6,6,6,37.032438180104855,-117.34136141756784,2493,True,deva,6,sky;inyocounty;nature;landscape;geotagged;mountains;clouds;square;iphoneography;dry;sign;blue;panorama;canon;trip;us;dvnp;nevada;ca;travel
7,7,7,36.38624658004632,-117.15504890951232,431,True,deva,17,sky;mountains;nature;valley;nationalpark;death;unitedstates;geotagged;blue;panorama;canon;travel;ca;sign;trip;dry;clouds;sand;bw;mountain
8,8,8,36.61043514652848,-117.11682263831543,6149,True,deva,2,mountains;sky;geotagged;inyocounty;sign;panorama;blue;dry;dvnp;iphoneography;square;trip;canon;nevada;clouds;travel;national;film;night;deathvalleynp
9,9,9,36.56860445352566,-117.14128352804502,1248,True,deva,9,nature;landscape;nationalpark;mountains;usa;sky;geotagged;canon;trip;clouds;blue;nevada;panorama;square;iphoneography;dvnp;dry;travel;ca;us
10,10,10,36.24692962622307,-117.07626806262213,511,True,deva,15,landscape;nature;mountains;sky;inyocounty;panorama;blue;sign;square;iphoneography;nevada;trip;travel;canon;dry;ca;mountain;night;squareformat;instagramapp
11,11,11,36.59136163024272,-116.99348179580565,906,True,deva,12,nature;death;valley;mountains;sky;inyocounty;geotagged;blue;iphoneography;square;dry;trip;dvnp;sign;us;nevada;clouds;park;travel;film
12,12,12,36.43352745908645,-116.83605646328172,15496,True,deva,1,mountains;sky;geotagged;inyocounty;nature;dry;blue;sign;dvnp;panorama;trip;nevada;iphoneography;square;clouds;canon;ca;travel;night;bw
13,13,13,36.35154320990268,-116.80228262412805,2868,True,deva,4,sky;nature;mountains;inyocounty;geotagged;trip;sign;nevada;blue;dry;iphoneography;square;dvnp;panorama;canon;clouds;night;film;bw;sand
14,14,14,36.28822785436898,-116.82464284951486,1236,True,deva,10,sky;inyocounty;dvnp;square;iphoneography;sign;dry;blue;clouds;nevada;trip;panorama;canon;night;squareformat;instagramapp;film;sunset;nikon;bw
15,15,15,36.23057270087647,-116.77043299045827,5135,True,deva,3,mountains;nature;sky;geotagged;inyocounty;dvnp;iphoneography;square;blue;panorama;trip;dry;sign;nevada;clouds;canon;ca;film;night;bw
16,16,16,36.28336664492749,-116.76689345942032,690,True,deva,13,mountains;sky;valley;death;inyocounty;dry;square;iphoneography;nevada;panorama;clouds;blue;sign;ca;trip;national;bw;night;unitedstatesofamerica;squareformat
17,17,17,36.220279903214006,-116.72703147838914,2707,True,deva,5,sky;mountains;nature;inyocounty;geotagged;sign;blue;trip;dvnp;square;iphoneography;dry;nevada;clouds;panorama;bw;night;sand;film;unitedstatesofamerica
