,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank,top_tags
0,0,0,24.6242807,-82.94293900000002,10,True,drto,5,
1,1,1,24.676426999999997,-82.92353699999998,28,True,drto,4,
2,2,2,24.63248661842107,-82.92100186842104,76,True,drto,2,fl;fish;landscape;blue;shadow;palm;fun;color;yellow;unitedstates;sunset;pelican;geotagged;water;coral;clouds;light;dock;loggerheadkeylighthouse;aerialphotography
3,3,3,24.632038,-82.897339,6,True,drto,9,
4,4,4,24.669481,-82.891846,10,True,drto,6,
5,5,5,24.628019050505127,-82.87270600704089,3267,True,drto,1,beach;shadow;loggerheadkey;paradise;palm;bird;yellow;sunset;color;clouds;pelican;light;fun;geotagged;sky;fish;boat;blue;nature;sea
6,6,6,24.641936,-82.855271,5,True,drto,10,
7,7,7,24.646901500000002,-82.84832412499998,8,True,drto,7,
8,8,8,24.627854,-82.832493,8,True,drto,8,
9,9,9,24.63522062500001,-82.79395212499995,32,True,drto,3,beach;fish;birds;bird;fun;boat;palm;shadow;clouds;pelican;floridakeys;fl;photoshop;trees;loggerhead;serene;fortjeffersonnationalpark;waves;explore;old
