,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank,top_tags
0,0,0,25.81078217507419,-81.3627113827892,337,True,ever,12,america;fl;alligator;animal;bird;nature;nikon;southflorida;sky;sign;birds;landscape;floride;clouds;tree;nationalparks;ocean;oiseau;fish;orange
1,1,1,25.331110086834737,-80.99910172881275,55867,True,ever,1,usa;everglades;alligator;america;us;miami;bird;animal;homestead;vacation;reptile;wild;united;states;plants;tree;birds;wildlife;winter;flickr
2,2,2,25.140767981539675,-80.92896137509797,2546,True,ever,4,america;alligator;animal;fl;miami;water;swamp;landscape;nikon;sign;reptile;sky;vacation;united;states;plants;gator;southflorida;ocean;canon
3,3,3,25.186628321100912,-80.89380843119245,218,True,ever,16,animal;america;alligator;fl;miami;nikon;landscape;unitedstatesofamerica;park;water;sky;southflorida;reptile;swamp;vacation;clouds;plants;wild;trees;animals
4,4,4,25.21352700980391,-80.8509273872549,204,True,ever,17,nature;fl;alligator;animal;nikon;bird;landscape;swamp;wildlife;canon;vacation;sign;plants;tree;white;sony;findyourpark;trees;united;states
5,5,5,25.323064118518538,-80.83298722962961,405,True,ever,10,animal;america;water;miami;nikon;birds;sky;vacation;southflorida;sign;landscape;swamp;reptile;floride;united;states;gator;canon;white;flickr
6,6,6,25.253920994117646,-80.7978724058823,170,True,ever,18,america;nature;nikon;miami;animal;water;landscape;nationalpark;clouds;sky;reptile;southflorida;floride;reflection;green;snake;nps;wild;ocean;white
7,7,7,25.441222489465137,-80.78361714262563,617,True,ever,8,alligator;animal;america;nature;water;miami;vacation;reptile;canon;sign;wildlife;sky;plants;birds;southflorida;winter;gator;green;white;national
8,8,8,25.755788909396127,-80.76702735421394,2682,True,ever,3,america;nikon;park;homestead;swamp;sign;vacation;water;sky;canon;landscape;united;states;clouds;wild;tree;plants;national;floride;snake
9,9,9,25.65746178468904,-80.76618708373235,836,True,ever,7,animal;nature;us;nikon;america;water;miami;landscape;canon;sign;reptile;plants;clouds;tree;swamp;birds;sky;united;states;ocean
10,10,10,25.57260833482152,-80.7026083214287,224,True,ever,15,animal;miami;wild;sign;flickr;eyes;swimming;family;funny;donot;drooling;bask;barbara;oma;thermometer;angus;hannah
11,11,11,25.36983441605841,-80.68482550000013,274,True,ever,13,usa;fl;nationalpark;sign;nationalparks;floridaeverglades;iphone;insect;bw;dragonfly;hdr;commercialphotography;naturephotographer;michaelpancierphotography;landscapephotographer;fineartphotographer;michaelapancier;wwwmichaelpancierphotographycom;keylargodiverflickrcom;awv
12,12,12,25.399680918719223,-80.65816285468013,406,True,ever,9,america;bird;alligator;animal;nikon;fl;water;sign;sky;vacation;reptile;swamp;unitedstatesofamerica;ocean;gator;landscape;wild;southflorida;canon;birds
13,13,13,25.76010159923681,-80.62626731774753,1048,True,ever,6,animal;us;nature;bird;fl;nikon;america;nationalpark;water;landscape;unitedstatesofamerica;wildlife;canon;sky;swamp;wild;united;states;tree;plants
14,14,14,25.38240236083929,-80.60761652517505,5720,True,ever,2,america;miami;landscape;water;nikon;sky;vacation;sign;ocean;canon;clouds;plants;swamp;united;states;reptile;unitedstatesofamerica;floride;snake;gator
15,15,15,25.395285385444748,-80.58346036657674,371,True,ever,11,america;bird;water;nikon;swamp;sign;unitedstatesofamerica;reptile;northamerica;plants;gator;wild;tree;united;states;vacation;animals;snake;sony;nationalparks
16,16,16,25.75977420320392,-80.58039790640801,1186,True,ever,5,us;animal;america;bird;water;unitedstates;evergladesnationalpark;unitedstatesofamerica;sign;southflorida;reptile;northamerica;national;canon;wild;united;states;floride;gator;vacation
17,17,17,25.760666943181814,-80.56118081818177,264,True,ever,14,nature;bird;nikon;birds;united;states;clouds;wildlife;northamerica;wetlands;snake;evergladesnp;reflection;ocean;day;insect;blue;heron;dragonfly;bw
