,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank,top_tags
0,1,0,67.72583299999998,-155.9386669999999,10,True,gaar,11,
1,2,1,66.87520038410592,-155.6660285298011,151,True,gaar,3,
2,3,2,67.78613953846154,-154.92162372727276,143,True,gaar,4,
3,4,3,68.23736174647883,-154.6298147464789,71,True,gaar,7,
4,5,4,67.06952779999999,-154.3072786,15,True,gaar,9,
5,6,5,67.89745543,-154.01076573999995,100,True,gaar,5,
6,7,6,67.44724588834953,-154.05298315048543,206,True,gaar,2,mushrooms
7,8,7,68.25845699999999,-153.6724780526316,19,True,gaar,8,
8,9,8,68.10520607692307,-153.03604615384614,13,True,gaar,10,
9,10,9,68.16892328124999,-151.9542581875001,96,True,gaar,6,gatesofthearctic;preserve;gateway;travel;mountain;hiking;eskimo;inupiat;nunamiut;rangerstation
10,11,10,68.2105931018182,-150.3485426,275,True,gaar,1,alaska;unitedstates;gatesofthearcticnationalparkandpreserve;northslopebrooksrangealaska
