,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank,top_tags
0,0,0,48.93552758490568,-114.34799541509436,53,True,glac,11,hiking;mountain;backpacking;cloudy;panorama;sunset;day;scenic;backcountry;blackwhite;ridge;rocks;flatheadnationalforest;northwestmontana;peak;canoe;nationalparks;geotagged;boundary;parke
1,1,1,48.805433915492976,-114.30597818309856,71,True,glac,9,hiking;westglacier;national;park;flowers;plants;us;panorama;glaciernp;landscape;water;flathead;gnp;sunset;worldheritagesite;green;trip;glacierpark;lakes;colorefexpro
2,2,2,48.97714757894736,-114.23412907894732,38,True,glac,13,
3,3,3,48.83027314496312,-114.2006167714987,407,True,glac,4,trees;usa;travel;flowers;backpacking;forest;autumn;summer;cloudy;wilderness;panorama;worldheritagesite;us;tree;crownofthecontinent;wildlife;backcountry;fall;glacierpark;flathead
4,4,4,48.8866434444445,-114.16461153086424,81,True,glac,8,trees;usa;autumn;glaciernp;wildlife;travel;clouds;backpacking;landscape;summer;hike;water;panorama;sunset;animal;color;peak;continentaldivide;rockies;fall
5,5,5,48.96829923381299,-114.09696078417272,278,True,glac,6,nature;mountain;hiking;glacier;mountains;park;national;crownofthecontinent;lake;sunset;backpacking;wilderness;beautiful;campground;waterfall;glaciers;backcountry;kintla;canada;waterton
6,6,6,48.619260175438576,-114.12894154385971,57,True,glac,10,mountain;westglacier;lake;water;worldheritagesite;autumn;mt;sunrise;colorefexpro;mountainsoffindistance;outdoors;september;gnp;peacepark;watertonglacierinternational;river;portfolio;polebridge;livingstonrange;green
7,7,7,48.82559991176472,-114.13962747058822,34,True,glac,14,
8,8,8,48.50910882608697,-114.13042152173912,23,True,glac,16,
9,9,9,48.71268253684956,-113.72906504790764,38657,True,glac,1,trees;plants;flowers;travel;autumn;crownofthecontinent;mountainsoffindistance;backcountry;worldheritagesite;wilderness;clouds;cloudy;backpacking;camping;animals;september;insects;flathead;colorefexpro;flatheadriver
10,10,10,48.96533048692817,-113.89391771568644,306,True,glac,5,hiking;mountain;national;glacier;usa;clouds;park;summer;landscape;backpacking;camping;tree;trail;outdoors;cloudy;day;nikon;scenic;hike;lakes
11,11,11,48.48798939999999,-113.85154590000002,10,True,glac,19,
12,12,12,48.42021237500003,-113.74447787499996,48,True,glac,12,
13,13,13,48.30022981226759,-113.43827746282507,538,True,glac,3,hiking;trees;water;summer;lake;clouds;usa;glaciernp;crownofthecontinent;worldheritagesite;landscape;panorama;cloudy;vacation;september;tree;us;travel;forest;trail
14,14,14,48.487881587882825,-113.38967080492745,3004,True,glac,2,trees;westglacier;clouds;crownofthecontinent;worldheritagesite;vacation;summer;plants;travel;autumn;mountainsoffindistance;forest;backcountry;sunset;colorefexpro;wildlife;flowers;wilderness;tree;cloudy
15,15,15,48.33052199999998,-113.51776100000004,24,True,glac,15,
16,16,16,48.30868299999999,-113.48575200000003,16,True,glac,18,
17,17,17,48.382084333333346,-113.38420500000001,18,True,glac,17,
18,18,18,48.39499282727271,-113.33827339090902,110,True,glac,7,trees;cloudy;day;animals;birds;mountrockwell;mountgrant;grizzly;splitmountain;redskymountain;mountbaptiste;unawahmountain;cloudcroftpeaks;mountdoody;goingtothesunmountain;littlechiefmountain;eagleheadmountain;churchbutte;mountsaintnicholas;matahpipeak
