,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank,top_tags
0,0,0,58.66538971428571,-137.4761209206349,63,True,glba,15,
1,1,1,58.85307982446814,-137.10464565425536,188,True,glba,6,glacierbaynationalparkandpreserve;mountains;usa;seal;panorama;water;ak;people;bluesky;northamerica;canon;nationalpark;fog;baranofwind;birds;alaskacruise;beach;nikon;hollandamerica;johns
2,2,2,59.03607040014467,-137.0342667018813,2764,True,glba,1,geotagged;kayak;cloudy;seal;mountain;rocks;people;rain;kayaking;bluesky;panorama;uncruise;snow;glacierbayak;kayakingglacierbayak;reflections;frame;places;baranofwind;fog
3,3,3,58.9122348389262,-137.0120109798657,447,True,glba,3,geotagged;ugly;mountain;seal;cloudy;snow;people;rain;panorama;rocks;glacierbayak;kayakingglacierbayak;canon;places;nikon;joel;landscape;park;insidepassage;reflections
4,4,4,58.90502732727273,-136.97449741818187,55,True,glba,16,geotagged;snow;unitedstatesofamerica;alaskatrip;usa;ship;pentax;geotag;nature;northamerica;rocks;glacierbayak;kayakingglacierbayak;westerdam;volendam;mswesterdam;hollandamericawesterdam;geocity;geostate;bay
5,5,5,58.9042239709619,-136.93492291651543,551,True,glba,2,geotagged;seal;snow;mountain;rocks;bird;panorama;uncruise;alaskatrip;water;mountains;people;unitedstatesofamerica;rain;birds;canon;reflections;frame;places;bluesky
6,6,6,58.84281329850749,-136.8793704179104,67,True,glba,14,
7,7,7,58.91602868686874,-136.87273955555588,99,True,glba,10,cruise;pentax;geotag;seal;boat;pilot
8,8,8,58.80630099999997,-136.8338929999997,86,True,glba,12,
9,9,9,58.829644418772546,-136.4710663465703,277,True,glba,5,geotagged;mountains;water;mountain;kayaking;rocks;people;nationalpark;alaskatrip;panorama;clouds;bird;ak;frame;glacierbayak;kayakingglacierbayak;beach;christophermichel;nationalparksotherareas;smunitedstates
10,10,10,58.75908668595053,-136.34634847107435,121,True,glba,9,starred
11,11,11,58.749679999999934,-136.19476399999988,91,True,glba,11,featuredlandscapes
12,12,12,58.52462424358977,-136.06101037179488,78,True,glba,13,mountain;snow;mountains;glacierbaynationalparkandpreserve;ugly;alaskatrip;frame;johnshopkinsglacier;princesscruiseline;pcl;islandprincess;voyageoftheglaciers;margerieglacier;grandpacificglacier;lamplughglacier;seagull;gull;bergbay
13,13,13,58.641055530120525,-136.04144103614456,166,True,glba,7,glacierbaynationalparkandpreserve;mountain;snow;geotagged;panorama;glacierbayak;kayakingglacierbayak;places;bluesky;frame;nationalparksotherareas;smunitedstates;smugallalaska;smugglacierbay;wildlife;ak;desktop;smugwildlife;tree;seals
14,14,14,58.47410616546765,-136.03922941726617,139,True,glba,8,us;cruise;seal;bird;birds;nikon;seaotter;sealions;sealion;harborseal;whale;humpback;goldenprincess;e;and;whiteandblue;loon;pacificloon
15,15,15,58.45386804513888,-135.88440016666655,288,True,glba,4,cruise;glacierbaynationalparkandpreserve;mountain;cloudy;rain;people;nationalpark;snow;kayaking;bird;uncruise;park;joel;isaac;ship;mountains;rocks;bluesky;kayak;fred
