,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank,top_tags
0,1,0,38.99949824,-114.32268344,25,True,grba,9,greatbasin;park;great;basin;national;landscape;valley;trees;fall;nature;peak;wheeler;snow;aspen;desert;nikon;wilderness;climbing;peakbagging;camping
1,2,1,39.00486754530194,-114.30668203020134,596,True,grba,2,national;park;northamerica;landscapes;valley;nv;desert;mountains;clouds;nationalparksystem;hiking;nikon;snakerange;snow;creek;wilderness;climbing;night;stars;squareformat
2,3,2,38.98607016312044,-114.31435104964548,141,True,grba,3,nationalpark;nationalparks;park;national;nationalparkservice;fall;nature;landscape;trees;snow;clouds;forest;nikon;camping;dosodoyabi;jeffdavispeak;bakernevada;ac;wildturkey;bristlecone
3,4,3,38.97009248000001,-114.31554899999998,25,True,grba,8,
5,6,5,38.983333034482754,-114.30000010344835,29,True,grba,7,
6,7,6,39.02716070967742,-114.28702732258064,31,True,grba,6,
8,9,8,39.02042271764706,-114.27466830588226,85,True,grba,4,valley;trees;nature;greatbasinnp;desert;squareformat;america;usa;landscape;wheeler;fall;stars;uploadedviaflickrqcom;findyourpark;lehmancreek;trails;scenic;california;peaks;photostream
9,10,9,39.0335894,-114.27163400000002,10,True,grba,19,
10,11,10,39.0224522,-114.2709432,10,True,grba,16,
11,12,11,39.0120369090909,-114.26096563636366,11,True,grba,15,
12,13,12,39.01303397777777,-114.25177404444445,45,True,grba,5,unitedstates;whitepinecounty;nationalparks;us;wheelerpeak;landscape;forest;hiking;mountain;trees;greatbasinnp;snakerange;bird;wildturkey;wildlife;tree;hdr;outdoors;noflash;iphone
13,14,13,39.03515800000001,-114.257043,10,True,grba,18,
14,15,14,38.929154,-114.2532221,10,True,grba,17,
15,16,15,38.974876117647064,-114.24592347058822,17,True,grba,12,
16,17,16,38.98391400000001,-114.24284115789476,19,True,grba,10,
17,18,17,39.01839175,-114.23684241666668,12,True,grba,14,
18,19,18,38.99118099999999,-114.22575430769231,13,True,grba,13,
19,20,19,38.989817111111115,-114.22143711111113,9,True,grba,20,
20,21,20,39.005798160848215,-114.22021992269372,802,True,grba,1,mountains;nationalparks;mountain;clouds;trees;nationalparkservice;nationalparksystem;valley;forest;hiking;desert;snow;wheelerpeak;nps;peak;wheeler;nature;fall;usa;night
21,22,21,39.010292666666665,-114.20805955555555,18,True,grba,11,
