,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank,top_tags
0,0,0,35.978283740218885,-113.76940225430343,1278,True,grca,5,grandcanyonnationalpark;america;river;desert;clouds;unitedstatesofamerica;sunset;rock;colorado;park;outdoors;square;squareformat;iphoneography;instagramapp;light;water;cliffs;northrim;sandstone
1,1,1,36.21769071225073,-113.05703062393157,351,True,grca,10,grand;landscape;square;squareformat;iphoneography;instagramapp;park;light;rocks;canon;colorado;outdoors;az;nikon;red;travel;roadtrip;sunset;nature;national
2,2,2,36.304998777777755,-112.75997005555571,162,True,grca,12,usa;clouds;landscape;blackandwhite;northamerica;bw;monochrome;blackwhite;olympus;havasuarea;havasucanyon
3,3,3,36.39163774452554,-112.5069479489051,137,True,grca,14,river;grand;clouds;sunset;landscape;sky;light;rock;nikon;photography;northamerica;sandstone;outdoor;cliffs;wildlife;mist;animals;utah;spring;stone
4,4,4,36.23445321052636,-112.34359548120314,133,True,grca,15,rock;sunset;unitedstatesofamerica;nature;outdoors;blackandwhite;northrim;bw;wildlife;blackwhite;thegrandcanyon;animals;history;reflections;nightphotography;waterfall;metal;supai;reflection;kidsoutdoors
5,5,5,36.06309938868005,-112.12623764858093,40208,True,grca,1,river;desert;coloradoriver;nationalparks;clouds;unitedstatesofamerica;colorado;nps;rock;findyourpark;light;water;outdoors;canon;rocks;nationalparksystem;cliffs;sandstone;sky;blackandwhite
6,6,6,36.25,-112.21000073426569,143,True,grca,13,grandcanyonnationalpark;nationalpark;river;desert;grand;colorado;park;roadtrip;national;trees;autumn;tower;daylight;jewelry;children;breathtaking;countryside;event;location;activity
7,7,7,36.19659837115998,-112.05089024138006,3190,True,grca,3,river;coloradoriver;america;desert;nationalparks;unitedstatesofamerica;rock;grand;colorado;light;outdoors;water;canon;findyourpark;nps;az;sandstone;sunset;roadtrip;red
8,8,8,36.00253496373941,-111.9859848685549,1765,True,grca,4,river;coloradoriver;nationalparks;clouds;unitedstatesofamerica;colorado;sunset;water;rocks;canon;outdoors;instagramapp;squareformat;iphoneography;square;light;rock;nps;hdr;sandstone
9,9,9,36.278760505518775,-111.97855437969095,453,True,grca,9,river;america;coloradoriver;desert;nationalparks;unitedstatesofamerica;grand;colorado;sunset;rock;light;canon;nps;instagramapp;square;squareformat;iphoneography;findyourpark;red;hdr
10,10,10,36.12123966370096,-111.94765043950169,1124,True,grca,6,river;desert;america;coloradoriver;unitedstatesofamerica;nationalparks;grand;colorado;light;canon;square;squareformat;iphoneography;instagramapp;rock;nps;sunset;photography;findyourpark;roadtrip
11,11,11,36.00503675097643,-111.92428834179717,1024,True,grca,7,river;america;unitedstatesofamerica;nationalparks;rock;colorado;canon;instagramapp;square;squareformat;iphoneography;outdoors;rocks;findyourpark;water;nps;sandstone;park;nationalparksystem;cliffs
12,12,12,36.04042398369157,-111.83285619417506,7174,True,grca,2,river;nationalparks;clouds;colorado;findyourpark;rock;light;nps;canon;outdoors;water;rocks;nationalparksystem;cliffs;sandstone;northrim;sunset;red;blackandwhite;square
13,13,13,36.19289369565214,-111.7964842260868,230,True,grca,11,us;instagramapp;square;squareformat;iphoneography;azra;kidsoutdoors;ccancsa;reflections;sceloporusmagister;phrynosomatidae;littlecolorado;cameron
14,14,14,36.81767739402183,-111.63165603804389,736,True,grca,8,nationalpark;grandcanyonnationalpark;nationalparks;clouds;unitedstatesofamerica;grand;rock;sunset;light;rocks;findyourpark;park;canon;sky;square;squareformat;instagramapp;geology;iphoneography;blackandwhite
