,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank,top_tags
0,1,0,37.695770913043496,-105.68400895652177,23,True,grsa,9,
1,2,1,37.91788172727273,-105.66918127272726,11,True,grsa,11,
2,3,2,37.663135444444436,-105.64818488888888,9,True,grsa,12,
3,4,3,37.91026189473683,-105.65148631578948,19,True,grsa,10,
4,5,4,37.72764891304345,-105.64048415217394,46,True,grsa,4,
5,6,5,37.78027982352939,-105.620689509804,51,True,grsa,3,greatsanddunesnationalpark;sanddunes;rockymountains;sky;sanddune;shadow;nature;lighting;greatsandduensnationalpark
6,7,6,37.74037417128243,-105.52146364486187,5488,True,grsa,1,mountain;nikkor;luis;san;panoramic;great;square;rockymountains;sandcreek;porcupine;conservation;crestonepeak;crestoneneedle;pretty;slide;barbara;pad;dead;day;cloudy
7,8,7,37.794075523809546,-105.59322804761908,42,True,grsa,5,mountain;nationalpark;dune;san;luis;co;northamerica;herard;rocky;slide;creekbed;plains;nationalparkservice;digital;pretty;abandoned;rain;storm;pad;mountains
8,9,8,37.717034717948714,-105.5757522435897,78,True,grsa,2,
9,10,9,37.93383896428572,-105.54074875,28,True,grsa,8,
10,11,10,37.85220400000002,-105.53406700000004,37,True,grsa,6,
11,12,11,37.855640125,-105.48344465625,32,True,grsa,7,
