,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank,top_tags
0,0,0,35.503747779487135,-83.97614687692324,195,True,grsm,13,usa;mountains;nature;smokymountains;water;northcarolina;river;unitedstatesofamerica;tn;north;outdoor;summer;trees;film;portrait;carolina;waterfalls;mountain;bw;clouds
1,1,1,35.631070149606316,-83.94238122047257,254,True,grsm,9,fall;greatsmokymountainsnationalpark;autumn;greatsmokymountains;us;water;smokies;forest;square;squareformat;iphoneography;instagramapp;smokymountains;greatsmokymountainnationalpark;tree;park;spring;unitedstatesofamerica;great;trees
2,2,2,35.598577902652906,-83.8220702994199,5691,True,grsm,2,canon;autumn;fall;hiking;instagramapp;square;squareformat;iphoneography;northcarolina;forest;water;river;winter;unitedstatesofamerica;spring;tree;iphone;rocks;north;creek
3,3,3,35.520631599221794,-83.86515262645916,257,True,grsm,8,mountains;landscape;smoky;great;longexposure;panorama;north;carolina;cove;milkyway;ptgui;cades;galaxy;backcountry;picplz;bald;starfall;gregory
4,4,4,35.66021207438494,-83.65084495586862,4396,True,grsm,3,canon;northcarolina;square;squareformat;instagramapp;iphoneography;smokies;winter;hdr;tree;north;appalachia;iphone;spring;unitedstatesofamerica;mountain;portrait;panorama;great;film
5,5,5,35.68042512789403,-83.48819401250681,20392,True,grsm,1,autumn;canon;fall;forest;water;landscape;spring;northcarolina;winter;river;tree;greatsmokymountainnationalpark;iphone;hdr;appalachia;north;outdoors;rocks;leaves;creek
6,6,6,35.559468593019965,-83.49679177166473,3381,True,grsm,4,canon;autumn;fall;water;square;squareformat;iphoneography;instagramapp;river;winter;smokies;spring;outdoors;forest;tree;hdr;creek;leaves;iphone;rocks
7,7,7,35.46697162932792,-83.43250447861497,491,True,grsm,7,canon;autumn;hiking;us;fall;tennessee;mountains;smoky;squareformat;iphoneography;instagramapp;outdoors;square;tn;forest;hdr;great;mountain;appalachia;unitedstatesofamerica
8,8,8,35.7408963915344,-83.41523034391525,189,True,grsm,14,usa;mountains;autumn;nationalpark;gsmnp;hiking;fall;greatsmokymountains;northcarolina;forest;smoky;smokies;square;squareformat;iphoneography;instagramapp;greatsmokymountainnationalpark;winter;tn;park
9,9,9,35.697460536723156,-83.38813802259885,177,True,grsm,15,usa;autumn;hiking;fall;northcarolina;landscape;square;squareformat;iphoneography;instagramapp;winter;outdoors;tn;forest;great;greatsmokymountainnationalpark;river;appalachia;mountain;tree
10,10,10,35.70813943111107,-83.31313641777781,225,True,grsm,10,autumn;us;canon;fall;nationalpark;greatsmokymountains;forest;water;square;squareformat;iphoneography;instagramapp;winter;river;spring;tree;greatsmokymountainnationalpark;leaves;creek;rocks
11,11,11,35.52140402250354,-83.30583999156127,2133,True,grsm,5,autumn;canon;fall;hiking;us;square;iphoneography;instagramapp;squareformat;forest;tree;landscape;smoky;tn;water;spring;river;iphone;great;leaves
12,12,12,35.76276693518524,-83.16151523611116,216,True,grsm,12,nationalpark;autumn;greatsmokymountains;us;mountains;canon;forest;square;squareformat;iphoneography;instagramapp;smokymountains;smoky;tree;winter;tn;great;north;park;naturephotography
13,13,13,35.74419387096773,-83.12120567281106,217,True,grsm,11,greatsmokymountains;canon;nationalpark;mountains;autumn;square;squareformat;iphoneography;instagramapp;forest;winter;tree;great;smoky;park;smokies;unitedstatesofamerica;outdoors;appalachia;north
14,14,14,35.62547567294116,-83.10441043529404,850,True,grsm,6,us;autumn;tennessee;canon;fall;hiking;instagramapp;square;squareformat;iphoneography;water;landscape;smokies;tree;forest;winter;river;hdr;tn;unitedstatesofamerica
